ID,Subsystem,Part,Exact model,Specification,Quantity,Supplier,URL,Unit price INR,Total INR,Price basis,Availability,Weight kg (each),Alternative,Alternative price INR,Reason selected,Status,Evidence,Date checked,Phase
JX1-001,Legs,Joint actuator,RobStride RS04,"120/40 N·m peak/rated, 9:1, 48 V, CAN 1 Mbps, 14-bit abs., Ø120×56",4,"RobStride Dynamics (import, courier)",https://robstride.com  (official intl. store; datasheets github.com/RobStride/Product_Information),34634,138536,ESTIMATED landed: USD list × 95.96 × 1.323 duty × 1.07 ship,In stock at official store; NOT stocked in India (Robu/Robocraze/ThinkRobotics/Amazon.in searched),1.42,Same unit via China distributor (CNY 1199),24008,hip pitch + knee: only class meeting 85/71 N·m peak and 26-30 N·m continuous with policy margins (iter1-B),SELECTED,VERIFIED list price / ESTIMATED landed,2026-09-24,1
JX1-002,Legs,Joint actuator,RobStride RS03,"60/20 N·m, 9:1, 48 V, CAN, Ø106×56",2,"RobStride Dynamics (import, courier)",https://robstride.com  (official intl. store; datasheets github.com/RobStride/Product_Information),30560,61120,ESTIMATED landed: USD list × 95.96 × 1.323 duty × 1.07 ship,In stock at official store; NOT stocked in India (Robu/Robocraze/ThinkRobotics/Amazon.in searched),0.88,Same unit via China distributor (CNY 999),20004,hip roll: 50 N·m peak / 17 N·m cont. required,SELECTED,VERIFIED list price / ESTIMATED landed,2026-09-24,1
JX1-003,Legs,Joint actuator,RobStride RS06,"36/11 N·m, 9:1, 48 V, 50 rad/s, Ø88×49",6,"RobStride Dynamics (import, courier)",https://robstride.com  (official intl. store; datasheets github.com/RobStride/Product_Information),28522,171132,ESTIMATED landed: USD list × 95.96 × 1.323 duty × 1.07 ship,In stock at official store; NOT stocked in India (Robu/Robocraze/ThinkRobotics/Amazon.in searched),0.621,Same unit via China distributor (CNY 849),17000,hip yaw (37 N·m) and parallel-ankle pairs (32 N·m motor-side incl. toe-stand),SELECTED,VERIFIED list price / ESTIMATED landed,2026-09-24,1
JX1-004,Torso,Joint actuator,RobStride RS06,36/11 N·m,1,"RobStride Dynamics (import, courier)",https://robstride.com  (official intl. store; datasheets github.com/RobStride/Product_Information),28522,28522,ESTIMATED landed: USD list × 95.96 × 1.323 duty × 1.07 ship,In stock at official store; NOT stocked in India (Robu/Robocraze/ThinkRobotics/Amazon.in searched),0.621,Same unit via China distributor (CNY 849),17000,waist yaw 21 N·m peak required,SELECTED,VERIFIED list price / ESTIMATED landed,2026-09-24,2
JX1-005,Arms,Joint actuator,RobStride RS02,"17/6 N·m, 7.75:1, Ø78.5×45.5",4,"RobStride Dynamics (import, courier)",https://robstride.com  (official intl. store; datasheets github.com/RobStride/Product_Information),19694,78776,ESTIMATED landed: USD list × 95.96 × 1.323 duty × 1.07 ship,In stock at official store; NOT stocked in India (Robu/Robocraze/ThinkRobotics/Amazon.in searched),0.38,Same unit via China distributor (CNY 699),13997,shoulder pitch/roll 15 N·m at 0.3 kg payload,SELECTED,VERIFIED list price / ESTIMATED landed,2026-09-24,2
JX1-006,Arms,Joint actuator,RobStride RS00,"14/5 N·m, 10:1, Ø57×51",4,"RobStride Dynamics (import, courier)",https://robstride.com  (official intl. store; datasheets github.com/RobStride/Product_Information),16978,67912,ESTIMATED landed: USD list × 95.96 × 1.323 duty × 1.07 ship,In stock at official store; NOT stocked in India (Robu/Robocraze/ThinkRobotics/Amazon.in searched),0.31,Same unit via China distributor (CNY 598),11974,"shoulder yaw 9 N·m, elbow 6 N·m",SELECTED,VERIFIED list price / ESTIMATED landed,2026-09-24,2
JX1-007,Legs,Hip yaw bracket (L/R),JX1_HipYawBracket,"7075-T6 CNC from 25 mm plate (top 10, back 12, keel 12 mm), ~0.8 kg",2,CNC job shop (Robocon CNC / Makenica),https://roboconcnc.com/prototype-cnc-machining,6500,13000,ESTIMATED: 3-axis CNC $20-38/h (Robocon CNC blog) + plate ₹380-400/kg median (IndiaMART); quote required,Quote required,0.8,"6061-T6 raised box-beam variant (Y7, +18 mm hip stack)",5500,"FEA: printed PA-CF SF 0.08/0.07, 6061 same geometry 0.70/0.79 -> 7075 design Y13 1.87/1.60",PLANNED,VERIFIED,2026-09-24,1
JX1-008,Legs,Hip roll bracket (L/R),JX1_HipRollBracket,"6061-T6 10 mm laser/waterjet plates + 20×20 corner bar, drilled/tapped, dowelled, ~0.5 kg",2,Laser/CNC job shop,https://roboconcnc.com/prototype-cnc-machining,1800,3600,ESTIMATED: 3-axis CNC $20-38/h (Robocon CNC blog) + plate ₹380-400/kg median (IndiaMART); quote required,Quote required,0.5,one-piece CNC,4500,"FEA: printed PA-CF SF 0.35/0.37; 6061 8 mm 1.96/2.64, 12 mm 4.42/6.68",PLANNED,VERIFIED,2026-09-24,1
JX1-009,Legs,Thigh (L/R),JX1_Thigh,"6061-T6 10 mm plate + run-out flanges (CNC, 2 setups), ~0.87 kg",2,Local CNC job shop (Makenica instant quote / Robocon CNC),https://makenica.com/cnc-machining-service-online/,4500,9000,"ESTIMATED (no public per-part price; FabFlow claims ₹450-1,200/bracket)",Quote required,0.87,"8 mm plate + run-out flanges (V7, SF 1.64/1.94, 0.72 kg)",4000,"FEA design V9: SF 2.35/2.81, 7x stiffer laterally than the first 8 mm plate",PLANNED,VERIFIED,2026-09-24,1
JX1-010,Legs,Shin (L/R),JX1_Shin,"6061-T6: 10 mm web + 14 mm knee plate (laser-cut) + machined joggle block + 9 mm fork tines, ~0.95 kg",2,Laser/CNC job shop,https://roboconcnc.com/prototype-cnc-machining,3200,6400,ESTIMATED: 3-axis CNC $20-38/h (Robocon CNC blog) + plate ₹380-400/kg median (IndiaMART); quote required,Quote required,0.95,,,FEA: printed PA-CF SF 0.35/0.43 -> 6061 design S3 3.12/4.04,PLANNED,VERIFIED,2026-09-24,1
JX1-011,Legs,Ankle cross (spider),JX1_AnkleCross,"EN8/EN24 steel, 32×33×26 turned + 2 cross-drilled Ø8 bores",2,Local turner,,800,1600,ESTIMATED,Quote required,0.2,,,"universal-joint centre, hardened pins",PLANNED,VERIFIED,2026-09-24,1
JX1-012,Legs,Ankle pins,Astro hard-chrome Ø8 rod 1 m (cut to 4 pins),Ø8 h6 hard-chrome carbon steel,1,Robokits,https://robokits.co.in/mechanical-parts/cnc-router-xyz-axis-part/astro-chrome-plated-steel-rods/,280,280,excl. GST (may be added),In stock,0.4,,,,PLANNED,VERIFIED,2026-09-24,1
