study,value,gait,mass_kg,hip_yaw_pk,hip_yaw_w,hip_roll_pk,hip_roll_w,hip_pitch_pk,hip_pitch_w,knee_pk,knee_w,ankle_pitch_pk,ankle_pitch_w,ankle_roll_pk,ankle_roll_w,knee_max_deg,ankle_min_deg,zmp_err_mm
hip_height,0.5,nominal,25.0,10.0,0.0,24.2,0.6,28.6,6.0,38.7,5.3,6.1,6.2,2.5,0.6,88.5,-53.7,15.6
hip_height,0.5,fast,25.0,18.1,0.0,26.3,0.6,45.8,9.6,45.2,8.6,8.6,9.8,2.9,0.6,97.1,-62.1,25.2
hip_height,0.52,nominal,25.0,10.3,0.0,24.2,0.6,29.2,5.9,36.1,5.6,6.1,6.0,2.5,0.6,82.6,-50.0,14.9
hip_height,0.52,fast,25.0,18.5,0.0,25.9,0.6,46.9,9.3,42.6,9.1,8.7,9.5,3.0,0.6,91.5,-58.4,25.6
hip_height,0.54,nominal,25.0,10.8,0.0,24.2,0.6,30.2,5.9,33.4,6.1,6.3,6.0,2.5,0.6,76.2,-46.1,14.9
hip_height,0.54,fast,25.0,19.6,0.0,26.9,0.6,49.0,9.2,40.0,9.8,9.3,9.3,3.2,0.6,85.7,-54.5,26.5
hip_height,0.56,nominal,25.0,12.1,0.0,24.1,0.5,32.8,6.0,30.6,6.9,6.8,6.0,2.5,0.5,69.3,-42.0,16.6
hip_height,0.56,fast,25.0,22.3,0.0,29.4,0.5,56.2,9.1,38.5,10.9,13.7,9.2,4.0,0.5,79.5,-50.4,27.9
segment_length,0.25,nominal,25.0,11.5,0.0,24.0,0.7,28.8,6.7,29.8,7.1,6.7,6.7,2.6,0.7,78.3,-48.1,16.5
segment_length,0.25,fast,25.0,21.4,0.0,28.7,0.7,48.6,10.5,38.2,11.6,13.0,10.6,4.4,0.7,88.6,-57.2,28.7
segment_length,0.28,nominal,25.0,10.8,0.0,24.2,0.6,30.2,5.9,33.4,6.1,6.3,6.0,2.5,0.6,76.2,-46.1,14.9
segment_length,0.28,fast,25.0,19.6,0.0,26.9,0.6,49.0,9.2,40.0,9.8,9.3,9.3,3.2,0.6,85.7,-54.5,26.5
segment_length,0.31,nominal,25.0,10.4,0.0,24.3,0.5,32.0,5.2,37.1,5.4,6.0,5.3,2.5,0.5,74.4,-44.4,16.5
segment_length,0.31,fast,25.0,18.5,0.0,25.9,0.5,51.2,8.1,44.0,8.5,8.5,8.3,2.6,0.5,83.2,-52.2,24.5
upper_body_mass,9.0,nominal,22.0,10.9,0.0,22.3,0.6,29.1,5.9,29.4,6.2,6.0,6.0,2.2,0.6,76.1,-45.9,23.7
upper_body_mass,9.0,fast,22.0,19.6,0.0,25.6,0.6,47.7,9.2,35.6,9.9,9.1,9.4,3.3,0.6,85.7,-54.3,28.4
upper_body_mass,12.0,nominal,25.0,10.8,0.0,24.2,0.6,30.2,5.9,33.4,6.1,6.3,6.0,2.5,0.6,76.2,-46.1,14.9
upper_body_mass,12.0,fast,25.0,19.6,0.0,26.9,0.6,49.0,9.2,40.0,9.8,9.3,9.3,3.2,0.6,85.7,-54.5,26.5
upper_body_mass,15.0,nominal,28.0,10.7,0.0,26.1,0.5,31.2,5.9,37.4,6.0,6.6,5.9,2.8,0.5,76.2,-46.3,13.9
upper_body_mass,15.0,fast,28.0,19.5,0.0,28.2,0.5,50.1,9.2,44.7,9.7,9.5,9.3,3.2,0.5,85.7,-54.6,24.7
knee_actuator_z,-0.28,nominal,25.0,10.8,0.0,24.2,0.6,30.2,5.9,33.4,6.1,6.3,6.0,2.5,0.6,76.2,-46.1,14.9
knee_actuator_z,-0.28,fast,25.0,19.6,0.0,26.9,0.6,49.0,9.2,40.0,9.8,9.3,9.3,3.2,0.6,85.7,-54.5,26.5
knee_actuator_z,-0.14,nominal,25.0,8.9,0.0,23.6,0.5,24.8,5.9,33.3,6.0,5.7,5.9,2.5,0.5,76.2,-46.5,13.2
knee_actuator_z,-0.14,fast,25.0,16.0,0.0,25.3,0.6,40.1,9.2,39.9,9.5,7.9,9.3,2.7,0.6,85.7,-54.8,23.6
knee_actuator_z,-0.06,nominal,25.0,8.0,0.0,23.3,0.5,22.9,5.9,33.5,5.9,5.6,5.9,2.5,0.5,76.2,-46.7,12.5
knee_actuator_z,-0.06,fast,25.0,14.4,0.0,24.5,0.5,37.1,9.2,40.1,9.4,7.5,9.2,2.5,0.5,85.7,-54.9,22.5
