t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0103294,0,-8.64471e-05,0.449317,-0.552046,-0.00468645,-0.914861,1.0064,-0.000913828,-14.5885,-0.454349,0.00560028,-1.61438,0,8.64471e-05,-0.0116422,-0,0,0.0169589,0,-8.64471e-05,-0.702405,-0.552046,-0.00468645,-0.836825,1.0064,-0.000913828,-15.0629,-0.454349,0.00560028,-1.65969,0,8.64471e-05,-0.0120082,-0.815377,-0.799005,0.00566176,0.00553881,0,0,0,0,True,True
0.005,-0,0,-0.00749801,-4.32235e-07,-0.000325038,0.352447,-0.55207,-0.00252524,-0.936468,1.00639,-0.000492418,-14.376,-0.454321,0.00301765,-1.55778,4.32235e-07,0.000325038,-0.0207003,-0,0,0.019117,-4.32235e-07,-0.000325038,-0.808136,-0.55207,-0.00252524,-0.795504,1.00639,-0.000492418,-15.2288,-0.454321,0.00301765,-1.63726,4.32235e-07,0.000325038,-0.0218868,-0.793447,-0.764337,0.00324879,0.00278652,-1.45944e-07,1.78487e-07,0,0,True,True
0.01,-0,0,-0.00146496,-3.25038e-06,-0.000945706,0.207166,-0.552072,-0.000478966,-0.797913,1.00639,-9.34477e-05,-13.6339,-0.454319,0.000572414,-0.76068,3.25038e-06,0.000945706,-0.034299,-0,0,0.0105049,-3.25038e-06,-0.000945706,-0.977169,-0.552072,-0.000478966,-0.544913,1.00639,-9.34477e-05,-15.0322,-0.454319,0.000572414,-0.822524,3.25038e-06,0.000945706,-0.0376864,-0.404457,-0.356223,0.00124492,-0.000100089,-9.75525e-07,1.3421e-06,0,0,True,True
0.015,-0,0,0.000486038,-9.88929e-06,-0.00177745,0.13534,-0.552075,-0.000586911,-0.665471,1.00639,-0.000114577,-13.1086,-0.454315,0.000701488,-0.102239,9.88929e-06,0.00177745,-0.0410474,-0,0,-0.000503468,-9.88929e-06,-0.00177745,-1.0658,-0.552075,-0.000586911,-0.34443,1.00639,-0.000114577,-14.7544,-0.454315,0.000701488,-0.102151,9.88929e-06,0.00177745,-0.045995,-0.0799811,-0.0222579,0.00196545,-0.000562483,-2.3374e-06,4.08284e-06,0,0,True,True
0.02,-0,0,0.000439871,-2.10249e-05,-0.00270192,0.10767,-0.552078,-0.000481935,-0.705325,1.00639,-9.42706e-05,-13.1221,-0.454312,0.000576205,-0.221298,2.10249e-05,0.00270192,-0.0436851,-0,0,0.00167916,-2.10249e-05,-0.00270192,-1.10093,-0.552078,-0.000481935,-0.365512,1.00639,-9.42706e-05,-14.888,-0.454312,0.000576205,-0.235845,2.10249e-05,0.00270192,-0.049331,-0.141366,-0.0799321,0.00249755,-0.00134517,-3.66702e-06,8.67948e-06,0,0,True,True
0.025,-0,0,0.000397824,-3.69085e-05,-0.00365419,0.10318,-0.552079,-0.000234446,-0.725173,1.00639,-4.63115e-05,-13.1558,-0.45431,0.000280757,-0.295303,3.69085e-05,0.00365419,-0.0441751,-0,0,0.00308919,-3.69085e-05,-0.00365419,-1.10669,-0.552079,-0.000234446,-0.383604,1.00639,-4.63115e-05,-14.946,-0.45431,0.000280757,-0.319221,3.69085e-05,0.00365419,-0.0499497,-0.178714,-0.116589,0.00287926,-0.00231781,-4.54748e-06,1.52356e-05,0,0,True,True
0.03,-0,0,0.000318169,-5.75669e-05,-0.00460103,0.110171,-0.55208,9.19224e-05,-0.732244,1.00639,1.68343e-05,-13.1927,-0.454309,-0.000108757,-0.3353,5.75669e-05,0.00460103,-0.0436122,-0,0,0.003827,-5.75669e-05,-0.00460103,-1.09776,-0.55208,9.19224e-05,-0.39692,1.00639,1.68343e-05,-14.9583,-0.454309,-0.000108757,-0.363722,5.75669e-05,0.00460103,-0.04922,-0.198318,-0.136982,0.00316302,-0.00338066,-4.74276e-06,2.37621e-05,0,0,True,True
0.035,-0,0,0.000217266,-8.29187e-05,-0.00552723,0.12218,-0.552079,0.000458501,-0.732398,1.00639,8.75702e-05,-13.2277,-0.454311,-0.000546071,-0.354824,8.29187e-05,0.00552723,-0.0426009,-0,0,0.0041498,-8.29187e-05,-0.00552723,-1.08249,-0.552079,0.000458501,-0.406594,1.00639,8.75702e-05,-14.9469,-0.454311,-0.000546071,-0.384754,8.29187e-05,0.00552723,-0.0479217,-0.207371,-0.147453,0.00338429,-0.00447666,-4.12784e-06,3.42256e-05,0,0,True,True
0.04,-0,0,0.000115565,-0.000112839,-0.00642747,0.135757,-0.552075,0.000842438,-0.72906,1.00639,0.000161387,-13.2586,-0.454315,-0.00100383,-0.362292,0.000112839,0.00642747,-0.0414638,-0,0,0.00423568,-0.000112839,-0.00642747,-1.06535,-0.552075,0.000842438,-0.413595,1.00639,0.000161387,-14.9247,-0.454315,-0.00100383,-0.392093,0.000112839,0.00642747,-0.0464713,-0.210307,-0.151985,0.00356664,-0.00557465,-2.64405e-06,4.65744e-05,0,0,True,True
0.045,-0,0,2.44243e-05,-0.000147193,-0.00730146,0.149185,-0.55207,0.00123069,-0.724171,1.00639,0.000235694,-13.2851,-0.454321,-0.00146638,-0.362892,0.000147193,0.00730146,-0.0403608,-0,0,0.00419578,-0.000147193,-0.00730146,-1.04853,-0.55207,0.00123069,-0.418691,1.00639,0.000235694,-14.8985,-0.454321,-0.00146638,-0.391766,0.000147193,0.00730146,-0.0450721,-0.209834,-0.153058,0.0037255,-0.0066588,-2.7123e-07,6.0753e-05,0,0,True,True
