t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0190829,0,-7.59675e-05,0.472338,-0.630913,-0.00537914,-0.957973,1.14431,-0.0010818,-16.4017,-0.513395,0.00646094,-1.83916,0,7.59675e-05,-0.00834372,-0,0,0.0126154,0,-7.59675e-05,-0.675432,-0.630913,-0.00537914,-0.913578,1.14431,-0.0010818,-16.8295,-0.513395,0.00646094,-1.84275,0,7.59675e-05,-0.00834372,-0.925444,-0.913711,0.00651496,0.00640692,0,0,0,0,True,True
0.005,-0,0,-0.021814,-3.79838e-07,-0.00028607,0.390569,-0.63094,-0.00276932,-0.979151,1.1443,-0.000556945,-16.2377,-0.513363,0.00332627,-1.85249,3.79838e-07,0.00028607,-0.0150641,-0,0,0.0101271,-3.79838e-07,-0.00028607,-0.7572,-0.63094,-0.00276932,-0.898996,1.1443,-0.000556945,-17.01,-0.513363,0.00332627,-1.85899,3.79838e-07,0.00028607,-0.0150641,-0.936839,-0.915655,0.00352969,0.00312284,-7.35089e-08,1.50673e-07,0,0,True,True
0.01,-0,0,-0.0187183,-2.8607e-06,-0.000834611,0.262833,-0.630941,-0.000119515,-0.812215,1.1443,-2.40558e-05,-15.5123,-0.513362,0.000143571,-1.06313,2.8607e-06,0.000834611,-0.0255705,-0,0,-0.00112163,-2.8607e-06,-0.000834611,-0.884925,-0.630941,-0.000119515,-0.676242,1.1443,-2.40558e-05,-16.8228,-0.513362,0.000143571,-1.07415,2.8607e-06,0.000834611,-0.0255705,-0.549543,-0.513583,0.000737072,-0.00044993,-4.20703e-07,1.13469e-06,0,0,True,True
0.015,-0,0,-0.014422,-8.72594e-06,-0.00157376,0.196058,-0.630941,0.000128229,-0.652023,1.1443,2.57378e-05,-14.9622,-0.513361,-0.000153967,-0.355932,8.72594e-06,0.00157376,-0.0310824,-0,0,-0.00969093,-8.72594e-06,-0.00157376,-0.951667,-0.630941,0.000128229,-0.486903,1.1443,2.57378e-05,-16.5543,-0.513361,-0.000153967,-0.369328,8.72594e-06,0.00157376,-0.0310824,-0.199822,-0.156111,0.000965148,-0.00127309,-5.96512e-07,3.4607e-06,0,0,True,True
0.02,-0,0,-0.0167143,-1.85983e-05,-0.00239972,0.168614,-0.630939,0.00065941,-0.695962,1.1443,0.000132476,-14.9932,-0.513363,-0.000791886,-0.508905,1.85983e-05,0.00239972,-0.0333797,-0,0,-0.00918331,-1.85983e-05,-0.00239972,-0.979053,-0.630939,0.00065941,-0.518986,1.1443,0.000132476,-16.7013,-0.513363,-0.000791886,-0.523293,1.85983e-05,0.00239972,-0.0333797,-0.277925,-0.23098,0.000914567,-0.00249836,1.46817e-07,7.37545e-06,0,0,True,True
0.025,-0,0,-0.017739,-3.27231e-05,-0.00325427,0.162846,-0.630935,0.00136805,-0.71925,1.1443,0.000274776,-15.0324,-0.513369,-0.00164282,-0.59796,3.27231e-05,0.00325427,-0.0339143,-0,0,-0.00857618,-3.27231e-05,-0.00325427,-0.984739,-0.630935,0.00136805,-0.539976,1.1443,0.000274776,-16.7655,-0.513369,-0.00164282,-0.612579,3.27231e-05,0.00325427,-0.0339143,-0.32283,-0.27513,0.000671297,-0.00395701,2.32063e-06,1.29761e-05,0,0,True,True
0.03,-0,0,-0.017997,-5.11411e-05,-0.00410674,0.168234,-0.630926,0.00216778,-0.728696,1.14431,0.00043519,-15.0684,-0.51338,-0.00260297,-0.641074,5.11411e-05,0.00410674,-0.0335509,-0,0,-0.00803867,-5.11411e-05,-0.00410674,-0.979252,-0.630926,0.00216778,-0.552071,1.14431,0.00043519,-16.7797,-0.51338,-0.00260297,-0.655538,5.11411e-05,0.00410674,-0.0335509,-0.344134,-0.29694,0.00031732,-0.00552337,6.19789e-06,2.02787e-05,0,0,True,True
0.035,-0,0,-0.017854,-7.37905e-05,-0.00494246,0.178716,-0.630913,0.00300723,-0.730332,1.14431,0.000603305,-15.0993,-0.513395,-0.00361054,-0.657127,7.37905e-05,0.00494246,-0.0327876,-0,0,-0.0075904,-7.37905e-05,-0.00494246,-0.968654,-0.630913,0.00300723,-0.558648,1.14431,0.000603305,-16.7675,-0.513395,-0.00361054,-0.671262,7.37905e-05,0.00494246,-0.0327876,-0.351627,-0.3055,-9.60015e-05,-0.00712528,1.19078e-05,2.92588e-05,0,0,True,True
0.04,-0,0,-0.0175235,-0.000100566,-0.00575582,0.190958,-0.630896,0.00385706,-0.727816,1.14431,0.000773144,-15.1249,-0.513416,-0.00463021,-0.657873,0.000100566,0.00575582,-0.0318977,-0,0,-0.00722959,-0.000100566,-0.00575582,-0.956284,-0.630896,0.00385706,-0.5619,1.14431,0.000773144,-16.7429,-0.513416,-0.00463021,-0.671624,0.000100566,0.00575582,-0.0318977,-0.351378,-0.306495,-0.000537347,-0.0087234,1.94961e-05,3.98744e-05,0,0,True,True
0.045,-0,0,-0.0171244,-0.000131349,-0.00654594,0.203261,-0.630874,0.00470137,-0.723284,1.14432,0.000941439,-15.1459,-0.513441,-0.00564281,-0.650405,0.000131349,0.00654594,-0.0310206,-0,0,-0.00694525,-0.000131349,-0.00654594,-0.943842,-0.630874,0.00470137,-0.563217,1.14432,0.000941439,-16.7135,-0.513441,-0.00564281,-0.663777,0.000131349,0.00654594,-0.0310206,-0.347031,-0.303374,-0.000988158,-0.0102979,2.89621e-05,5.20789e-05,0,0,True,True
0.05,-0,0,-0.0167186,-0.000166025,-0.00731423,0.21486,-0.630849,0.00553216,-0.717937,1.14432,0.00110652,-15.163,-0.513472,-0.00663869,-0.638879,0.000166025,0.00731423,-0.0302184,-0,0,-0.00672349,-0.000166025,-0.00731423,-0.932091,-0.630849,0.00553216,-0.563459,1.14432,0.00110652,-16.6835,-0.513472,-0.00663869,-0.651902,0.000166025,0.00731423,-0.0302184,-0.340708,-0.298171,-0.0014378,-0.0118403,4.02809e-05,6.58267e-05,0,0,True,True
0.055,-0,0,-0.0163358,-0.000204491,-0.00806294,0.225503,-0.630819,0.00634604,-0.712418,1.14433,0.00126765,-15.177,-0.513508,-0.00761369,-0.625663,0.000204491,0.00806294,-0.0295116,-0,0,-0.00655068,-0.000204491,-0.00806294,-0.921288,-0.630819,0.00634604,-0.563158,1.14433,0.00126765,-16.6546,-0.513508,-0.00761369,-0.638377,0.000204491,0.00806294,-0.0295116,-0.333607,-0.292055,-0.00188051,-0.0133478,5.34165e-05,8.10767e-05,0,0,True,True
0.06,-0,0,-0.0159874,-0.000246655,-0.00879451,0.235191,-0.630785,0.00714213,-0.707048,1.14433,0.00142459,-15.1888,-0.513548,-0.00856672,-0.612059,0.000246655,0.00879451,-0.0288996,-0,0,-0.00641478,-0.000246655,-0.00879451,-0.911429,-0.630785,0.00714213,-0.562633,1.14433,0.00142459,-16.6276,-0.513548,-0.00856672,-0.624505,0.000246655,0.00879451,-0.0288996,-0.32638,-0.285679,-0.00231347,-0.0148212,6.83288e-05,9.77925e-05,0,0,True,True
0.065,-0,0,-0.0156757,-0.000292436,-0.00951118,0.244044,-0.630748,0.0079209,-0.701965,1.14434,0.0015774,-15.1989,-0.513593,-0.0094983,-0.598736,0.000292436,0.00951118,-0.0283723,-0,0,-0.00630592,-0.000292436,-0.00951118,-0.902397,-0.630748,0.0079209,-0.562074,1.14434,0.0015774,-16.6028,-0.513593,-0.0094983,-0.610948,0.000292436,0.00951118,-0.0283723,-0.319352,-0.279383,-0.00273559,-0.0162626,8.49778e-05,0.000115942,0,0,True,True
0.07,-0,0,-0.0153983,-0.000341766,-0.0102149,0.252216,-0.630706,0.00868346,-0.697209,1.14435,0.00172624,-15.2079,-0.513643,-0.0104097,-0.585993,0.000341766,0.0102149,-0.0279166,-0,0,-0.00621642,-0.000341766,-0.0102149,-0.894036,-0.630706,0.00868346,-0.561586,1.14435,0.00172624,-16.5798,-0.513643,-0.0104097,-0.598001,0.000341766,0.0102149,-0.0279166,-0.312666,-0.273328,-0.0031468,-0.0176746,0.000103325,0.000135499,0,0,True,True
0.075,-0,0,-0.0151512,-0.000394585,-0.0109071,0.259861,-0.630661,0.00943116,-0.692771,1.14436,0.00187134,-15.2161,-0.513698,-0.0113025,-0.573931,0.000394585,0.0109071,-0.0275198,-0,0,-0.00614054,-0.000394585,-0.0109071,-0.886196,-0.630661,0.00943116,-0.561225,1.14436,0.00187134,-16.5585,-0.513698,-0.0113025,-0.58576,0.000394585,0.0109071,-0.0275198,-0.306361,-0.26757,-0.00354755,-0.0190599,0.000123336,0.000156438,0,0,True,True
0.08,-0,0,-0.01493,-0.000450838,-0.0115893,0.267108,-0.630612,0.0101654,-0.688618,1.14437,0.00201295,-15.2239,-0.513756,-0.0121783,-0.562546,0.000450838,0.0115893,-0.0271709,-0,0,-0.00607415,-0.000450838,-0.0115893,-0.878746,-0.630612,0.0101654,-0.561017,1.14437,0.00201295,-16.5385,-0.513756,-0.0121783,-0.574215,0.000450838,0.0115893,-0.0271709,-0.300429,-0.262118,-0.00393856,-0.0204211,0.000144978,0.000178739,0,0,True,True
0.085,-0,0,-0.0147309,-0.000510477,-0.0122623,0.274064,-0.630559,0.0108875,-0.684717,1.14438,0.00215127,-15.2313,-0.513819,-0.0130387,-0.551788,0.000510477,0.0122623,-0.026861,-0,0,-0.0060144,-0.000510477,-0.0122623,-0.871581,-0.630559,0.0108875,-0.56097,1.14438,0.00215127,-16.5197,-0.513819,-0.0130387,-0.563313,0.000510477,0.0122623,-0.026861,-0.294837,-0.256951,-0.00432063,-0.0217604,0.000168222,0.000202382,0,0,True,True
0.09,-0,0,-0.0145507,-0.000573461,-0.0129271,0.280806,-0.630503,0.0115986,-0.68103,1.14439,0.00228651,-15.2386,-0.513887,-0.0138851,-0.541587,0.000573461,0.0129271,-0.0265837,-0,0,-0.00595944,-0.000573461,-0.0129271,-0.864625,-0.630503,0.0115986,-0.561082,1.14439,0.00228651,-16.5018,-0.513887,-0.0138851,-0.552981,0.000573461,0.0129271,-0.0265837,-0.289547,-0.252039,-0.00469458,-0.0230798,0.000193041,0.00022735,0,0,True,True
0.095,-0,0,-0.0143867,-0.000639749,-0.0135844,0.287393,-0.630443,0.0122999,-0.677528,1.1444,0.00241886,-15.2458,-0.513958,-0.0147187,-0.531869,0.000639749,0.0135844,-0.0263338,-0,0,-0.00590811,-0.000639749,-0.0135844,-0.857819,-0.630443,0.0122999,-0.561346,1.1444,0.00241886,-16.4846,-0.513958,-0.0147187,-0.543144,0.000639749,0.0135844,-0.0263338,-0.284519,-0.24735,-0.00506121,-0.0243812,0.000219412,0.000253628,0,0,True,True
