t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0186585,0,0,0.563093,-0.618006,-0.00683657,-1.0133,1.06949,-0.00133513,-16.0229,-0.451482,0.00817169,-2.24886,0,0,-5.55184e-17,-0,0,0.0186585,0,0,-0.563093,-0.618006,-0.00683657,-1.0133,1.06949,-0.00133513,-16.0229,-0.451482,0.00817169,-2.24886,0,0,5.55039e-17,-1.45423,-1.44618,0.00631849,0.00635362,0,0,0,0,True,True
0.005,-0,0,-0.017463,0,0,0.563093,-0.618041,-0.00384179,-0.980048,1.06948,-0.000750308,-15.9469,-0.451441,0.0045921,-2.11318,0,0,-5.55251e-17,-0,0,0.017463,0,0,-0.563093,-0.618041,-0.00384179,-0.980048,1.06948,-0.000750308,-15.9469,-0.451441,0.0045921,-2.11318,0,0,5.54972e-17,-1.36648,-1.35892,0.00355071,0.00357045,-3.2067e-07,5.20419e-26,0,0,True,True
0.01,-0,0,-0.00616454,0,0,0.563093,-0.618045,-0.00123077,-0.665853,1.06948,-0.000240492,-15.2231,-0.451436,0.00147126,-0.812874,0,0,-2.58444e-20,-0,0,0.00616454,0,0,-0.563093,-0.618045,-0.00123077,-0.665853,1.06948,-0.000240492,-15.2231,-0.451436,0.00147126,-0.812874,0,0,-2.58444e-20,-0.52564,-0.522734,0.00113762,0.00114394,-2.23791e-06,4.01997e-25,0,0,True,True
0.015,-0,0,0.00315481,0,0,0.563093,-0.618053,-0.00186282,-0.406692,1.06948,-0.000364057,-14.6262,-0.451426,0.00222687,0.25941,0,0,-3.48925e-20,-0,0,-0.00315481,0,0,-0.563093,-0.618053,-0.00186282,-0.406692,1.06948,-0.000364057,-14.6262,-0.451426,0.00222687,0.25941,0,0,-3.48925e-20,0.167746,0.166818,0.00172187,0.00173144,-5.91151e-06,1.27979e-24,0,0,True,True
0.02,-0,0,0.00178441,0,0,0.563093,-0.618063,-0.00224334,-0.444802,1.06948,-0.000438528,-14.7142,-0.451413,0.00268187,0.101069,0,0,-5.55526e-17,-0,0,-0.00178441,0,0,-0.563093,-0.618063,-0.00224334,-0.444802,1.06948,-0.000438528,-14.7142,-0.451413,0.00268187,0.101069,0,0,5.54697e-17,0.0653556,0.0649943,0.00207369,0.00208522,-1.07143e-05,2.85063e-24,0,0,True,True
0.025,-0,0,0.000835439,0,0,0.563093,-0.618075,-0.00243546,-0.471191,1.06947,-0.000476213,-14.7752,-0.451399,0.00291167,-0.00883653,0,0,-5.55571e-17,-0,0,-0.000835439,0,0,-0.563093,-0.618075,-0.00243546,-0.471191,1.06947,-0.000476213,-14.7752,-0.451399,0.00291167,-0.00883653,0,0,5.54652e-17,-0.00571405,-0.00568247,0.00225139,0.0022639,-1.61185e-05,5.23175e-24,0,0,True,True
0.03,-0,0,0.000256742,0,0,0.563093,-0.618088,-0.00251136,-0.487284,1.06947,-0.000491196,-14.8126,-0.451384,0.00300255,-0.0761543,0,0,-5.55602e-17,-0,0,-0.000256742,0,0,-0.563093,-0.618088,-0.00251136,-0.487284,1.06947,-0.000491196,-14.8126,-0.451384,0.00300255,-0.0761543,0,0,5.54621e-17,-0.0492443,-0.0489721,0.00232166,0.00233457,-2.17951e-05,8.50499e-24,0,0,True,True
0.035,-0,0,-8.40783e-05,0,0,0.563093,-0.6181,-0.00251772,-0.496762,1.06947,-0.000492586,-14.8347,-0.451369,0.00301031,-0.1161,0,0,-5.11537e-20,-0,0,8.40783e-05,0,0,-0.563093,-0.6181,-0.00251772,-0.496762,1.06947,-0.000492586,-14.8347,-0.451369,0.00301031,-0.1161,0,0,-5.11537e-20,-0.0750742,-0.0746593,0.00232767,0.0023406,-2.75445e-05,1.2726e-23,0,0,True,True
0.04,-0,0,-0.000274745,0,0,0.563093,-0.618113,-0.00248422,-0.502064,1.06947,-0.000486177,-14.8471,-0.451354,0.0029704,-0.138756,0,0,-5.55636e-17,-0,0,0.000274745,0,0,-0.563093,-0.618113,-0.00248422,-0.502064,1.06947,-0.000486177,-14.8471,-0.451354,0.0029704,-0.138756,0,0,5.54587e-17,-0.0897241,-0.0892283,0.00229682,0.00230958,-3.32502e-05,1.79313e-23,0,0,True,True
0.045,-0,0,-0.000372479,0,0,0.563093,-0.618125,-0.0024294,-0.504782,1.06946,-0.000475585,-14.8536,-0.451339,0.00290498,-0.150701,0,0,-5.31591e-20,-0,0,0.000372479,0,0,-0.563093,-0.618125,-0.0024294,-0.504782,1.06946,-0.000475585,-14.8536,-0.451339,0.00290498,-0.150701,0,0,-5.31591e-20,-0.097448,-0.0969094,0.00224624,0.00225872,-3.88476e-05,2.41432e-23,0,0,True,True
0.05,-0,0,-0.000414169,0,0,0.563093,-0.618137,-0.00236455,-0.505942,1.06946,-0.00046302,-14.8565,-0.451325,0.00282757,-0.156177,0,0,-5.34686e-20,-0,0,0.000414169,0,0,-0.563093,-0.618137,-0.00236455,-0.505942,1.06946,-0.00046302,-14.8565,-0.451325,0.00282757,-0.156177,0,0,-5.34686e-20,-0.100989,-0.100431,0.00218638,0.00219853,-4.43041e-05,3.13739e-23,0,0,True,True
0.055,-0,0,-0.000423258,0,0,0.563093,-0.618149,-0.00229635,-0.506194,1.06946,-0.000449791,-14.8574,-0.451311,0.00274614,-0.157882,0,0,-5.55646e-17,-0,0,0.000423258,0,0,-0.563093,-0.618149,-0.00229635,-0.506194,1.06946,-0.000449791,-14.8574,-0.451311,0.00274614,-0.157882,0,0,5.54577e-17,-0.102091,-0.101527,0.00212343,0.00213523,-4.96066e-05,3.96281e-23,0,0,True,True
0.06,-0,0,-0.000414382,0,0,0.563093,-0.61816,-0.00222859,-0.505948,1.06946,-0.000436635,-14.857,-0.451298,0.00266523,-0.157499,0,0,-5.55644e-17,-0,0,0.000414382,0,0,-0.563093,-0.61816,-0.00222859,-0.505948,1.06946,-0.000436635,-14.857,-0.451298,0.00266523,-0.157499,0,0,5.54579e-17,-0.101843,-0.10128,0.00206087,0.00207232,-5.47531e-05,4.89053e-23,0,0,True,True
0.065,-0,0,-0.000396465,0,0,0.563093,-0.618171,-0.00216326,-0.505449,1.06946,-0.000423945,-14.8561,-0.451285,0.0025872,-0.156057,0,0,-5.29596e-20,-0,0,0.000396465,0,0,-0.563093,-0.618171,-0.00216326,-0.505449,1.06946,-0.000423945,-14.8561,-0.451285,0.0025872,-0.156057,0,0,-5.29596e-20,-0.10091,-0.100353,0.00200054,0.00201165,-5.97476e-05,5.92012e-23,0,0,True,True
0.07,-0,0,-0.000374781,0,0,0.563093,-0.618182,-0.00210126,-0.504846,1.06945,-0.000411898,-14.8549,-0.451272,0.00251316,-0.154162,0,0,-5.55637e-17,-0,0,0.000374781,0,0,-0.563093,-0.618182,-0.00210126,-0.504846,1.06945,-0.000411898,-14.8549,-0.451272,0.00251316,-0.154162,0,0,5.54586e-17,-0.0996854,-0.0991346,0.00194329,0.00195408,-6.45971e-05,7.05089e-23,0,0,True,True
0.075,-0,0,-0.000352304,0,0,0.563093,-0.618192,-0.00204289,-0.504221,1.06945,-0.000400555,-14.8537,-0.451259,0.00244345,-0.15216,0,0,-5.20406e-20,-0,0,0.000352304,0,0,-0.563093,-0.618192,-0.00204289,-0.504221,1.06945,-0.000400555,-14.8537,-0.451259,0.00244345,-0.15216,0,0,-5.20406e-20,-0.0983905,-0.0978469,0.00188939,0.00189988,-6.93098e-05,8.282e-23,0,0,True,True
0.08,-0,0,-0.000330597,0,0,0.563093,-0.618202,-0.00198811,-0.503618,1.06945,-0.000389907,-14.8525,-0.451247,0.00237802,-0.150231,0,0,-5.55627e-17,-0,0,0.000330597,0,0,-0.563093,-0.618202,-0.00198811,-0.503618,1.06945,-0.000389907,-14.8525,-0.451247,0.00237802,-0.150231,0,0,5.54596e-17,-0.0971425,-0.0966059,0.0018388,0.00184902,-7.38939e-05,9.61249e-23,0,0,True,True
0.085,-0,0,-0.000310373,0,0,0.563093,-0.618212,-0.00193672,-0.503055,1.06945,-0.000379916,-14.8514,-0.451236,0.00231663,-0.148457,0,0,-5.09783e-20,-0,0,0.000310373,0,0,-0.563093,-0.618212,-0.00193672,-0.503055,1.06945,-0.000379916,-14.8514,-0.451236,0.00231663,-0.148457,0,0,-5.09783e-20,-0.0959954,-0.0954651,0.00179134,0.00180129,-7.83576e-05,1.10413e-22,0,0,True,True
0.09,-0,0,-0.000291861,0,0,0.563093,-0.618222,-0.00188844,-0.502541,1.06945,-0.000370528,-14.8504,-0.451224,0.00225896,-0.146866,0,0,-5.55616e-17,-0,0,0.000291861,0,0,-0.563093,-0.618222,-0.00188844,-0.502541,1.06945,-0.000370528,-14.8504,-0.451224,0.00225896,-0.146866,0,0,5.54607e-17,-0.0949665,-0.0944419,0.00174675,0.00175645,-8.2708e-05,1.25675e-22,0,0,True,True
