t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0146292,0,-8.95767e-05,0.433629,-0.618006,-0.00678408,-1.0756,1.06949,-0.00132487,-15.8407,-0.451482,0.00810895,-2.32238,0,8.95767e-05,-0.0113138,-0,0,0.0245607,0,-8.95767e-05,-0.696339,-0.618006,-0.00678408,-1.00135,1.06949,-0.00132487,-16.321,-0.451482,0.00810895,-2.38379,0,8.95767e-05,-0.0116639,-1.50827,-1.48699,0.0063479,0.00622648,0,0,0,0,True,True
0.005,-0,0,-0.0104612,-4.47884e-07,-0.000336923,0.332583,-0.61804,-0.00364399,-1.09273,1.06948,-0.000711663,-15.6199,-0.451441,0.00435565,-2.2475,4.47884e-07,0.000336923,-0.0201319,-0,0,0.0279287,-4.47884e-07,-0.000336923,-0.805875,-0.61804,-0.00364399,-0.958392,1.06948,-0.000711663,-16.4837,-0.451441,0.00435565,-2.3556,4.47884e-07,0.000336923,-0.0212682,-1.46491,-1.43379,0.00366097,0.0030919,-2.01194e-07,1.82486e-07,0,0,True,True
0.01,-0,0,-0.00197741,-3.36923e-06,-0.000980888,0.180398,-0.618043,-0.000652954,-0.866985,1.06948,-0.000127597,-14.6983,-0.451438,0.000780551,-1.09035,3.36923e-06,0.000980888,-0.0333964,-0,0,0.0158063,-3.36923e-06,-0.000980888,-0.980858,-0.618043,-0.000652954,-0.61952,1.06948,-0.000127597,-16.1045,-0.451438,0.000780551,-1.17594,3.36923e-06,0.000980888,-0.0366451,-0.724263,-0.682078,0.00145679,-0.000251101,-1.33755e-06,1.37261e-06,0,0,True,True
0.015,-0,0,0.000478302,-1.02568e-05,-0.00184486,0.1046,-0.618047,-0.0007716,-0.66119,1.06948,-0.000150857,-14.0212,-0.451433,0.000922457,-0.129228,1.02568e-05,0.00184486,-0.0400128,-0,0,-3.65686e-05,-1.02568e-05,-0.00184486,-1.07287,-0.618047,-0.0007716,-0.34081,1.06948,-0.000150857,-15.6655,-0.451433,0.000922457,-0.132001,1.02568e-05,0.00184486,-0.0447666,-0.106564,-0.06023,0.00231806,-0.000896499,-3.16228e-06,4.17789e-06,0,0,True,True
0.02,-0,0,0.000473815,-2.18178e-05,-0.00280612,0.0751175,-0.618051,-0.000576927,-0.715393,1.06948,-0.000112994,-14.0635,-0.451429,0.000689922,-0.306765,2.18178e-05,0.00280612,-0.0426202,-0,0,0.00325109,-2.18178e-05,-0.00280612,-1.10962,-0.618051,-0.000576927,-0.377202,1.06948,-0.000112994,-15.8321,-0.451429,0.000689922,-0.329883,2.18178e-05,0.00280612,-0.0480544,-0.222867,-0.172907,0.00297443,-0.00191814,-4.84827e-06,8.88604e-06,0,0,True,True
0.025,-0,0,0.000460514,-3.8318e-05,-0.00379701,0.0701243,-0.618053,-0.000172592,-0.744163,1.06948,-3.43081e-05,-14.1149,-0.451426,0.0002069,-0.417064,3.8318e-05,0.00379701,-0.0431213,-0,0,0.00535336,-3.8318e-05,-0.00379701,-1.11591,-0.618053,-0.000172592,-0.404796,1.06948,-3.43081e-05,-15.9106,-0.451426,0.0002069,-0.453123,3.8318e-05,0.00379701,-0.0486859,-0.294481,-0.243548,0.00346287,-0.00316047,-5.78686e-06,1.5605e-05,0,0,True,True
0.03,-0,0,0.000372848,-5.9788e-05,-0.00478266,0.0773447,-0.618052,0.000347552,-0.755993,1.06948,6.68039e-05,-14.1613,-0.451427,-0.000414356,-0.476416,5.9788e-05,0.00478266,-0.042583,-0,0,0.0064326,-5.9788e-05,-0.00478266,-1.10685,-0.618052,0.000347552,-0.423135,1.06948,6.68039e-05,-15.9337,-0.451427,-0.000414356,-0.518609,5.9788e-05,0.00478266,-0.0479903,-0.332553,-0.28202,0.00383985,-0.00450571,-5.63359e-06,2.43472e-05,0,0,True,True
0.035,-0,0,0.000240284,-8.61445e-05,-0.00574699,0.0899548,-0.618049,0.000926242,-0.758365,1.06948,0.000179086,-14.2008,-0.451431,-0.00110533,-0.504972,8.61445e-05,0.00574699,-0.0415972,-0,0,0.00688151,-8.61445e-05,-0.00574699,-1.0911,-0.618049,0.000926242,-0.435115,1.06948,0.000179086,-15.9272,-0.451431,-0.00110533,-0.549102,8.61445e-05,0.00574699,-0.0467285,-0.350456,-0.300944,0.00414434,-0.00588652,-4.20687e-06,3.50788e-05,0,0,True,True
0.04,-0,0,9.79296e-05,-0.000117258,-0.00668425,0.104294,-0.618043,0.00152952,-0.755735,1.06948,0.000295838,-14.2333,-0.451438,-0.00182536,-0.515336,0.000117258,0.00668425,-0.0404812,-0,0,0.00697238,-0.000117258,-0.00668425,-1.07331,-0.618043,0.00152952,-0.442834,1.06948,0.000295838,-15.9062,-0.451438,-0.00182536,-0.559112,0.000117258,0.00668425,-0.0453092,-0.35652,-0.308243,0.00440279,-0.00726626,-1.4228e-06,4.77468e-05,0,0,True,True
0.045,-0,0,-3.38004e-05,-0.000152987,-0.00759401,0.118525,-0.618034,0.00213796,-0.750696,1.06948,0.0004132,-14.2596,-0.451449,-0.00255116,-0.515322,0.000152987,0.00759401,-0.0393939,-0,0,0.00687526,-0.000152987,-0.00759401,-1.05578,-0.618034,0.00213796,-0.447763,1.06948,0.0004132,-15.8792,-0.451449,-0.00255116,-0.55763,0.000152987,0.00759401,-0.043934,-0.35589,-0.308851,0.00463282,-0.00862644,2.74566e-06,6.22939e-05,0,0,True,True
