t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0139744,0,-9.71359e-05,0.422901,-0.618006,-0.00680335,-1.0696,1.06949,-0.00132864,-15.7995,-0.451482,0.00813199,-2.28209,0,9.71359e-05,-0.0122504,-0,0,0.0245588,0,-9.71359e-05,-0.70773,-0.618006,-0.00680335,-0.98886,1.06949,-0.00132864,-16.3196,-0.451482,0.00813199,-2.34754,0,9.71359e-05,-0.0126619,-1.48275,-1.46055,0.00637229,0.00623778,0,0,0,0,True,True
0.005,-0,0,-0.00943418,-4.8568e-07,-0.000365308,0.31379,-0.61804,-0.00371662,-1.08204,1.06948,-0.000725853,-15.5462,-0.451441,0.00444247,-2.17565,4.8568e-07,0.000365308,-0.0217703,-0,0,0.0277714,-4.8568e-07,-0.000365308,-0.826814,-0.61804,-0.00371662,-0.93566,1.06948,-0.000725853,-16.4804,-0.451441,0.00444247,-2.28914,4.8568e-07,0.000365308,-0.0231053,-1.41939,-1.38665,0.00375279,0.00313457,-2.45063e-07,1.97885e-07,0,0,True,True
0.01,-0,0,-0.0011856,-3.65308e-06,-0.00106327,0.150011,-0.618044,-0.000865086,-0.850016,1.06948,-0.000169052,-14.5772,-0.451437,0.00103414,-0.974511,3.65308e-06,0.00106327,-0.0360397,-0,0,0.0144579,-3.65308e-06,-0.00106327,-1.01735,-0.618044,-0.000865086,-0.57967,1.06948,-0.000169052,-16.0948,-0.451437,0.00103414,-1.05667,3.65308e-06,0.00106327,-0.0398536,-0.650878,-0.606076,0.00172453,-0.000125993,-1.66813e-06,1.48825e-06,0,0,True,True
0.015,-0,0,0.000636395,-1.11184e-05,-0.00199923,0.068835,-0.618049,-0.00117214,-0.641512,1.06948,-0.000229151,-13.8776,-0.451431,0.00140129,0.00620361,1.11184e-05,0.00199923,-0.0431216,-0,0,-0.00267553,-1.11184e-05,-0.00199923,-1.11749,-0.618049,-0.00117214,-0.291285,1.06948,-0.000229151,-15.6497,-0.451431,0.00140129,0.0187658,1.11184e-05,0.00199923,-0.0486969,-0.0207744,0.0286384,0.00282259,-0.000659226,-4.17162e-06,4.52886e-06,0,0,True,True
0.02,-0,0,0.000685675,-2.36454e-05,-0.00304005,0.0374629,-0.618055,-0.00118841,-0.693998,1.06948,-0.00023256,-13.9099,-0.451423,0.00142097,-0.160971,2.36454e-05,0.00304005,-0.0458948,-0,0,0.000453514,-2.36454e-05,-0.00304005,-1.15732,-0.618055,-0.00118841,-0.324167,1.06948,-0.00023256,-15.8143,-0.451423,0.00142097,-0.168123,2.36454e-05,0.00304005,-0.0522621,-0.130471,-0.07728,0.00374318,-0.00155436,-7.00162e-06,9.63036e-06,0,0,True,True
0.025,-0,0,0.000734525,-4.15188e-05,-0.00411246,0.0323188,-0.618061,-0.00100262,-0.722169,1.06948,-0.000196656,-13.9594,-0.451416,0.00119928,-0.268593,4.15188e-05,0.00411246,-0.046414,-0,0,0.00258228,-4.15188e-05,-0.00411246,-1.16393,-0.618061,-0.00100262,-0.351107,1.06948,-0.000196656,-15.8921,-0.451416,0.00119928,-0.289261,4.15188e-05,0.00411246,-0.0529287,-0.200364,-0.14619,0.00450461,-0.00266482,-9.5788e-06,1.69086e-05,0,0,True,True
0.03,-0,0,0.000699338,-6.477e-05,-0.00517881,0.0402111,-0.618065,-0.000700634,-0.734031,1.06948,-0.000138268,-14.008,-0.451411,0.000838902,-0.329387,6.477e-05,0.00517881,-0.0458246,-0,0,0.00376481,-6.477e-05,-0.00517881,-1.15384,-0.618065,-0.000700634,-0.370223,1.06948,-0.000138268,-15.9151,-0.451411,0.000838902,-0.357182,6.477e-05,0.00517881,-0.0521511,-0.239339,-0.185619,0.00515351,-0.00387782,-1.1564e-05,2.63761e-05,0,0,True,True
0.035,-0,0,0.000607424,-9.33069e-05,-0.0062218,0.0538254,-0.618068,-0.000335811,-0.736759,1.06948,-6.78824e-05,-14.0514,-0.451408,0.000403694,-0.36137,9.33069e-05,0.0062218,-0.0447609,-0,0,0.00434184,-9.33069e-05,-0.0062218,-1.13653,-0.618068,-0.000335811,-0.383605,1.06948,-6.78824e-05,-15.9089,-0.451408,0.000403694,-0.392181,9.33069e-05,0.0062218,-0.0507617,-0.259412,-0.206791,0.0057242,-0.0051286,-1.27685e-05,3.79954e-05,0,0,True,True
0.04,-0,0,0.000495009,-0.000126988,-0.00723533,0.0692409,-0.618069,5.94652e-05,-0.73463,1.06948,8.11748e-06,-14.0885,-0.451407,-6.75827e-05,-0.375943,0.000126988,0.00723533,-0.0435623,-0,0,0.00456034,-0.000126988,-0.00723533,-1.11706,-0.618069,5.94652e-05,-0.392915,1.06948,8.11748e-06,-15.8884,-0.451407,-6.75827e-05,-0.40741,0.000126988,0.00723533,-0.049207,-0.268149,-0.216844,0.00624134,-0.00638169,-1.3096e-05,5.17089e-05,0,0,True,True
0.045,-0,0,0.000384755,-0.00016566,-0.00821905,0.0844984,-0.618067,0.0004661,-0.730134,1.06948,8.59455e-05,-14.1193,-0.451409,-0.000552045,-0.380273,0.00016566,0.00821905,-0.0423982,-0,0,0.00457955,-0.00016566,-0.00821905,-1.09794,-0.618067,0.0004661,-0.3994,1.06948,8.59455e-05,-15.8621,-0.451409,-0.000552045,-0.411163,0.00016566,0.00821905,-0.0477061,-0.270283,-0.22029,0.00672231,-0.00761897,-1.25053e-05,6.74543e-05,0,0,True,True
0.05,-0,0,0.000286736,-0.000209178,-0.00917521,0.0987487,-0.618064,0.000873277,-0.724672,1.06948,0.000163437,-14.1448,-0.451413,-0.00103671,-0.378814,0.000209178,0.00917521,-0.0413419,-0,0,0.00449579,-0.000209178,-0.00917521,-1.08022,-0.618064,0.000873277,-0.403972,1.06948,0.000163437,-15.8345,-0.451413,-0.00103671,-0.408556,0.000209178,0.00917521,-0.0463503,-0.268736,-0.219952,0.00717912,-0.00883233,-1.09869e-05,8.51725e-05,0,0,True,True
0.055,-0,0,0.000203405,-0.000257412,-0.010107,0.111743,-0.618059,0.00127525,-0.718994,1.06948,0.000239419,-14.166,-0.451419,-0.00151466,-0.374287,0.000257412,0.010107,-0.0404144,-0,0,0.00436473,-0.000257412,-0.010107,-1.06417,-0.618059,0.00127525,-0.407281,1.06948,0.000239419,-15.8076,-0.451419,-0.00151466,-0.402669,0.000257412,0.010107,-0.0451636,-0.265279,-0.217567,0.00761987,-0.0100192,-8.54898e-06,0.00010481,0,0,True,True
