t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.028206,0,0,0.563093,-0.629719,-0.010006,-1.27931,1.06687,-0.00252218,-16.8571,-0.437155,0.0125282,-3.40506,0,0,-5.55112e-17,-0,0,0.028206,0,0,-0.563093,-0.629719,-0.010006,-1.27931,1.06687,-0.00252218,-16.8571,-0.437155,0.0125282,-3.40506,0,0,5.55112e-17,-2.1965,-2.18496,0.00971071,0.00976202,0,0,0,0,True,True
0.005,-0,0,-0.0264533,0,0,0.563093,-0.629769,-0.00560681,-1.23054,1.06686,-0.00141337,-16.7466,-0.437093,0.00702019,-3.20272,0,0,-5.55112e-17,-0,0,0.0264533,0,0,-0.563093,-0.629769,-0.00560681,-1.23054,1.06686,-0.00141337,-16.7466,-0.437093,0.00702019,-3.20272,0,0,5.55112e-17,-2.06596,-2.0551,0.00544147,0.00547022,-4.65945e-07,0,0,0,True,True
0.01,-0,0,-0.00946014,0,0,0.563093,-0.629775,-0.00175425,-0.757671,1.06686,-0.000442489,-15.6655,-0.437085,0.00219674,-1.21191,0,0,-5.55112e-17,-0,0,0.00946014,0,0,-0.563093,-0.629775,-0.00175425,-0.757671,1.06686,-0.000442489,-15.6655,-0.437085,0.00219674,-1.21191,0,0,5.55112e-17,-0.78176,-0.777652,0.00170274,0.00171173,-3.25262e-06,0,0,0,True,True
0.015,-0,0,0.00463303,0,0,0.563093,-0.629787,-0.00265565,-0.365501,1.06686,-0.000669997,-14.7691,-0.437071,0.00332565,0.438762,0,0,-5.55112e-17,-0,0,-0.00463303,0,0,-0.563093,-0.629787,-0.00265565,-0.365501,1.06686,-0.000669997,-14.7691,-0.437071,0.00332565,0.438762,0,0,5.55112e-17,0.283029,0.281541,0.00257778,0.0025914,-8.59589e-06,0,0,0,True,True
0.02,-0,0,0.00261866,0,0,0.563093,-0.629802,-0.00319911,-0.421554,1.06685,-0.000807338,-14.8976,-0.437052,0.00400645,0.201825,0,0,-2.31112e-33,-0,0,-0.00261866,0,0,-0.563093,-0.629802,-0.00319911,-0.421554,1.06685,-0.000807338,-14.8976,-0.437052,0.00400645,0.201825,0,0,-2.31112e-33,0.130189,0.129505,0.00310549,0.00312189,-1.55858e-05,0,0,0,True,True
0.025,-0,0,0.00121242,0,0,0.563093,-0.629819,-0.00347213,-0.460686,1.06685,-0.000876527,-14.9874,-0.437031,0.00434866,0.0360316,0,0,9.62965e-35,-0,0,-0.00121242,0,0,-0.563093,-0.629819,-0.00347213,-0.460686,1.06685,-0.000876527,-14.9874,-0.437031,0.00434866,0.0360316,0,0,9.62965e-35,0.0232424,0.0231203,0.00337075,0.00338856,-2.34515e-05,0,0,0,True,True
0.03,-0,0,0.000347567,0,0,0.563093,-0.629836,-0.00357694,-0.484752,1.06684,-0.000903303,-15.0428,-0.437008,0.00448024,-0.066376,0,0,-5.55112e-17,-0,0,-0.000347567,0,0,-0.563093,-0.629836,-0.00357694,-0.484752,1.06684,-0.000903303,-15.0428,-0.437008,0.00448024,-0.066376,0,0,5.55112e-17,-0.0428162,-0.0425912,0.00347276,0.0034911,-3.17088e-05,0,0,0,True,True
0.035,-0,0,-0.0001666,0,0,0.563093,-0.629854,-0.0035802,-0.49906,1.06684,-0.000904451,-15.0758,-0.436986,0.00448465,-0.127705,0,0,-5.55112e-17,-0,0,0.0001666,0,0,-0.563093,-0.629854,-0.0035802,-0.49906,1.06684,-0.000904451,-15.0758,-0.436986,0.00448465,-0.127705,0,0,5.55112e-17,-0.0823764,-0.0819437,0.0034762,0.00349455,-4.00613e-05,0,0,0,True,True
0.04,-0,0,-0.00045746,0,0,0.563093,-0.629872,-0.00352466,-0.507154,1.06684,-0.000890737,-15.0947,-0.436963,0.0044154,-0.162858,0,0,-5.55112e-17,-0,0,0.00045746,0,0,-0.563093,-0.629872,-0.00352466,-0.507154,1.06684,-0.000890737,-15.0947,-0.436963,0.0044154,-0.162858,0,0,5.55112e-17,-0.105051,-0.1045,0.00342253,0.0034406,-4.83342e-05,0,0,0,True,True
0.045,-0,0,-0.000608783,0,0,0.563093,-0.62989,-0.00343724,-0.511364,1.06683,-0.000868948,-15.1047,-0.436942,0.00430619,-0.181638,0,0,-5.55112e-17,-0,0,0.000608783,0,0,-0.563093,-0.62989,-0.00343724,-0.511364,1.06683,-0.000868948,-15.1047,-0.436942,0.00430619,-0.181638,0,0,5.55112e-17,-0.117165,-0.116549,0.00333789,0.00335551,-5.64295e-05,0,0,0,True,True
