t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0209317,0,-9.63808e-05,0.421127,-0.629719,-0.00997164,-1.3464,1.06687,-0.00251351,-16.6329,-0.437155,0.0124851,-3.42824,0,9.63808e-05,-0.012574,-0,0,0.0368057,0,-9.63808e-05,-0.709459,-0.629719,-0.00997164,-1.24618,1.06687,-0.00251351,-17.159,-0.437155,0.0124851,-3.52487,0,9.63808e-05,-0.0129813,-2.21866,-2.19266,0.00976139,0.009644,0,0,0,0,True,True
0.005,-0,0,-0.0140184,-4.81904e-07,-0.000362828,0.310143,-0.629769,-0.00547729,-1.35241,1.06686,-0.00138071,-16.3443,-0.437093,0.006858,-3.24852,4.81904e-07,0.000362828,-0.0223931,-0,0,0.041404,-4.81904e-07,-0.000362828,-0.830363,-0.629769,-0.00547729,-1.17005,1.06686,-0.00138071,-17.2893,-0.437093,0.006858,-3.41538,4.81904e-07,0.000362828,-0.0237192,-2.10835,-2.07172,0.00563214,0.00502577,-3.86095e-07,1.93864e-07,0,0,True,True
0.01,-0,0,-0.00164458,-3.62828e-06,-0.00105794,0.142705,-0.629774,-0.00137586,-0.980757,1.06686,-0.000347054,-15.03,-0.437087,0.00172292,-1.37354,3.62828e-06,0.00105794,-0.0371941,-0,0,0.0207116,-3.62828e-06,-0.00105794,-1.02456,-0.629774,-0.00137586,-0.638982,1.06686,-0.000347054,-16.5397,-0.437087,0.00172292,-1.48974,3.62828e-06,0.00105794,-0.0409997,-0.907347,-0.860147,0.002258,0.000415113,-2.65086e-06,1.45941e-06,0,0,True,True
0.015,-0,0,0.000932507,-1.10613e-05,-0.00199337,0.0584204,-0.629783,-0.00194104,-0.653068,1.06686,-0.000489764,-14.0457,-0.437076,0.0024308,0.15668,1.10613e-05,0.00199337,-0.044658,-0,0,-0.00571654,-1.10613e-05,-0.00199337,-1.12813,-0.629783,-0.00194104,-0.205126,1.06686,-0.000489764,-15.7832,-0.437076,0.0024308,0.185733,1.10613e-05,0.00199337,-0.0502542,0.0754621,0.126008,0.0036224,0.000146687,-6.75837e-06,4.4483e-06,0,0,True,True
0.02,-0,0,0.000971023,-2.3562e-05,-0.0030371,0.0248738,-0.629793,-0.00210787,-0.72708,1.06686,-0.000532155,-14.1152,-0.437062,0.00264002,-0.0867727,2.3562e-05,0.0030371,-0.0476669,-0,0,-0.00132001,-2.3562e-05,-0.0030371,-1.17058,-0.629793,-0.00210787,-0.25288,1.06686,-0.000532155,-15.9926,-0.437062,0.00264002,-0.0848202,2.3562e-05,0.0030371,-0.0540963,-0.0833055,-0.028491,0.00469471,-0.000605256,-1.16651e-05,9.47405e-06,0,0,True,True
0.025,-0,0,0.0010573,-4.14323e-05,-0.00411538,0.0184549,-0.629804,-0.00199046,-0.7686,1.06685,-0.000503026,-14.1898,-0.437049,0.00249348,-0.247356,4.14323e-05,0.00411538,-0.0483084,-0,0,0.00179407,-4.14323e-05,-0.00411538,-1.1788,-0.629804,-0.00199046,-0.29198,1.06685,-0.000503026,-16.1027,-0.437049,0.00249348,-0.264977,4.14323e-05,0.00411538,-0.0549169,-0.18726,-0.131164,0.00552139,-0.00166472,-1.65464e-05,1.66578e-05,0,0,True,True
0.03,-0,0,0.00103795,-6.47158e-05,-0.00518959,0.0257946,-0.629813,-0.00170528,-0.787553,1.06685,-0.000431782,-14.2536,-0.437037,0.00213706,-0.340764,6.47158e-05,0.00518959,-0.0477616,-0,0,0.00360501,-6.47158e-05,-0.00518959,-1.16945,-0.629813,-0.00170528,-0.319731,1.06685,-0.000431782,-16.1461,-0.437037,0.00213706,-0.369362,6.47158e-05,0.00518959,-0.0541988,-0.247202,-0.19141,0.00618181,-0.00288419,-2.09081e-05,2.6017e-05,0,0,True,True
0.035,-0,0,0.000936569,-9.33282e-05,-0.0062415,0.0393753,-0.629821,-0.0013259,-0.793546,1.06685,-0.000337033,-14.3061,-0.437028,0.00166293,-0.392194,9.33282e-05,0.0062415,-0.0466882,-0,0,0.00455576,-9.33282e-05,-0.0062415,-1.15221,-0.629821,-0.0013259,-0.339188,1.06685,-0.000337033,-16.1521,-0.437028,0.00166293,-0.426011,9.33282e-05,0.0062415,-0.0528046,-0.279765,-0.22502,0.00673153,-0.00417585,-2.44665e-05,3.75177e-05,0,0,True,True
0.04,-0,0,0.000799955,-0.000127131,-0.00726426,0.0550956,-0.629826,-0.000897811,-0.792408,1.06685,-0.000230312,-14.3484,-0.437021,0.00112812,-0.417792,0.000127131,0.00726426,-0.045449,-0,0,0.00498068,-0.000127131,-0.00726426,-1.1324,-0.629826,-0.000897811,-0.352748,1.06685,-0.000230312,-16.1384,-0.437021,0.00112812,-0.453392,0.000127131,0.00726426,-0.0512059,-0.29557,-0.242148,0.00720875,-0.00548926,-2.70689e-05,5.11041e-05,0,0,True,True
0.045,-0,0,0.000660257,-0.000165971,-0.008257,0.0708529,-0.62983,-0.000448473,-0.787606,1.06685,-0.000118604,-14.3821,-0.437017,0.000567076,-0.427846,0.000165971,0.008257,-0.0442286,-0,0,0.005102,-0.000165971,-0.008257,-1.11269,-0.62983,-0.000448473,-0.362205,1.06685,-0.000118604,-16.1155,-0.437017,0.000567076,-0.463344,0.000165971,0.008257,-0.0496408,-0.301358,-0.249291,0.00763943,-0.00679683,-2.86427e-05,6.67147e-05,0,0,True,True
0.05,-0,0,0.000533219,-0.000209701,-0.00922168,0.0856936,-0.629831,6.10009e-06,-0.781144,1.06685,-6.00712e-06,-14.4091,-0.437015,-9.2969e-08,-0.428853,0.000209701,0.00922168,-0.0431104,-0,0,0.00505807,-0.000209701,-0.00922168,-1.09427,-0.629831,6.10009e-06,-0.368867,1.06685,-6.00712e-06,-16.089,-0.437015,-9.2969e-08,-0.463305,0.000209701,0.00922168,-0.0482135,-0.30137,-0.25057,0.00804084,-0.0080846,-2.91629e-05,8.42905e-05,0,0,True,True
0.055,-0,0,0.000423885,-0.000258188,-0.0101613,0.0992993,-0.62983,0.000457009,-0.774134,1.06685,0.000105177,-14.4309,-0.437017,-0.000562187,-0.424854,0.000258188,0.0101613,-0.0421219,-0,0,0.0049313,-0.000258188,-0.0101613,-1.07749,-0.62983,0.000457009,-0.373666,1.06685,0.000105177,-16.0621,-0.437017,-0.000562187,-0.45785,0.000258188,0.0101613,-0.0469559,-0.298228,-0.248564,0.00842433,-0.00934652,-2.86314e-05,0.000103778,0,0,True,True
0.06,-0,0,0.000331799,-0.000311314,-0.0110792,0.111678,-0.629826,0.000899701,-0.767154,1.06685,0.000213748,-14.449,-0.437021,-0.00111345,-0.418308,0.000311314,0.0110792,-0.0412621,-0,0,0.00476895,-0.000311314,-0.0110792,-1.06232,-0.629826,0.000899701,-0.37726,1.06685,0.000213748,-16.0362,-0.437021,-0.00111345,-0.449727,0.000311314,0.0110792,-0.0458638,-0.293517,-0.244849,0.00879715,-0.0105809,-2.70644e-05,0.00012513,0,0,True,True
0.065,-0,0,0.000254297,-0.00036898,-0.0119782,0.122987,-0.629821,0.0013322,-0.760475,1.06685,0.000319155,-14.4644,-0.437028,-0.00165135,-0.410666,0.00036898,0.0119782,-0.0405167,-0,0,0.00459698,-0.00036898,-0.0119782,-1.04855,-0.629821,0.0013322,-0.3801,1.06685,0.000319155,-16.0119,-0.437028,-0.00165135,-0.440527,0.00036898,0.0119782,-0.0449172,-0.288165,-0.240366,0.0091638,-0.0117884,-2.44852e-05,0.000148305,0,0,True,True
0.07,-0,0,0.000188242,-0.000431096,-0.0128608,0.133429,-0.629813,0.00175398,-0.754192,1.06685,0.000421222,-14.4779,-0.437037,-0.0021752,-0.402745,0.000431096,0.0128608,-0.0398675,-0,0,0.00442877,-0.000431096,-0.0128608,-1.0359,-0.629813,0.00175398,-0.382492,1.06685,0.000421222,-15.9891,-0.437037,-0.0021752,-0.431131,0.000431096,0.0128608,-0.0440919,-0.282688,-0.235649,0.009527,-0.0129705,-2.09195e-05,0.00017327,0,0,True,True
0.075,-0,0,0.000130802,-0.000497587,-0.013729,0.143204,-0.629803,0.00216533,-0.748313,1.06685,0.000519971,-14.4902,-0.437049,-0.0026853,-0.394977,0.000497587,0.013729,-0.0392966,-0,0,0.00427054,-0.000497587,-0.013729,-1.02411,-0.629803,0.00216533,-0.384636,1.06685,0.000519971,-15.9679,-0.437049,-0.0026853,-0.421992,0.000497587,0.013729,-0.0433644,-0.277355,-0.230985,0.00988828,-0.0141294,-1.63928e-05,0.000199992,0,0,True,True
0.08,-0,0,7.97009e-05,-0.000568386,-0.0145845,0.152486,-0.629791,0.00256688,-0.742803,1.06686,0.000615524,-14.5017,-0.437064,-0.0031824,-0.38756,0.000568386,0.0145845,-0.0387884,-0,0,0.00412451,-0.000568386,-0.0145845,-1.01297,-0.629791,0.00256688,-0.386661,1.06686,0.000615524,-15.948,-0.437064,-0.0031824,-0.41331,0.000568386,0.0145845,-0.0427149,-0.272284,-0.226511,0.0102485,-0.0152671,-1.09298e-05,0.000228445,0,0,True,True
0.085,-0,0,3.32326e-05,-0.000643433,-0.0154287,0.161413,-0.629778,0.00295943,-0.737614,1.06686,0.000708037,-14.5127,-0.437081,-0.00366747,-0.380563,0.000643433,0.0154287,-0.0383304,-0,0,0.00399085,-0.000643433,-0.0154287,-1.0023,-0.629778,0.00295943,-0.388644,1.06686,0.000708037,-15.9292,-0.437081,-0.00366747,-0.405145,0.000643433,0.0154287,-0.0421275,-0.267514,-0.222277,0.010608,-0.0163854,-4.55303e-06,0.000258606,0,0,True,True
0.09,-0,0,-9.83078e-06,-0.000722673,-0.0162624,0.170092,-0.629762,0.0033438,-0.732694,1.06686,0.000797676,-14.5234,-0.437101,-0.00414148,-0.373988,0.000722673,0.0162624,-0.0379133,-0,0,0.00386875,-0.000722673,-0.0162624,-0.991977,-0.629762,0.0033438,-0.390633,1.06686,0.000797676,-15.9112,-0.437101,-0.00414148,-0.397485,0.000722673,0.0162624,-0.04159,-0.263039,-0.218291,0.010967,-0.0174861,2.71641e-06,0.000290451,0,0,True,True
0.095,-0,0,-5.03614e-05,-0.000806057,-0.0170867,0.178602,-0.629744,0.00372075,-0.727998,1.06687,0.000884597,-14.5339,-0.437123,-0.00460535,-0.367802,0.000806057,0.0170867,-0.0375297,-0,0,0.00375706,-0.000806057,-0.0170867,-0.981892,-0.629744,0.00372075,-0.392653,1.06687,0.000884597,-15.8939,-0.437123,-0.00460535,-0.390287,0.000806057,0.0170867,-0.0410937,-0.258835,-0.214534,0.0113254,-0.0185705,1.08595e-05,0.000323962,0,0,True,True
0.1,-0,0,-8.89792e-05,-0.000893539,-0.0179021,0.187002,-0.629725,0.00409099,-0.72349,1.06687,0.000968938,-14.5444,-0.437147,-0.00505992,-0.361962,0.000893539,0.0179021,-0.0371744,-0,0,0.00365456,-0.000893539,-0.0179021,-0.971976,-0.629725,0.00409099,-0.394718,1.06687,0.000968938,-15.8771,-0.437147,-0.00505992,-0.383497,0.000893539,0.0179021,-0.0406316,-0.254871,-0.210984,0.0116833,-0.0196401,1.98587e-05,0.000359119,0,0,True,True
0.105,-0,0,-0.000126053,-0.000985078,-0.0187093,0.195325,-0.629703,0.00445514,-0.719139,1.06688,0.00105082,-14.5547,-0.437173,-0.00550596,-0.356419,0.000985078,0.0187093,-0.0368443,-0,0,0.0035601,-0.000985078,-0.0187093,-0.962188,-0.629703,0.00445514,-0.396831,1.06688,0.00105082,-15.8608,-0.437173,-0.00550596,-0.377058,0.000985078,0.0187093,-0.0401997,-0.251113,-0.20761,0.0120406,-0.0206958,2.96982e-05,0.000395906,0,0,True,True
0.11,-0,0,-0.000161711,-0.00108063,-0.0195089,0.203582,-0.62968,0.00481377,-0.714929,1.06688,0.00113036,-14.565,-0.437202,-0.00594412,-0.351119,0.00108063,0.0195089,-0.0365384,-0,0,0.00347255,-0.00108063,-0.0195089,-0.952515,-0.62968,0.00481377,-0.39898,1.06688,0.00113036,-15.845,-0.437202,-0.00594412,-0.370908,0.00108063,0.0195089,-0.0397969,-0.247525,-0.204378,0.0123972,-0.0217387,4.03634e-05,0.000434307,0,0,True,True
0.115,-0,0,-0.000195996,-0.00118017,-0.0203013,0.211771,-0.629655,0.00516734,-0.710847,1.06689,0.00120762,-14.5752,-0.437233,-0.00637496,-0.346011,0.00118017,0.0203013,-0.0362566,-0,0,0.00339092,-0.00118017,-0.0203013,-0.942958,-0.629655,0.00516734,-0.401153,1.06689,0.00120762,-15.8295,-0.437233,-0.00637496,-0.364991,0.00118017,0.0203013,-0.0394228,-0.244075,-0.201255,0.0127533,-0.0227697,5.18407e-05,0.000474307,0,0,True,True
0.12,-0,0,-0.00022897,-0.00128365,-0.0210872,0.219894,-0.629628,0.00551627,-0.706881,1.06689,0.00128269,-14.5852,-0.437266,-0.00679896,-0.341056,0.00128365,0.0210872,-0.0359986,-0,0,0.00331445,-0.00128365,-0.0210872,-0.933511,-0.629628,0.00551627,-0.403339,1.06689,0.00128269,-15.8143,-0.437266,-0.00679896,-0.359263,0.00128365,0.0210872,-0.0390768,-0.240738,-0.198217,0.0131088,-0.0237896,6.41178e-05,0.000515892,0,0,True,True
0.125,-0,0,-0.000260715,-0.00139104,-0.0218671,0.227957,-0.6296,0.00586091,-0.703022,1.0669,0.00135561,-14.5952,-0.437301,-0.00721652,-0.336226,0.00139104,0.0218671,-0.0357639,-0,0,0.00324252,-0.00139104,-0.0218671,-0.92417,-0.6296,0.00586091,-0.405534,1.0669,0.00135561,-15.7995,-0.437301,-0.00721652,-0.353692,0.00139104,0.0218671,-0.0387582,-0.237495,-0.195245,0.0134639,-0.0247994,7.7183e-05,0.00055905,0,0,True,True
0.13,-0,0,-0.00029131,-0.00150232,-0.0226415,0.235962,-0.62957,0.00620159,-0.699264,1.06691,0.00142643,-14.605,-0.437338,-0.00762802,-0.331501,0.00150232,0.0226415,-0.0355521,-0,0,0.00317472,-0.00150232,-0.0226415,-0.914928,-0.62957,0.00620159,-0.407734,1.06691,0.00142643,-15.7849,-0.437338,-0.00762802,-0.348256,0.00150232,0.0226415,-0.0384666,-0.234333,-0.192328,0.0138189,-0.0257996,9.10253e-05,0.000603768,0,0,True,True
0.135,-0,0,-0.000320834,-0.00161745,-0.0234109,0.243911,-0.629538,0.00653861,-0.695602,1.06691,0.0014952,-14.6147,-0.437377,-0.0080338,-0.326867,0.00161745,0.0234109,-0.0353631,-0,0,0.00311071,-0.00161745,-0.0234109,-0.905784,-0.629538,0.00653861,-0.409934,1.06691,0.0014952,-15.7707,-0.437377,-0.0080338,-0.342939,0.00161745,0.0234109,-0.0382013,-0.231243,-0.189456,0.0141739,-0.026791,0.000105635,0.000650037,0,0,True,True
0.14,-0,0,-0.000349359,-0.00173643,-0.0241759,0.251804,-0.629504,0.00687224,-0.692033,1.06692,0.00156194,-14.6242,-0.437418,-0.00843418,-0.322316,0.00173643,0.0241759,-0.0351967,-0,0,0.00305026,-0.00173643,-0.0241759,-0.896735,-0.629504,0.00687224,-0.412134,1.06692,0.00156194,-15.7567,-0.437418,-0.00843418,-0.33773,0.00173643,0.0241759,-0.0379621,-0.228219,-0.186624,0.0145291,-0.0277744,0.000121001,0.000697847,0,0,True,True
0.145,-0,0,-0.000376959,-0.00185921,-0.0249369,0.259641,-0.629469,0.00720275,-0.688554,1.06693,0.0016267,-14.6336,-0.437461,-0.00882945,-0.31784,0.00185921,0.0249369,-0.0350529,-0,0,0.00299317,-0.00185921,-0.0249369,-0.887781,-0.629469,0.00720275,-0.41433,1.06693,0.0016267,-15.743,-0.437461,-0.00882945,-0.332622,0.00185921,0.0249369,-0.037749,-0.225257,-0.183828,0.0148846,-0.0287504,0.000137116,0.00074719,0,0,True,True
0.15,-0,0,-0.000403705,-0.0019858,-0.0256944,0.267421,-0.629432,0.00753041,-0.685165,1.06694,0.0016895,-14.6429,-0.437506,-0.00921991,-0.313436,0.0019858,0.0256944,-0.0349316,-0,0,0.0029393,-0.0019858,-0.0256944,-0.878921,-0.629432,0.00753041,-0.416522,1.06694,0.0016895,-15.7296,-0.437506,-0.00921991,-0.32761,0.0019858,0.0256944,-0.0375615,-0.222355,-0.181065,0.0152408,-0.0297196,0.000153971,0.000798057,0,0,True,True
0.155,-0,0,-0.000429669,-0.00211616,-0.026449,0.275145,-0.629394,0.00785547,-0.681865,1.06695,0.00175037,-14.652,-0.437554,-0.00960584,-0.309102,0.00211616,0.026449,-0.0348328,-0,0,0.00288853,-0.00211616,-0.026449,-0.870155,-0.629394,0.00785547,-0.418709,1.06695,0.00175037,-15.7164,-0.437554,-0.00960584,-0.322689,0.00211616,0.026449,-0.0373998,-0.21951,-0.178333,0.0155978,-0.0306828,0.000171558,0.000850443,0,0,True,True
0.16,-0,0,-0.000454925,-0.00225029,-0.0272012,0.282812,-0.629354,0.00817817,-0.678653,1.06696,0.00180933,-14.661,-0.437603,-0.00998751,-0.304835,0.00225029,0.0272012,-0.0347565,-0,0,0.00284076,-0.00225029,-0.0272012,-0.861483,-0.629354,0.00817817,-0.42089,1.06696,0.00180933,-15.7035,-0.437603,-0.00998751,-0.317859,0.00225029,0.0272012,-0.0372636,-0.216721,-0.175632,0.0159558,-0.0316405,0.000189869,0.000904342,0,0,True,True
0.165,-0,0,-0.000479548,-0.00238817,-0.0279514,0.29042,-0.629312,0.00849878,-0.67553,1.06697,0.00186642,-14.6699,-0.437653,-0.0103652,-0.300636,0.00238817,0.0279514,-0.0347028,-0,0,0.00279591,-0.00238817,-0.0279514,-0.852904,-0.629312,0.00849878,-0.423065,1.06697,0.00186642,-15.6908,-0.437653,-0.0103652,-0.313118,0.00238817,0.0279514,-0.0371528,-0.21399,-0.172962,0.0163152,-0.0325935,0.000208899,0.00095975,0,0,True,True
0.17,-0,0,-0.00050361,-0.0025298,-0.0287001,0.29797,-0.629269,0.00881752,-0.672495,1.06698,0.00192165,-14.6786,-0.437706,-0.0107392,-0.296507,0.0025298,0.0287001,-0.0346717,-0,0,0.00275394,-0.0025298,-0.0287001,-0.844419,-0.629269,0.00881752,-0.425232,1.06698,0.00192165,-15.6785,-0.437706,-0.0107392,-0.308468,0.0025298,0.0287001,-0.0370675,-0.211316,-0.170323,0.016676,-0.0335424,0.00022864,0.00101666,0,0,True,True
0.175,-0,0,-0.000527182,-0.00267517,-0.0294479,0.305458,-0.629224,0.00913466,-0.669549,1.06698,0.00197504,-14.6872,-0.437761,-0.0111097,-0.292449,0.00267517,0.0294479,-0.0346635,-0,0,0.00271482,-0.00267517,-0.0294479,-0.836029,-0.629224,0.00913466,-0.427392,1.06698,0.00197504,-15.6664,-0.437761,-0.0111097,-0.303909,0.00267517,0.0294479,-0.0370077,-0.208702,-0.167718,0.0170385,-0.0344878,0.000249086,0.00107508,0,0,True,True
0.18,-0,0,-0.000550322,-0.00282428,-0.0301953,0.312879,-0.629177,0.00945045,-0.666697,1.06699,0.00202662,-14.6956,-0.437817,-0.0114771,-0.288468,0.00282428,0.0301953,-0.0346785,-0,0,0.00267856,-0.00282428,-0.0301953,-0.82774,-0.629177,0.00945045,-0.429544,1.06699,0.00202662,-15.6545,-0.437817,-0.0114771,-0.299448,0.00282428,0.0301953,-0.0369738,-0.20615,-0.165148,0.017403,-0.0354305,0.000270233,0.001135,0,0,True,True
