t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0243981,0,-8.53478e-05,0.446,-0.709886,-0.0110533,-1.41931,1.19617,-0.00282118,-18.3178,-0.486287,0.0138745,-3.66857,0,8.53478e-05,-0.0107115,-0,0,0.0388728,0,-8.53478e-05,-0.683186,-0.709886,-0.0110533,-1.32666,1.19617,-0.00282118,-18.7975,-0.486287,0.0138745,-3.75427,0,8.53478e-05,-0.0109998,-2.39372,-2.36647,0.0107332,0.0106522,0,0,0,0,True,True
0.005,-0,0,-0.0181485,-4.26739e-07,-0.000321789,0.353462,-0.709941,-0.00593401,-1.43494,1.19616,-0.00151462,-18.0766,-0.486218,0.00744863,-3.54747,4.26739e-07,0.000321789,-0.0191683,-0,0,0.0436681,-4.26739e-07,-0.000321789,-0.782537,-0.709941,-0.00593401,-1.26648,1.19616,-0.00151462,-18.9423,-0.486218,0.00744863,-3.6987,4.26739e-07,0.000321789,-0.0201118,-2.31977,-2.28326,0.00600083,0.00547877,-3.17205e-07,1.65049e-07,0,0,True,True
0.01,-0,0,-0.00409583,-3.21789e-06,-0.000940885,0.212067,-0.709945,-0.0010743,-1.04747,1.19616,-0.000274373,-16.7925,-0.486213,0.00134868,-1.66894,3.21789e-06,0.000940885,-0.0320803,-0,0,0.0241131,-3.21789e-06,-0.000940885,-0.942498,-0.709945,-0.0010743,-0.731961,1.19616,-0.000274373,-18.1897,-0.486213,0.00134868,-1.78758,3.21789e-06,0.000940885,-0.0348103,-1.1047,-1.06092,0.0018494,0.000224341,-2.12459e-06,1.24441e-06,0,0,True,True
0.015,-0,0,0.00073484,-9.83559e-06,-0.0017787,0.1388,-0.709952,-0.00132726,-0.698847,1.19616,-0.000339062,-15.7995,-0.486204,0.00166633,-0.091603,9.83559e-06,0.0017787,-0.0387837,-0,0,-0.000923773,-9.83559e-06,-0.0017787,-1.02952,-0.709952,-0.00132726,-0.283875,1.19616,-0.000339062,-17.423,-0.486204,0.00166633,-0.0905429,9.83559e-06,0.0017787,-0.0428398,-0.0820507,-0.0369467,0.0028176,-0.00025878,-5.11363e-06,3.80285e-06,0,0,True,True
0.02,-0,0,0.000545497,-2.10049e-05,-0.00271868,0.10815,-0.709959,-0.00110987,-0.780069,1.19615,-0.000283708,-15.8804,-0.486196,0.00139358,-0.358537,2.10049e-05,0.00271868,-0.0416215,-0,0,0.00377248,-2.10049e-05,-0.00271868,-1.06686,-0.709959,-0.00110987,-0.338842,1.19615,-0.000283708,-17.6431,-0.486196,0.00139358,-0.384225,2.10049e-05,0.00271868,-0.0463282,-0.257413,-0.207948,0.0034205,-0.00128721,-8.07234e-06,8.12022e-06,0,0,True,True
0.025,-0,0,0.000441977,-3.70224e-05,-0.00369428,0.100914,-0.709963,-0.000569257,-0.825611,1.19615,-0.000145904,-15.9567,-0.486191,0.000715161,-0.528846,3.70224e-05,0.00369428,-0.0423485,-0,0,0.00689273,-3.70224e-05,-0.00369428,-1.07577,-0.709963,-0.000569257,-0.380388,1.19615,-0.000145904,-17.7594,-0.486191,0.000715161,-0.572438,3.70224e-05,0.00369428,-0.0472256,-0.368672,-0.317671,0.00374249,-0.00266028,-1.00862e-05,1.4311e-05,0,0,True,True
0.03,-0,0,0.000287792,-5.79477e-05,-0.00466965,0.105937,-0.709964,0.000155661,-0.846346,1.19615,3.88186e-05,-16.0174,-0.486189,-0.00019448,-0.623709,5.79477e-05,0.00466965,-0.0419812,-0,0,0.008582,-5.79477e-05,-0.00466965,-1.06961,-0.709964,0.000155661,-0.407985,1.19615,3.88186e-05,-17.8056,-0.486189,-0.00019448,-0.676403,5.79477e-05,0.00466965,-0.0467604,-0.430199,-0.379229,0.00388661,-0.00421191,-1.06222e-05,2.2398e-05,0,0,True,True
0.035,-0,0,9.15309e-05,-8.37189e-05,-0.00562713,0.116788,-0.709961,0.000978073,-0.852692,1.19615,0.000248213,-16.0647,-0.486192,-0.00122629,-0.67191,8.37189e-05,0.00562713,-0.0411046,-0,0,0.0093563,-8.37189e-05,-0.00562713,-1.05633,-0.709961,0.000978073,-0.425998,1.19615,0.000248213,-17.8119,-0.486192,-0.00122629,-0.728012,8.37189e-05,0.00562713,-0.0456638,-0.461066,-0.410902,0.00392138,-0.00584244,-9.38848e-06,3.23574e-05,0,0,True,True
0.04,-0,0,-0.000111437,-0.000114219,-0.00655953,0.129863,-0.709954,0.00184518,-0.851055,1.19616,0.000468709,-16.1013,-0.486201,-0.00231389,-0.691857,0.000114219,0.00655953,-0.0400462,-0,0,0.00958972,-0.000114219,-0.00655953,-1.04042,-0.709954,0.00184518,-0.437572,1.19616,0.000468709,-17.7971,-0.486201,-0.00231389,-0.748099,0.000114219,0.00655953,-0.0443475,-0.473441,-0.424405,0.00389156,-0.00749431,-6.24102e-06,4.41439e-05,0,0,True,True
0.045,-0,0,-0.000297297,-0.000149314,-0.00746531,0.143255,-0.709943,0.00272585,-0.845282,1.19616,0.00069227,-16.1295,-0.486216,-0.00341812,-0.695162,0.000149314,0.00746531,-0.038979,-0,0,0.00952433,-0.000149314,-0.00746531,-1.02422,-0.709943,0.00272585,-0.4449,1.19616,0.00069227,-17.7719,-0.486216,-0.00341812,-0.749855,0.000149314,0.00746531,-0.0430269,-0.474981,-0.427151,0.00382592,-0.00913588,-1.12445e-06,5.77057e-05,0,0,True,True
