t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0217144,0,-8.93479e-05,0.431334,-0.629719,-0.00995576,-1.35052,1.06687,-0.00250951,-16.6698,-0.437155,0.0124653,-3.46444,0,8.93479e-05,-0.0116706,-0,0,0.0365754,0,-8.93479e-05,-0.698634,-0.629719,-0.00995576,-1.25778,1.06687,-0.00250951,-17.158,-0.437155,0.0124653,-3.5549,0,8.93479e-05,-0.0120207,-2.2415,-2.2164,0.00973986,0.00963468,0,0,0,0,True,True
0.005,-0,0,-0.0152765,-4.46739e-07,-0.000336361,0.3281,-0.629769,-0.00541734,-1.35975,1.06686,-0.00136559,-16.4105,-0.437093,0.00678293,-3.31326,4.46739e-07,0.000336361,-0.0208054,-0,0,0.0411397,-4.46739e-07,-0.000336361,-0.810395,-0.629769,-0.00541734,-1.19126,1.06686,-0.00136559,-17.2882,-0.437093,0.00678293,-3.47084,4.46739e-07,0.000336361,-0.0219452,-2.14919,-2.11417,0.00555088,0.00499048,-3.49225e-07,1.79718e-07,0,0,True,True
0.01,-0,0,-0.00258159,-3.36361e-06,-0.000980807,0.171939,-0.629773,-0.00120001,-0.991924,1.06686,-0.000302689,-15.1385,-0.437087,0.0015027,-1.47643,3.36361e-06,0.000980807,-0.0346134,-0,0,0.0216308,-3.36361e-06,-0.000980807,-0.989565,-0.629773,-0.00120001,-0.676678,1.06686,-0.000302689,-16.5429,-0.437087,0.0015027,-1.59252,3.36361e-06,0.000980807,-0.0378851,-0.972242,-0.927645,0.00202004,0.00031113,-2.37235e-06,1.35295e-06,0,0,True,True
0.015,-0,0,0.000859593,-1.02548e-05,-0.00184814,0.0930981,-0.629781,-0.00160728,-0.665565,1.06686,-0.000405533,-14.1741,-0.437078,0.00201281,0.0377034,1.02548e-05,0.00184814,-0.0415979,-0,0,-0.0032585,-1.02548e-05,-0.00184814,-1.085,-0.629781,-0.00160728,-0.252637,1.06686,-0.000405533,-15.792,-0.437078,0.00201281,0.0522427,1.02548e-05,0.00184814,-0.0464101,0.000469412,0.0479196,0.00317176,-5.17086e-05,-5.9046e-06,4.12397e-06,0,0,True,True
0.02,-0,0,0.000797775,-2.1845e-05,-0.002816,0.0616381,-0.629789,-0.00159576,-0.74097,1.06686,-0.000402864,-14.2536,-0.437067,0.00199862,-0.216231,2.1845e-05,0.002816,-0.0444207,-0,0,0.00124579,-2.1845e-05,-0.002816,-1.12413,-0.629789,-0.00159576,-0.304042,1.06686,-0.000402864,-16.0027,-0.437067,0.00199862,-0.228817,2.1845e-05,0.002816,-0.0499507,-0.164953,-0.113411,0.00400474,-0.000911218,-9.83629e-06,8.78367e-06,0,0,True,True
0.025,-0,0,0.000790862,-3.84148e-05,-0.00381602,0.0555681,-0.629797,-0.00129222,-0.783139,1.06685,-0.000326666,-14.331,-0.437058,0.00161888,-0.380303,3.84148e-05,0.00381602,-0.0450266,-0,0,0.00430945,-3.84148e-05,-0.00381602,-1.13176,-0.629797,-0.00129222,-0.344023,1.06685,-0.000326666,-16.1135,-0.437058,0.00161888,-0.411563,3.84148e-05,0.00381602,-0.050712,-0.271139,-0.218344,0.00458241,-0.00208379,-1.33141e-05,1.54446e-05,0,0,True,True
0.03,-0,0,0.000702916,-6.00052e-05,-0.00481239,0.062388,-0.629802,-0.000820158,-0.802271,1.06685,-0.000208131,-14.3935,-0.437051,0.00102829,-0.473219,6.00052e-05,0.00481239,-0.0445185,-0,0,0.00601216,-6.00052e-05,-0.00481239,-1.12322,-0.629802,-0.000820158,-0.371212,1.06685,-0.000208131,-16.1571,-0.437051,0.00102829,-0.514349,6.00052e-05,0.00481239,-0.0500579,-0.330786,-0.278251,0.00499344,-0.00341747,-1.58363e-05,2.41232e-05,0,0,True,True
0.035,-0,0,0.000554146,-8.65386e-05,-0.00578818,0.0750603,-0.629805,-0.000256822,-0.808168,1.06685,-6.68003e-05,-14.4428,-0.437048,0.000323622,-0.522083,8.65386e-05,0.00578818,-0.0435162,-0,0,0.00683911,-8.65386e-05,-0.00578818,-1.10742,-0.629805,-0.000256822,-0.389429,1.06685,-6.68003e-05,-16.163,-0.437048,0.000323622,-0.567357,8.65386e-05,0.00578818,-0.0487805,-0.361735,-0.310174,0.00529808,-0.00482201,-1.71232e-05,3.47882e-05,0,0,True,True
0.04,-0,0,0.000386199,-0.000117887,-0.00673701,0.0897494,-0.629805,0.000350639,-0.806787,1.06685,8.53641e-05,-14.4812,-0.437048,-0.000436003,-0.54417,0.000117887,0.00673701,-0.0423572,-0,0,0.00714418,-0.000117887,-0.00673701,-1.08921,-0.629805,0.000350639,-0.401505,1.06685,8.53641e-05,-16.1491,-0.437048,-0.000436003,-0.590272,0.000117887,0.00673701,-0.0473128,-0.375322,-0.325003,0.00553657,-0.00624577,-1.70315e-05,4.73881e-05,0,0,True,True
0.045,-0,0,0.000226474,-0.000153909,-0.00765804,0.104487,-0.629802,0.000974233,-0.801673,1.06685,0.000241232,-14.5108,-0.437052,-0.00121547,-0.550411,0.000153909,0.00765804,-0.0412145,-0,0,0.00715751,-0.000153909,-0.00765804,-1.07108,-0.629802,0.000974233,-0.409461,1.06685,0.000241232,-16.1258,-0.437052,-0.00121547,-0.595596,0.000153909,0.00765804,-0.0458736,-0.378697,-0.329655,0.00573541,-0.00766063,-1.55006e-05,6.18661e-05,0,0,True,True
