t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0208697,0,-9.67818e-05,0.420565,-0.629719,-0.00997403,-1.34545,1.06687,-0.00251411,-16.6292,-0.437155,0.0124881,-3.4232,0,9.67818e-05,-0.0126237,-0,0,0.0367843,0,-9.67818e-05,-0.710057,-0.629719,-0.00997403,-1.2448,1.06687,-0.00251411,-17.1573,-0.437155,0.0124881,-3.52007,0,9.67818e-05,-0.0130344,-2.21544,-2.1894,0.00976407,0.00964599,0,0,0,0,True,True
0.005,-0,0,-0.0139288,-4.83909e-07,-0.000364301,0.309198,-0.629769,-0.00548623,-1.35073,1.06686,-0.00138296,-16.3378,-0.437093,0.00686919,-3.23972,4.83909e-07,0.000364301,-0.0224767,-0,0,0.0413454,-4.83909e-07,-0.000364301,-0.831418,-0.629769,-0.00548623,-1.16759,1.06686,-0.00138296,-17.2862,-0.437093,0.00686919,-3.40676,4.83909e-07,0.000364301,-0.0238129,-2.10271,-2.06602,0.0056421,0.00503321,-3.91669e-07,1.94671e-07,0,0,True,True
0.01,-0,0,-0.00158599,-3.64301e-06,-0.00106204,0.141281,-0.629774,-0.00140145,-0.978087,1.06686,-0.000353508,-15.0199,-0.437087,0.00175496,-1.35964,3.64301e-06,0.00106204,-0.0373198,-0,0,0.0205143,-3.64301e-06,-0.00106204,-1.02628,-0.629774,-0.00140145,-0.634849,1.06686,-0.000353508,-16.5343,-0.437087,0.00175496,-1.47499,3.64301e-06,0.00106204,-0.0411525,-0.898454,-0.851158,0.0022864,0.000436484,-2.6924e-06,1.46534e-06,0,0,True,True
0.015,-0,0,0.000935764,-1.11043e-05,-0.00200065,0.0569013,-0.629783,-0.00198811,-0.65,1.06686,-0.000501641,-14.0344,-0.437075,0.00248975,0.172403,1.11043e-05,0.00200065,-0.044792,-0,0,-0.00602589,-1.11043e-05,-0.00200065,-1.13004,-0.629783,-0.00198811,-0.200276,1.06686,-0.000501641,-15.7764,-0.437075,0.00248975,0.203319,1.11043e-05,0.00200065,-0.0504241,0.085528,0.136174,0.00367444,0.000186236,-6.88279e-06,4.46559e-06,0,0,True,True
0.02,-0,0,0.000971471,-2.36495e-05,-0.00304753,0.0234335,-0.629794,-0.00217782,-0.723889,1.06686,-0.000549814,-14.1037,-0.437062,0.00272763,-0.0706883,2.36495e-05,0.00304753,-0.0477941,-0,0,-0.00164086,-2.36495e-05,-0.00304753,-1.17242,-0.629794,-0.00217782,-0.247952,1.06686,-0.000549814,-15.9855,-0.437062,0.00272763,-0.0667881,2.36495e-05,0.00304753,-0.0542602,-0.073003,-0.0180976,0.00477172,-0.000546137,-1.19252e-05,9.50924e-06,0,0,True,True
0.025,-0,0,0.00105935,-4.15796e-05,-0.00412873,0.0171425,-0.629805,-0.00208301,-0.765457,1.06685,-0.000526398,-14.1788,-0.437048,0.00260941,-0.231729,4.15796e-05,0.00412873,-0.0484246,-0,0,0.00148475,-4.15796e-05,-0.00412873,-1.18048,-0.629805,-0.00208301,-0.287231,1.06685,-0.000526398,-16.0956,-0.437048,0.00260941,-0.247486,4.15796e-05,0.00412873,-0.0550671,-0.177247,-0.121071,0.00562289,-0.0015861,-1.69957e-05,1.6717e-05,0,0,True,True
0.03,-0,0,0.00104324,-6.49368e-05,-0.00520558,0.0246039,-0.629815,-0.00181945,-0.784529,1.06685,-0.000460623,-14.2433,-0.437036,0.00228007,-0.325899,6.49368e-05,0.00520558,-0.0478674,-0,0,0.00331547,-6.49368e-05,-0.00520558,-1.17096,-0.629815,-0.00181945,-0.315244,1.06685,-0.000460623,-16.1393,-0.437036,0.00228007,-0.352777,6.49368e-05,0.00520558,-0.0543351,-0.237674,-0.181812,0.00630661,-0.00278677,-2.15981e-05,2.61059e-05,0,0,True,True
0.035,-0,0,0.00094545,-9.36354e-05,-0.0062599,0.0382798,-0.629823,-0.00146053,-0.790661,1.06685,-0.000371052,-14.2964,-0.437025,0.00183158,-0.378131,9.36354e-05,0.0062599,-0.046786,-0,0,0.00428695,-9.36354e-05,-0.0062599,-1.1536,-0.629823,-0.00146053,-0.334961,1.06685,-0.000371052,-16.1456,-0.437025,0.00183158,-0.410379,9.36354e-05,0.0062599,-0.0529297,-0.270749,-0.21594,0.0068783,-0.00406057,-2.54461e-05,3.76412e-05,0,0,True,True
0.04,-0,0,0.000812224,-0.000127536,-0.0072849,0.054065,-0.629829,-0.00105182,-0.789656,1.06685,-0.000269234,-14.3392,-0.437017,0.00132106,-0.404451,0.000127536,0.0072849,-0.0455415,-0,0,0.00473036,-0.000127536,-0.0072849,-1.13369,-0.629829,-0.00105182,-0.348743,1.06685,-0.000269234,-16.1323,-0.437017,0.00132106,-0.43862,0.000127536,0.0072849,-0.0513233,-0.287017,-0.233535,0.00737631,-0.00535702,-2.83842e-05,5.12669e-05,0,0,True,True
0.045,-0,0,0.000675535,-0.000166484,-0.00827977,0.0698608,-0.629833,-0.000620958,-0.784969,1.06685,-0.000162199,-14.3733,-0.437012,0.000783157,-0.415107,0.000166484,0.00827977,-0.0443182,-0,0,0.00486696,-0.000166484,-0.00827977,-1.11393,-0.629833,-0.000620958,-0.358375,1.06685,-0.000162199,-16.1096,-0.437012,0.000783157,-0.44929,0.000166484,0.00827977,-0.0497536,-0.293192,-0.241066,0.00782678,-0.00664843,-3.03376e-05,6.69212e-05,0,0,True,True
