t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0352474,0,0,0.85445,-0.627026,-0.0082886,-1.12611,1.06753,-0.00197709,-17.3755,-0.440508,0.0102657,-2.92846,0,0,-5.55112e-17,-0,0,0.0352474,0,0,-0.85445,-0.627026,-0.0082886,-1.12611,1.06753,-0.00197709,-17.3755,-0.440508,0.0102657,-2.92846,0,0,5.55112e-17,-1.89013,-1.88007,0.00795256,0.00799509,0,0,0,0,True,True
0.005,-0,0,-0.0330658,0,0,0.85445,-0.627068,-0.00464104,-1.08701,1.06752,-0.00110709,-17.2818,-0.440457,0.00574813,-2.75603,0,0,-5.55112e-17,-0,0,0.0330658,0,0,-0.85445,-0.627068,-0.00464104,-1.08701,1.06752,-0.00110709,-17.2818,-0.440457,0.00574813,-2.75603,0,0,5.55112e-17,-1.77881,-1.76935,0.00445296,0.00447677,-3.8359e-07,0,0,0,True,True
0.01,-0,0,-0.0118383,0,0,0.85445,-0.627073,-0.00144497,-0.706585,1.06752,-0.000344873,-16.3619,-0.440451,0.00178985,-1.05319,0,0,-5.55112e-17,-0,0,0.0118383,0,0,-0.85445,-0.627073,-0.00144497,-0.706585,1.06752,-0.000344873,-16.3619,-0.440451,0.00178985,-1.05319,0,0,5.55112e-17,-0.679759,-0.676144,0.00138656,0.00139397,-2.67866e-06,0,0,0,True,True
0.015,-0,0,0.0057901,0,0,0.85445,-0.627082,-0.00219072,-0.390656,1.06752,-0.000522955,-15.5981,-0.440439,0.00271368,0.360603,0,0,-5.55112e-17,-0,0,-0.0057901,0,0,-0.85445,-0.627082,-0.00219072,-0.390656,1.06752,-0.000522955,-15.5981,-0.440439,0.00271368,0.360603,0,0,5.55112e-17,0.232743,0.231505,0.00210224,0.00211348,-7.08405e-06,0,0,0,True,True
0.02,-0,0,0.00330074,0,0,0.85445,-0.627095,-0.00264311,-0.435269,1.06752,-0.000631102,-15.7063,-0.440424,0.00327422,0.160097,0,0,-5.55112e-17,-0,0,-0.00330074,0,0,-0.85445,-0.627095,-0.00264311,-0.435269,1.06752,-0.000631102,-15.7063,-0.440424,0.00327422,0.160097,0,0,5.55112e-17,0.103331,0.102781,0.00253648,0.00255005,-1.28557e-05,0,0,0,True,True
0.025,-0,0,0.00155994,0,0,0.85445,-0.627109,-0.00287362,-0.466467,1.06751,-0.000686335,-15.782,-0.440406,0.00355996,0.0195506,0,0,2.36889e-33,-0,0,-0.00155994,0,0,-0.85445,-0.627109,-0.00287362,-0.466467,1.06751,-0.000686335,-15.782,-0.440406,0.00355996,0.0195506,0,0,2.36889e-33,0.0126184,0.0125513,0.00275785,0.00277259,-1.93617e-05,0,0,0,True,True
0.03,-0,0,0.000485947,0,0,0.85445,-0.627123,-0.00296572,-0.485714,1.06751,-0.000708545,-15.8289,-0.440388,0.00367427,-0.0675413,0,0,-5.55112e-17,-0,0,-0.000485947,0,0,-0.85445,-0.627123,-0.00296572,-0.485714,1.06751,-0.000708545,-15.8289,-0.440388,0.00367427,-0.0675413,0,0,5.55112e-17,-0.0435925,-0.0433607,0.00284642,0.00286163,-2.62038e-05,0,0,0,True,True
0.035,-0,0,-0.000155188,0,0,0.85445,-0.627138,-0.00297396,-0.497205,1.06751,-0.000710732,-15.857,-0.44037,0.0036847,-0.119916,0,0,-4.45203e-32,-0,0,0.000155188,0,0,-0.85445,-0.627138,-0.00297396,-0.497205,1.06751,-0.000710732,-15.857,-0.44037,0.0036847,-0.119916,0,0,-4.45203e-32,-0.0773961,-0.0769846,0.0028545,0.00286976,-3.31376e-05,0,0,0,True,True
0.04,-0,0,-0.00051997,0,0,0.85445,-0.627153,-0.00293339,-0.503742,1.0675,-0.000701251,-15.8731,-0.440351,0.00363465,-0.150111,0,0,-5.55112e-17,-0,0,0.00051997,0,0,-0.85445,-0.627153,-0.00293339,-0.503742,1.0675,-0.000701251,-15.8731,-0.440351,0.00363465,-0.150111,0,0,5.55112e-17,-0.0968843,-0.0963692,0.00281574,0.00283079,-4.00183e-05,0,0,0,True,True
0.045,-0,0,-0.000711535,0,0,0.85445,-0.627168,-0.00286616,-0.507176,1.0675,-0.000685385,-15.8817,-0.440333,0.00355155,-0.16639,0,0,-5.55112e-17,-0,0,0.000711535,0,0,-0.85445,-0.627168,-0.00286616,-0.507176,1.0675,-0.000685385,-15.8817,-0.440333,0.00355155,-0.16639,0,0,5.55112e-17,-0.107391,-0.10682,0.00275137,0.00276608,-4.6764e-05,0,0,0,True,True
0.05,-0,0,-0.000797102,0,0,0.85445,-0.627182,-0.00278597,-0.508709,1.0675,-0.000666404,-15.8857,-0.440316,0.00345237,-0.174141,0,0,-5.55112e-17,-0,0,0.000797102,0,0,-0.85445,-0.627182,-0.00278597,-0.508709,1.0675,-0.000666404,-15.8857,-0.440316,0.00345237,-0.174141,0,0,5.55112e-17,-0.112393,-0.111795,0.00267455,0.00268884,-5.33328e-05,0,0,0,True,True
0.055,-0,0,-0.000819906,0,0,0.85445,-0.627195,-0.00270105,-0.509118,1.06749,-0.000646276,-15.887,-0.440299,0.00334733,-0.17683,0,0,7.29927e-33,-0,0,0.000819906,0,0,-0.85445,-0.627195,-0.00270105,-0.509118,1.06749,-0.000646276,-15.887,-0.440299,0.00334733,-0.17683,0,0,7.29927e-33,-0.114128,-0.113521,0.00259318,0.00260703,-5.97066e-05,0,0,0,True,True
0.06,-0,0,-0.000807296,0,0,0.85445,-0.627209,-0.00261616,-0.508892,1.06749,-0.000626136,-15.8867,-0.440282,0.00324229,-0.17665,0,0,-4.78594e-33,-0,0,0.000807296,0,0,-0.85445,-0.627209,-0.00261616,-0.508892,1.06749,-0.000626136,-15.8867,-0.440282,0.00324229,-0.17665,0,0,-4.78594e-33,-0.114012,-0.113406,0.00251181,0.00252524,-6.58813e-05,0,0,0,True,True
0.065,-0,0,-0.000776212,0,0,0.85445,-0.627222,-0.00253386,-0.508335,1.06749,-0.000606602,-15.8856,-0.440266,0.00314047,-0.174962,0,0,-5.55112e-17,-0,0,0.000776212,0,0,-0.85445,-0.627222,-0.00253386,-0.508335,1.06749,-0.000606602,-15.8856,-0.440266,0.00314047,-0.174962,0,0,5.55112e-17,-0.112922,-0.112322,0.00243293,0.00244593,-7.18611e-05,0,0,0,True,True
0.07,-0,0,-0.000736849,0,0,0.85445,-0.627234,-0.00245542,-0.50763,1.06748,-0.000587975,-15.8842,-0.440251,0.00304339,-0.172584,0,0,3.16623e-31,-0,0,0.000736849,0,0,-0.85445,-0.627234,-0.00245542,-0.50763,1.06748,-0.000587975,-15.8842,-0.440251,0.00304339,-0.172584,0,0,3.16623e-31,-0.111387,-0.110795,0.00235774,0.00237033,-7.76539e-05,0,0,0,True,True
0.075,-0,0,-0.000695106,0,0,0.85445,-0.627246,-0.00238128,-0.506881,1.06748,-0.000570365,-15.8826,-0.440236,0.00295164,-0.169992,0,0,-5.55112e-17,-0,0,0.000695106,0,0,-0.85445,-0.627246,-0.00238128,-0.506881,1.06748,-0.000570365,-15.8826,-0.440236,0.00295164,-0.169992,0,0,5.55112e-17,-0.109713,-0.10913,0.00228667,0.00229888,-8.32696e-05,0,0,0,True,True
0.08,-0,0,-0.000654188,0,0,0.85445,-0.627258,-0.00231148,-0.506148,1.06748,-0.000553782,-15.8811,-0.440221,0.00286526,-0.167443,0,0,-1.73334e-33,-0,0,0.000654188,0,0,-0.85445,-0.627258,-0.00231148,-0.506148,1.06748,-0.000553782,-15.8811,-0.440221,0.00286526,-0.167443,0,0,-1.73334e-33,-0.108068,-0.107494,0.00221975,0.00223161,-8.87184e-05,0,0,0,True,True
0.085,-0,0,-0.00061566,0,0,0.85445,-0.627269,-0.00224582,-0.505458,1.06748,-0.000538179,-15.8797,-0.440207,0.002784,-0.165065,0,0,-5.55112e-17,-0,0,0.00061566,0,0,-0.85445,-0.627269,-0.00224582,-0.505458,1.06748,-0.000538179,-15.8797,-0.440207,0.002784,-0.165065,0,0,5.55112e-17,-0.106533,-0.105967,0.0021568,0.00216832,-9.40101e-05,0,0,0,True,True
