t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0294038,0,-9.49865e-05,0.706983,-0.627026,-0.00825473,-1.19296,1.06753,-0.00196901,-17.1477,-0.440508,0.0102237,-2.96023,0,9.49865e-05,-0.0130796,-0,0,0.0429777,0,-9.49865e-05,-1.00641,-0.627026,-0.00825473,-1.09175,1.06753,-0.00196901,-17.6818,-0.440508,0.0102237,-3.04214,0,9.49865e-05,-0.0134953,-1.91813,-1.893,0.00800284,0.00787919,0,0,0,0,True,True
0.005,-0,0,-0.0230553,-4.74932e-07,-0.000357636,0.591572,-0.627068,-0.00451338,-1.20829,1.06752,-0.00107663,-16.8725,-0.440457,0.00559001,-2.8165,4.74932e-07,0.000357636,-0.0233055,-0,0,0.0465691,-4.74932e-07,-0.000357636,-1.13195,-0.627068,-0.00451338,-1.02449,1.06752,-0.00107663,-17.8332,-0.440457,0.00559001,-2.95852,4.74932e-07,0.000357636,-0.0246598,-1.83122,-1.79488,0.00464215,0.00404027,-3.04886e-07,1.92638e-07,0,0,True,True
0.01,-0,0,-0.00604066,-3.57636e-06,-0.0010431,0.417228,-0.627071,-0.00107193,-0.925591,1.06752,-0.000255849,-15.7064,-0.440452,0.00132778,-1.22615,3.57636e-06,0.0010431,-0.0387406,-0,0,0.0228272,-3.57636e-06,-0.0010431,-1.33368,-0.627071,-0.00107193,-0.587533,1.06752,-0.000255849,-17.2591,-0.440452,0.00132778,-1.32756,3.57636e-06,0.0010431,-0.0426322,-0.813616,-0.765072,0.00193768,0.000120164,-2.08543e-06,1.45044e-06,0,0,True,True
0.015,-0,0,0.00163643,-1.09059e-05,-0.0019661,0.329192,-0.627078,-0.00148594,-0.67028,1.06752,-0.000354779,-14.8424,-0.440444,0.00184072,0.0780773,1.09059e-05,0.0019661,-0.0465491,-0,0,-0.00496321,-1.09059e-05,-0.0019661,-1.44153,-0.627078,-0.00148594,-0.232884,1.06752,-0.000354779,-16.6483,-0.440444,0.00184072,0.0980946,1.09059e-05,0.0019661,-0.0522801,0.0236876,0.0766887,0.00313946,-0.000289069,-5.27204e-06,4.42227e-06,0,0,True,True
0.02,-0,0,0.000838525,-2.32374e-05,-0.00299662,0.293927,-0.627086,-0.00156646,-0.732958,1.06752,-0.000374253,-14.89,-0.440434,0.00194072,-0.131353,2.32374e-05,0.00299662,-0.0497165,-0,0,-0.000302672,-2.32374e-05,-0.00299662,-1.48599,-0.627086,-0.00156646,-0.268767,1.06752,-0.000374253,-16.8395,-0.440434,0.00194072,-0.134727,2.32374e-05,0.00299662,-0.0563082,-0.113302,-0.0559556,0.00411503,-0.00111412,-8.98826e-06,9.42141e-06,0,0,True,True
0.025,-0,0,0.000350566,-4.08721e-05,-0.00406185,0.286963,-0.627094,-0.00141124,-0.766937,1.06752,-0.000337629,-14.9506,-0.440425,0.00174887,-0.268431,4.08721e-05,0.00406185,-0.0504101,-0,0,0.00292406,-4.08721e-05,-0.00406185,-1.49487,-0.627094,-0.00141124,-0.299519,1.06752,-0.000337629,-16.9357,-0.440425,0.00174887,-0.288404,4.08721e-05,0.00406185,-0.0571919,-0.202175,-0.143561,0.00489477,-0.0021969,-1.25484e-05,1.65698e-05,0,0,True,True
0.03,-0,0,-6.90122e-07,-6.38559e-05,-0.00512354,0.294408,-0.6271,-0.00111783,-0.78149,1.06752,-0.000268236,-15.0065,-0.440417,0.00138607,-0.347513,6.38559e-05,0.00512354,-0.0498569,-0,0,0.00477921,-6.38559e-05,-0.00512354,-1.48542,-0.6271,-0.00111783,-0.322153,1.06752,-0.000268236,-16.97,-0.440417,0.00138607,-0.376613,6.38559e-05,0.00512354,-0.0564679,-0.252901,-0.194644,0.00553896,-0.00340975,-1.5544e-05,2.58859e-05,0,0,True,True
0.035,-0,0,-0.000277534,-9.21075e-05,-0.00616353,0.308429,-0.627105,-0.00074766,-0.785037,1.06752,-0.000180788,-15.055,-0.440411,0.000928448,-0.390465,9.21075e-05,0.00616353,-0.0487475,-0,0,0.0057419,-9.21075e-05,-0.00616353,-1.46768,-0.627105,-0.00074766,-0.338593,1.06752,-0.000180788,-16.97,-0.440411,0.000928448,-0.423734,9.21075e-05,0.00616353,-0.0550323,-0.279989,-0.222848,0.00609075,-0.00467745,-1.77426e-05,3.73368e-05,0,0,True,True
0.04,-0,0,-0.000494122,-0.000125491,-0.00717491,0.324741,-0.627108,-0.00033855,-0.782649,1.06752,-8.43738e-05,-15.0956,-0.440407,0.000422924,-0.411264,0.000125491,0.00717491,-0.0474595,-0,0,0.0061619,-0.000125491,-0.00717491,-1.44719,-0.627108,-0.00033855,-0.350472,1.06752,-8.43738e-05,-16.9525,-0.440407,0.000422924,-0.445772,0.000125491,0.00717491,-0.0533768,-0.292677,-0.236932,0.00658048,-0.00595742,-1.9021e-05,5.08674e-05,0,0,True,True
0.045,-0,0,-0.000658141,-0.000163857,-0.00815672,0.341137,-0.627108,8.67821e-05,-0.777313,1.06751,1.55301e-05,-15.1291,-0.440406,-0.000102312,-0.418793,0.000163857,0.00815672,-0.0461871,-0,0,0.00626912,-0.000163857,-0.00815672,-1.42674,-0.627108,8.67821e-05,-0.359076,1.06751,1.55301e-05,-16.927,-0.440406,-0.000102312,-0.452954,0.000163857,0.00815672,-0.0517509,-0.29681,-0.242487,0.00702912,-0.00722686,-1.93225e-05,6.64168e-05,0,0,True,True
0.05,-0,0,-0.000778708,-0.000207058,-0.00911083,0.356606,-0.627107,0.000515173,-0.770731,1.06752,0.000115726,-15.1564,-0.440408,-0.0006309,-0.418646,0.000207058,0.00911083,-0.0450188,-0,0,0.00620634,-0.000207058,-0.00911083,-1.40759,-0.627107,0.000515173,-0.365382,1.06752,0.000115726,-16.899,-0.440408,-0.0006309,-0.451684,0.000207058,0.00911083,-0.0502648,-0.296048,-0.243056,0.00745097,-0.00847466,-1.86294e-05,8.3926e-05,0,0,True,True
