t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0336476,0,-8.40806e-05,0.732894,-0.706766,-0.00915997,-1.25377,1.19695,-0.00221223,-18.9092,-0.490182,0.0113722,-3.17926,0,8.40806e-05,-0.0111377,-0,0,0.0460701,0,-8.40806e-05,-0.979063,-0.706766,-0.00915997,-1.1603,1.19695,-0.00221223,-19.3964,-0.490182,0.0113722,-3.25213,0,8.40806e-05,-0.0114315,-2.0771,-2.05114,0.008803,0.0087129,0,0,0,0,True,True
0.005,-0,0,-0.0281278,-4.20403e-07,-0.000317061,0.63673,-0.706811,-0.0048771,-1.27835,1.19694,-0.0011779,-18.6819,-0.490125,0.006055,-3.09461,4.20403e-07,0.000317061,-0.0199405,-0,0,0.0501793,-4.20403e-07,-0.000317061,-1.08218,-0.706811,-0.0048771,-1.10868,1.19694,-0.0011779,-19.5622,-0.490125,0.006055,-3.2241,4.20403e-07,0.000317061,-0.0209027,-2.02704,-1.99128,0.00492228,0.00440246,-2.3513e-07,1.63913e-07,0,0,True,True
0.01,-0,0,-0.00959708,-3.17061e-06,-0.000927321,0.489622,-0.706814,-0.000756761,-0.985204,1.19694,-0.000182869,-17.5525,-0.490122,0.000939631,-1.51421,3.17061e-06,0.000927321,-0.0333978,-0,0,0.0275572,-3.17061e-06,-0.000927321,-1.24826,-0.706814,-0.000756761,-0.673259,1.19694,-0.000182869,-18.9886,-0.490122,0.000939631,-1.61969,3.17061e-06,0.000927321,-0.0361854,-1.00553,-0.960743,0.00152226,-8.00462e-05,-1.5533e-06,1.23607e-06,0,0,True,True
0.015,-0,0,0.000259859,-9.69361e-06,-0.00175367,0.413172,-0.706819,-0.000852582,-0.714401,1.19693,-0.000206089,-16.6861,-0.490116,0.00105867,-0.176478,9.69361e-06,0.00175367,-0.0404048,-0,0,0.000881966,-9.69361e-06,-0.00175367,-1.33881,-0.706819,-0.000852582,-0.30938,1.19693,-0.000206089,-18.3716,-0.490116,0.00105867,-0.183225,9.69361e-06,0.00175367,-0.0445528,-0.13833,-0.0909674,0.00232733,-0.000706313,-3.61306e-06,3.77844e-06,0,0,True,True
0.02,-0,0,-0.000840873,-2.07073e-05,-0.00268134,0.38101,-0.706823,-0.000546723,-0.783748,1.19693,-0.000132324,-16.7457,-0.490111,0.000679047,-0.409779,2.07073e-05,0.00268134,-0.0433876,-0,0,0.00601727,-2.07073e-05,-0.00268134,-1.37788,-0.706823,-0.000546723,-0.352078,1.19693,-0.000132324,-18.5741,-0.490111,0.000679047,-0.440242,2.07073e-05,0.00268134,-0.0482059,-0.292005,-0.240235,0.00283708,-0.00180593,-5.37337e-06,8.07044e-06,0,0,True,True
0.025,-0,0,-0.00153871,-3.6507e-05,-0.00364469,0.373252,-0.706824,3.09035e-05,-0.821394,1.19693,6.99587e-06,-16.808,-0.490109,-3.78993e-05,-0.556531,3.6507e-05,0.00364469,-0.0441661,-0,0,0.009339,-3.6507e-05,-0.00364469,-1.3874,-0.706824,3.09035e-05,-0.38505,1.19693,6.99587e-06,-18.6769,-0.490109,-3.78993e-05,-0.602412,3.6507e-05,0.00364469,-0.0491634,-0.388037,-0.334758,0.00311867,-0.00319717,-6.062e-06,1.4227e-05,0,0,True,True
0.03,-0,0,-0.00201807,-5.71541e-05,-0.00460821,0.378315,-0.706823,0.000761307,-0.837528,1.19693,0.000183057,-16.8607,-0.490111,-0.000944363,-0.636825,5.71541e-05,0.00460821,-0.0437977,-0,0,0.0111019,-5.71541e-05,-0.00460821,-1.3812,-0.706823,0.000761307,-0.40742,1.19693,0.000183057,-18.7142,-0.490111,-0.000944363,-0.690232,5.71541e-05,0.00460821,-0.0486982,-0.440122,-0.38693,0.00325488,-0.00473499,-5.23432e-06,2.2272e-05,0,0,True,True
0.035,-0,0,-0.00236936,-8.25891e-05,-0.00555436,0.389509,-0.706817,0.00157055,-0.841329,1.19694,0.000377914,-16.9038,-0.490119,-0.00194847,-0.676239,8.25891e-05,0.00555436,-0.0428923,-0,0,0.0118833,-8.25891e-05,-0.00555436,-1.36755,-0.706817,0.00157055,-0.422379,1.19694,0.000377914,-18.7147,-0.490119,-0.00194847,-0.732137,8.25891e-05,0.00555436,-0.0475694,-0.465273,-0.412954,0.0033011,-0.00633316,-2.65131e-06,3.21821e-05,0,0,True,True
0.04,-0,0,-0.00262569,-0.000112698,-0.0064759,0.40307,-0.706807,0.002414,-0.83841,1.19694,0.000580699,-16.9385,-0.490131,-0.0029947,-0.691072,0.000112698,0.0064759,-0.0417925,-0,0,0.0120895,-0.000112698,-0.0064759,-1.35109,-0.706807,0.002414,-0.432278,1.19694,0.000580699,-18.6959,-0.490131,-0.0029947,-0.746621,0.000112698,0.0064759,-0.0462062,-0.474303,-0.423181,0.00329368,-0.00794249,1.8004e-06,4.39127e-05,0,0,True,True
0.045,-0,0,-0.00280731,-0.000147348,-0.00737121,0.417002,-0.706793,0.00326558,-0.83211,1.19694,0.000785034,-16.9662,-0.490149,-0.00405062,-0.691561,0.000147348,0.00737121,-0.0406798,-0,0,0.0119798,-0.000147348,-0.00737121,-1.33428,-0.706793,0.00326558,-0.438784,1.19694,0.000785034,-18.6682,-0.490149,-0.00405062,-0.745326,0.000147348,0.00737121,-0.0448339,-0.473985,-0.424133,0.00325614,-0.00953651,8.15971e-06,5.74126e-05,0,0,True,True
0.05,-0,0,-0.0029316,-0.00018641,-0.00824148,0.430344,-0.706774,0.00411075,-0.824353,1.19695,0.000987327,-16.9882,-0.490171,-0.00509807,-0.684039,0.00018641,0.00824148,-0.0396412,-0,0,0.011711,-0.00018641,-0.00824148,-1.31829,-0.706774,0.00411075,-0.44306,1.19695,0.000987327,-18.6374,-0.490171,-0.00509807,-0.735405,0.00018641,0.00824148,-0.0435581,-0.468493,-0.419858,0.0032034,-0.0111022,1.6423e-05,7.26309e-05,0,0,True,True
