t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0302422,0,-8.80348e-05,0.71762,-0.627026,-0.00823911,-1.19669,1.06753,-0.00196529,-17.1852,-0.440508,0.0102044,-2.99642,0,8.80348e-05,-0.0121367,-0,0,0.0429693,0,-8.80348e-05,-0.995138,-0.627026,-0.00823911,-1.10305,1.06753,-0.00196529,-17.6807,-0.440508,0.0102044,-3.07322,0,8.80348e-05,-0.0124939,-1.94095,-1.91678,0.0079818,0.00787021,0,0,0,0,True,True
0.005,-0,0,-0.0244274,-4.40174e-07,-0.000331468,0.610301,-0.627067,-0.00445437,-1.21493,1.06752,-0.00106255,-16.9398,-0.440457,0.00551692,-2.88132,4.40174e-07,0.000331468,-0.021647,-0,0,0.0467008,-4.40174e-07,-0.000331468,-1.11116,-0.627067,-0.00445437,-1.04512,1.06752,-0.00106255,-17.8319,-0.440457,0.00551692,-3.01585,4.40174e-07,0.000331468,-0.0228104,-1.8721,-1.83744,0.00456273,0.00400628,-2.68593e-07,1.7854e-07,0,0,True,True
0.01,-0,0,-0.00731882,-3.31468e-06,-0.000966808,0.447759,-0.627071,-0.000898758,-0.935814,1.06752,-0.000214514,-15.8173,-0.440453,0.00111327,-1.33024,3.31468e-06,0.000966808,-0.0360411,-0,0,0.0242671,-3.31468e-06,-0.000966808,-1.29724,-0.627071,-0.000898758,-0.624044,1.06752,-0.000214514,-17.2611,-0.440453,0.00111327,-1.43262,3.31468e-06,0.000966808,-0.0393849,-0.879251,-0.833438,0.00170502,1.9946e-05,-1.81121e-06,1.34431e-06,0,0,True,True
0.015,-0,0,0.00101054,-1.01083e-05,-0.00182239,0.36545,-0.627076,-0.00115711,-0.681857,1.06752,-0.000276264,-14.9743,-0.440446,0.00143337,-0.0434281,1.01083e-05,0.00182239,-0.0433444,-0,0,-0.00202707,-1.01083e-05,-0.00182239,-1.39658,-0.627076,-0.00115711,-0.278751,1.06752,-0.000276264,-16.6553,-0.440446,0.00143337,-0.0373472,1.01083e-05,0.00182239,-0.0482697,-0.0528969,-0.00314547,0.00269865,-0.000480397,-4.4311e-06,4.09883e-06,0,0,True,True
0.02,-0,0,8.92619e-05,-2.15386e-05,-0.00277771,0.332403,-0.627082,-0.00106167,-0.745824,1.06752,-0.00025368,-15.0323,-0.440439,0.00131535,-0.2635,2.15386e-05,0.00277771,-0.0463137,-0,0,0.00281308,-2.15386e-05,-0.00277771,-1.43754,-0.627082,-0.00106167,-0.318229,1.06752,-0.00025368,-16.8477,-0.440439,0.00131535,-0.281131,2.15386e-05,0.00277771,-0.0519797,-0.196641,-0.142734,0.00343979,-0.00140936,-7.18627e-06,8.73263e-06,0,0,True,True
0.025,-0,0,-0.000490217,-3.78854e-05,-0.00376532,0.325833,-0.627087,-0.000722622,-0.780411,1.06752,-0.000173091,-15.0957,-0.440433,0.000895713,-0.404123,3.78854e-05,0.00376532,-0.0469674,-0,0,0.00602496,-3.78854e-05,-0.00376532,-1.44577,-0.627087,-0.000722622,-0.349891,1.06752,-0.000173091,-16.9447,-0.440433,0.000895713,-0.437686,3.78854e-05,0.00376532,-0.052798,-0.28778,-0.232638,0.0039754,-0.00260153,-9.36223e-06,1.53589e-05,0,0,True,True
0.03,-0,0,-0.00089844,-5.91917e-05,-0.00474973,0.332755,-0.62709,-0.000244509,-0.795143,1.06752,-5.94949e-05,-15.1504,-0.44043,0.000304004,-0.482721,5.91917e-05,0.00474973,-0.0464529,-0,0,0.00778233,-5.91917e-05,-0.00474973,-1.43714,-0.62709,-0.000244509,-0.372024,1.06752,-5.94949e-05,-16.9792,-0.44043,0.000304004,-0.524448,5.91917e-05,0.00474973,-0.0521378,-0.338217,-0.283388,0.00437491,-0.00392494,-1.05428e-05,2.39951e-05,0,0,True,True
0.035,-0,0,-0.0012072,-8.53827e-05,-0.00571413,0.345839,-0.627089,0.000307606,-0.798615,1.06752,7.15154e-05,-15.1957,-0.44043,-0.000379122,-0.523085,8.53827e-05,0.00571413,-0.0454168,-0,0,0.00861716,-8.53827e-05,-0.00571413,-1.42087,-0.627089,0.000307606,-0.387296,1.06752,7.15154e-05,-16.9793,-0.44043,-0.000379122,-0.567986,8.53827e-05,0.00571413,-0.0508221,-0.363677,-0.309889,0.00468612,-0.00530201,-1.04991e-05,3.46108e-05,0,0,True,True
0.04,-0,0,-0.00143882,-0.000116333,-0.00665207,0.361081,-0.627087,0.000894224,-0.796012,1.06752,0.000210446,-15.2323,-0.440434,-0.00110467,-0.54033,0.000116333,0.00665207,-0.0442123,-0,0,0.00890576,-0.000116333,-0.00665207,-1.40203,-0.627087,0.000894224,-0.397757,1.06752,0.000210446,-16.9616,-0.440434,-0.00110467,-0.585553,0.000116333,0.00665207,-0.0493021,-0.374121,-0.321643,0.00494139,-0.00668896,-9.11708e-06,4.71551e-05,0,0,True,True
0.045,-0,0,-0.00160723,-0.000151903,-0.00756261,0.376413,-0.627081,0.00149207,-0.790396,1.06752,0.000351678,-15.2615,-0.440441,-0.00184374,-0.543992,0.000151903,0.00756261,-0.043021,-0,0,0.00889027,-0.000151903,-0.00756261,-1.38322,-0.627081,0.00149207,-0.404919,1.06752,0.000351678,-16.9359,-0.440441,-0.00184374,-0.588065,0.000151903,0.00756261,-0.0478069,-0.375805,-0.324669,0.00516226,-0.00806245,-6.35147e-06,6.15716e-05,0,0,True,True
