t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0293297,0,-9.53244e-05,0.706488,-0.627026,-0.00825711,-1.19202,1.06753,-0.00196958,-17.1441,-0.440508,0.0102267,-2.95512,0,9.53244e-05,-0.0131235,-0,0,0.0429262,0,-9.53244e-05,-1.00693,-0.627026,-0.00825711,-1.09044,1.06753,-0.00196958,-17.68,-0.440508,0.0102267,-3.03717,0,9.53244e-05,-0.0135421,-1.91486,-1.8897,0.00800542,0.00788119,0,0,0,0,True,True
0.005,-0,0,-0.0229437,-4.76622e-07,-0.00035887,0.590747,-0.627068,-0.00452226,-1.20663,1.06752,-0.00107875,-16.8662,-0.440457,0.00560101,-2.80756,4.76622e-07,0.00035887,-0.0233785,-0,0,0.0464574,-4.76622e-07,-0.00035887,-1.13287,-0.627068,-0.00452226,-1.02215,1.06752,-0.00107875,-17.8298,-0.440457,0.00560101,-2.94958,4.76622e-07,0.00035887,-0.0247415,-1.82549,-1.7891,0.00465175,0.00404776,-3.10422e-07,1.93323e-07,0,0,True,True
0.01,-0,0,-0.00593258,-3.5887e-06,-0.00104649,0.41601,-0.627071,-0.00109736,-0.922918,1.06752,-0.000261921,-15.6966,-0.440452,0.00135928,-1.21192,3.5887e-06,0.00104649,-0.0388483,-0,0,0.0225569,-3.5887e-06,-0.00104649,-1.33515,-0.627071,-0.00109736,-0.583629,1.06752,-0.000261921,-17.253,-0.440452,0.00135928,-1.31235,3.5887e-06,0.00104649,-0.0427626,-0.804497,-0.755878,0.00196505,0.000141727,-2.1267e-06,1.45544e-06,0,0,True,True
0.015,-0,0,0.00170943,-1.09416e-05,-0.00197205,0.327933,-0.627079,-0.00153279,-0.667173,1.06752,-0.000365965,-14.8313,-0.440444,0.00189875,0.094301,1.09416e-05,0.00197205,-0.0466604,-0,0,-0.00534313,-1.09416e-05,-0.00197205,-1.4431,-0.627079,-0.00153279,-0.228322,1.06752,-0.000365965,-16.6409,-0.440444,0.00189875,0.11617,1.09416e-05,0.00197205,-0.0524206,0.034095,0.0871678,0.0031896,-0.000249077,-5.39576e-06,4.43673e-06,0,0,True,True
0.02,-0,0,0.000907955,-2.33092e-05,-0.00300499,0.29278,-0.627087,-0.00163617,-0.729713,1.06752,-0.000390901,-14.8789,-0.440433,0.00202708,-0.114737,2.33092e-05,0.00300499,-0.0498181,-0,0,-0.000699634,-2.33092e-05,-0.00300499,-1.48745,-0.627087,-0.00163617,-0.264133,1.06752,-0.000390901,-16.8315,-0.440433,0.00202708,-0.116137,2.33092e-05,0.00300499,-0.0564385,-0.102636,-0.0452305,0.00418923,-0.0010542,-9.2472e-06,9.4505e-06,0,0,True,True
0.025,-0,0,0.000418148,-4.09915e-05,-0.00407237,0.285963,-0.627095,-0.00150358,-0.763725,1.06752,-0.000359687,-14.94,-0.440423,0.00186327,-0.252266,4.09915e-05,0.00407237,-0.0504989,-0,0,0.00253807,-4.09915e-05,-0.00407237,-1.49615,-0.627095,-0.00150358,-0.295055,1.06752,-0.000359687,-16.9278,-0.440423,0.00186327,-0.270323,4.09915e-05,0.00407237,-0.0573062,-0.191792,-0.133133,0.00499256,-0.00211703,-1.2996e-05,1.66182e-05,0,0,True,True
0.03,-0,0,6.61732e-05,-6.40329e-05,-0.00513593,0.293538,-0.627102,-0.00123186,-0.778387,1.06752,-0.000295479,-14.9966,-0.440415,0.00152733,-0.332116,6.40329e-05,0.00513593,-0.0499344,-0,0,0.00441503,-6.40329e-05,-0.00513593,-1.48652,-0.627102,-0.00123186,-0.317938,1.06752,-0.000295479,-16.9623,-0.440415,0.00152733,-0.359431,6.40329e-05,0.00513593,-0.0565673,-0.243007,-0.184715,0.00565919,-0.00331058,-1.62319e-05,2.59577e-05,0,0,True,True
0.035,-0,0,-0.000210697,-9.23507e-05,-0.00617755,0.307657,-0.627107,-0.000882241,-0.782066,1.06752,-0.000212949,-15.0457,-0.440408,0.00109519,-0.375882,9.23507e-05,0.00617755,-0.0488167,-0,0,0.00540145,-9.23507e-05,-0.00617755,-1.46865,-0.627107,-0.000882241,-0.334624,1.06752,-0.000212949,-16.9627,-0.440408,0.00109519,-0.407513,9.23507e-05,0.00617755,-0.0551204,-0.270616,-0.213446,0.00623215,-0.00455987,-1.87199e-05,3.74354e-05,0,0,True,True
0.04,-0,0,-0.000426884,-0.000125808,-0.00719041,0.324032,-0.627111,-0.00049263,-0.779807,1.06751,-0.000121196,-15.0868,-0.440404,0.000613826,-0.397418,0.000125808,0.00719041,-0.0475235,-0,0,0.00584302,-0.000125808,-0.00719041,-1.44807,-0.627111,-0.00049263,-0.346714,1.06751,-0.000121196,-16.9455,-0.440404,0.000613826,-0.430426,0.000125808,0.00719041,-0.0534577,-0.283777,-0.228007,0.00674188,-0.00582233,-2.03341e-05,5.0996e-05,0,0,True,True
0.045,-0,0,-0.000590211,-0.000164255,-0.0081736,0.340461,-0.627112,-8.58975e-05,-0.774585,1.06751,-2.57363e-05,-15.1206,-0.440402,0.000111634,-0.405566,0.000164255,0.0081736,-0.0462486,-0,0,0.00596828,-0.000164255,-0.0081736,-1.42758,-0.627112,-8.58975e-05,-0.355484,1.06751,-2.57363e-05,-16.9203,-0.440402,0.000111634,-0.438345,0.000164255,0.0081736,-0.0518279,-0.288307,-0.233961,0.00720958,-0.00707503,-2.10155e-05,6.65782e-05,0,0,True,True
