t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0848531,0.000460758,0.000172398,0.896536,-0.630375,-0.0188789,-2.86975,1.06671,-0.00482421,-22.6087,-0.436332,0.0237031,-7.63067,-0.000460758,-0.000172398,-0.00458997,-0,0,0.10127,0.000460758,0.000172398,-1.05587,-0.630375,-0.0188789,-2.83844,1.06671,-0.00482421,-22.802,-0.436332,0.0237031,-7.68882,-0.000460758,-0.000172398,-0.0046289,-4.92224,-4.89066,0.0182279,0.0186371,0,0,0,0,True,True
0.005,-0,0,-0.0801782,0.00046162,9.59604e-05,0.899303,-0.63047,-0.0105204,-2.77299,1.06668,-0.0026886,-22.3854,-0.436214,0.013209,-7.20426,-0.00046162,-9.59604e-05,-0.00433045,-0,0,0.0951215,0.00046162,9.59604e-05,-1.05304,-0.63047,-0.0105204,-2.74286,1.06668,-0.0026886,-22.5661,-0.436214,0.013209,-7.25599,-0.00046162,-9.59604e-05,-0.0043651,-4.64708,-4.61729,0.0101581,0.0103859,-8.01108e-07,-6.25761e-09,0,0,True,True
0.01,-0,0,-0.0304003,0.000461718,2.82075e-05,0.928902,-0.63048,-0.00313332,-1.77765,1.06668,-0.000801676,-20.0676,-0.4362,0.003935,-2.74584,-0.000461718,-2.82075e-05,-0.00160728,-0,0,0.0338619,0.000461718,2.82075e-05,-1.02295,-0.63048,-0.00313332,-1.76439,1.06668,-0.000801676,-20.1279,-0.4362,0.003935,-2.75284,-0.000461718,-2.82075e-05,-0.00161202,-1.77117,-1.75986,0.00302647,0.00309368,-5.59783e-06,-4.36955e-08,0,0,True,True
0.015,-0,0,0.0140758,0.000461902,4.2576e-05,0.953915,-0.630501,-0.00474646,-0.939093,1.06668,-0.00121486,-18.1131,-0.436174,0.00596133,1.01297,-0.000461902,-4.2576e-05,0.000694688,-0,0,-0.0148678,0.000461902,4.2576e-05,-0.997751,-0.630501,-0.00474646,-0.945553,1.06668,-0.00121486,-18.0895,-0.436174,0.00596133,1.01162,-0.000461902,-4.2576e-05,0.000693812,0.653455,0.649169,0.00458511,0.00468665,-1.48214e-05,-1.15522e-07,0,0,True,True
0.02,-0,0,0.00801391,0.000462144,5.12269e-05,0.95056,-0.630528,-0.00573257,-1.05087,1.06667,-0.001468,-18.3744,-0.436141,0.00720058,0.509558,-0.000462144,-5.12269e-05,0.000387549,-0,0,-0.00852241,0.000462144,5.12269e-05,-1.00112,-0.630528,-0.00573257,-1.05441,1.06667,-0.001468,-18.3611,-0.436141,0.00720058,0.509131,-0.000462144,-5.12269e-05,0.000387278,0.328731,0.326532,0.00553847,0.00566078,-2.6925e-05,-2.09444e-07,0,0,True,True
0.025,-0,0,0.00370337,0.000462415,5.54196e-05,0.948153,-0.630558,-0.00623092,-1.13083,1.06666,-0.00159656,-18.5616,-0.436102,0.00782747,0.148706,-0.000462415,-5.54196e-05,0.000167748,-0,0,-0.00395567,0.000462415,5.54196e-05,-1.00354,-0.630558,-0.00623092,-1.13231,1.06666,-0.00159656,-18.5558,-0.436102,0.00782747,0.148624,-0.000462415,-5.54196e-05,0.000167698,0.0959657,0.0952615,0.00602093,0.00615341,-4.05748e-05,-3.14892e-07,0,0,True,True
0.03,-0,0,0.00100639,0.000462698,5.67848e-05,0.946637,-0.63059,-0.00641948,-1.18105,1.06665,-0.0016459,-18.6794,-0.436062,0.00806538,-0.0789042,-0.000462698,-5.67848e-05,2.99467e-05,-0,0,-0.00107494,0.000462698,5.67848e-05,-1.00506,-0.63059,-0.00641948,-1.18128,1.06665,-0.0016459,-18.6785,-0.436062,0.00806538,-0.0789073,-0.000462698,-5.67848e-05,2.99454e-05,-0.0508513,-0.0506136,0.00620425,0.0063402,-5.49157e-05,-4.25101e-07,0,0,True,True
0.035,-0,0,-0.000630905,0.000462983,5.64084e-05,0.94571,-0.630623,-0.0064168,-1.21162,1.06664,-0.00164626,-18.7514,-0.436022,0.00806306,-0.218374,-0.000462983,-5.64084e-05,-5.36688e-05,-0,0,0.000682818,0.000462983,5.64084e-05,-1.00599,-0.630623,-0.0064168,-1.21108,1.06664,-0.00164626,-18.7535,-0.436022,0.00806306,-0.21838,-0.000462983,-5.64084e-05,-5.36747e-05,-0.140812,-0.139999,0.00620283,0.0063381,-6.94129e-05,-5.35848e-07,0,0,True,True
0.04,-0,0,-0.0015817,0.000463262,5.50007e-05,0.945166,-0.630654,-0.00630048,-1.2294,1.06664,-0.00161744,-18.7936,-0.435982,0.00791792,-0.300457,-0.000463262,-5.50007e-05,-0.000102065,-0,0,0.00170666,0.000463262,5.50007e-05,-1.00654,-0.630654,-0.00630048,-1.22842,1.06664,-0.00161744,-18.7975,-0.435982,0.00791792,-0.300484,-0.000463262,-5.50007e-05,-0.000102085,-0.193756,-0.192604,0.00609155,0.0062237,-8.37431e-05,-6.44588e-07,0,0,True,True
0.045,-0,0,-0.00209452,0.000463533,5.30193e-05,0.944867,-0.630686,-0.00612055,-1.239,1.06663,-0.00157221,-18.8167,-0.435943,0.00769276,-0.345795,-0.000463533,-5.30193e-05,-0.000127962,-0,0,0.00225981,0.000463533,5.30193e-05,-1.00684,-0.630686,-0.00612055,-1.23777,1.06663,-0.00157221,-18.8216,-0.435943,0.00769276,-0.345839,-0.000463533,-5.30193e-05,-0.000127994,-0.222998,-0.221661,0.00591873,0.00604638,-9.77197e-05,-7.49859e-07,0,0,True,True
