t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0670643,0.000460758,7.61579e-05,0.725689,-0.630375,-0.0188456,-2.94256,1.06671,-0.00481551,-22.3146,-0.436332,0.0236611,-7.61109,-0.000460758,-7.61579e-05,-0.0202312,-0,0,0.121752,0.000460758,7.61579e-05,-1.23576,-0.630375,-0.0188456,-2.80237,1.06671,-0.00481551,-23.1846,-0.436332,0.0236611,-7.87529,-0.000460758,-7.61579e-05,-0.021014,-4.91858,-4.8692,0.0182792,0.0185199,0,0,0,0,True,True
0.005,-0,0,-0.0496972,0.000461139,-0.000267121,0.593518,-0.63047,-0.0103944,-2.90651,1.06668,-0.00265574,-21.8578,-0.436214,0.0130502,-7.17801,-0.000461139,0.000267121,-0.0323245,-0,0,0.130868,0.000461139,-0.000267121,-1.38239,-0.63047,-0.0103944,-2.67598,1.06668,-0.00265574,-23.2542,-0.436214,0.0130502,-7.58498,-0.000461139,0.000267121,-0.034372,-4.6462,-4.58451,0.0103517,0.00994359,-7.25909e-07,1.80451e-07,0,0,True,True
0.01,-0,0,-0.00846082,0.000458087,-0.00103455,0.414856,-0.630479,-0.00276403,-2.03724,1.06668,-0.000705294,-19.2678,-0.436202,0.00346932,-2.88551,-0.000458087,0.00103455,-0.0486748,-0,0,0.0628148,0.000458087,-0.00103455,-1.59171,-0.630479,-0.00276403,-1.61881,1.06668,-0.000705294,-21.2022,-0.436202,0.00346932,-3.13081,-0.000458087,0.00103455,-0.0534607,-1.88819,-1.8226,0.00359265,0.00179825,-5.02997e-06,1.36472e-06,0,0,True,True
0.015,-0,0,0.0106079,0.000450794,-0.00196883,0.329759,-0.630497,-0.00404599,-1.28915,1.06668,-0.001032,-17.2389,-0.436179,0.00507799,0.652446,-0.000450794,0.00196883,-0.0564875,-0,0,-0.0129817,0.000450794,-0.00196883,-1.69614,-0.630497,-0.00404599,-0.735372,1.06668,-0.001032,-19.3003,-0.436179,0.00507799,0.737532,-0.000450794,0.00196883,-0.0630184,0.388254,0.45057,0.00565515,0.00223333,-1.30816e-05,4.19203e-06,0,0,True,True
0.02,-0,0,0.00898635,0.000438399,-0.00302607,0.281406,-0.63052,-0.00465861,-1.42352,1.06667,-0.00118759,-17.4172,-0.436151,0.0058462,0.148825,-0.000438399,0.00302607,-0.0609776,-0,0,-0.00143616,0.000438399,-0.00302607,-1.75712,-0.63052,-0.00465861,-0.833147,1.06667,-0.00118759,-19.6825,-0.436151,0.0058462,0.183617,-0.000438399,0.00302607,-0.0686595,0.0609957,0.130182,0.00717328,0.00190504,-2.32005e-05,8.99542e-06,0,0,True,True
0.025,-0,0,0.00796541,0.000420533,-0.00412911,0.268367,-0.630544,-0.00476776,-1.5069,1.06666,-0.00121452,-17.5769,-0.436121,0.00598228,-0.198831,-0.000420533,0.00412911,-0.0622676,-0,0,0.00689806,0.000420533,-0.00412911,-1.77378,-0.630544,-0.00476776,-0.910923,1.06666,-0.00121452,-19.9124,-0.436121,0.00598228,-0.204114,-0.000420533,0.00412911,-0.0702922,-0.163877,-0.0920134,0.00824122,0.00104355,-3.39959e-05,1.59178e-05,0,0,True,True
0.03,-0,0,0.00717018,0.000397108,-0.005235,0.274284,-0.630567,-0.00456616,-1.55119,1.06666,-0.00116211,-17.6993,-0.436091,0.00572827,-0.410878,-0.000397108,0.005235,-0.0618542,-0,0,0.0118883,0.000397108,-0.005235,-1.76625,-0.630567,-0.00456616,-0.964678,1.06666,-0.00116211,-20.0274,-0.436091,0.00572827,-0.440812,-0.000397108,0.005235,-0.069752,-0.300348,-0.228218,0.00900919,-0.000124723,-4.45992e-05,2.49931e-05,0,0,True,True
0.035,-0,0,0.00647656,0.000368183,-0.00632212,0.28947,-0.630589,-0.00417985,-1.57166,1.06665,-0.00106263,-17.7921,-0.436064,0.00524248,-0.535401,-0.000368183,0.00632212,-0.0606237,-0,0,0.0146177,0.000368183,-0.00632212,-1.74696,-0.630589,-0.00417985,-1.00129,1.06665,-0.00106263,-20.0731,-0.436064,0.00524248,-0.578742,-0.000368183,0.00632212,-0.0681721,-0.379924,-0.308762,0.00958103,-0.00145732,-5.44852e-05,3.61982e-05,0,0,True,True
0.04,-0,0,0.00587858,0.000333887,-0.00738116,0.308417,-0.630609,-0.00368973,-1.578,1.06665,-0.000936826,-17.862,-0.436039,0.00462655,-0.604094,-0.000333887,0.00738116,-0.0590788,-0,0,0.01592,0.000333887,-0.00738116,-1.72303,-0.630609,-0.00368973,-1.02592,1.06665,-0.000936826,-20.0788,-0.436039,0.00462655,-0.653627,-0.000333887,0.00738116,-0.0662018,-0.423328,-0.353683,0.0100274,-0.00286683,-6.33509e-05,4.94835e-05,0,0,True,True
0.045,-0,0,0.0053828,0.000294371,-0.00840969,0.328142,-0.630626,-0.00314669,-1.57626,1.06664,-0.000797795,-17.9146,-0.436017,0.00394449,-0.637758,-0.000294371,0.00840969,-0.0574921,-0,0,0.016367,0.000294371,-0.00840969,-1.6983,-0.630626,-0.00314669,-1.04236,1.06664,-0.000797795,-20.0625,-0.436017,0.00394449,-0.689207,-0.000294371,0.00840969,-0.0641898,-0.444125,-0.376166,0.0103959,-0.00430119,-7.10342e-05,6.47898e-05,0,0,True,True
