t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0775587,0.000479077,8.25678e-05,0.759173,-0.711472,-0.0211182,-3.10121,1.19576,-0.00554231,-24.4661,-0.48429,0.0266605,-8.16464,-0.000479077,-8.25678e-05,-0.0177477,-0,0,0.129574,0.000479077,8.25678e-05,-1.19972,-0.711472,-0.0211182,-2.9665,1.19576,-0.00554231,-25.2787,-0.48429,0.0266605,-8.4061,-0.000479077,-8.25678e-05,-0.018334,-5.31922,-5.26513,0.0204235,0.0207089,0,0,0,0,True,True
0.005,-0,0,-0.0614555,0.00047949,-0.000230516,0.648395,-0.711578,-0.0114975,-3.07322,1.19573,-0.00301722,-24.0618,-0.484157,0.0145147,-7.79425,-0.00047949,0.000230516,-0.0282228,-0,0,0.138438,0.00047949,-0.000230516,-1.32081,-0.711578,-0.0114975,-2.85383,1.19573,-0.00301722,-25.3601,-0.484157,0.0145147,-8.16777,-0.00047949,0.000230516,-0.0297364,-5.08431,-5.01969,0.0113577,0.0110349,-6.84263e-07,1.54256e-07,0,0,True,True
0.01,-0,0,-0.0154889,0.000476772,-0.000923912,0.498536,-0.711587,-0.0026146,-2.14282,1.19573,-0.000685463,-21.4423,-0.484145,0.00330007,-3.34369,-0.000476772,0.000923912,-0.042392,-0,0,0.0689766,0.000476772,-0.000923912,-1.49222,-0.711587,-0.0026146,-1.74783,1.19573,-0.000685463,-23.2431,-0.484145,0.00330007,-3.58334,-0.000476772,0.000923912,-0.0458904,-2.19864,-2.13602,0.00333622,0.00175016,-4.69947e-06,1.16862e-06,0,0,True,True
0.015,-0,0,0.00930692,0.000470251,-0.00176468,0.425467,-0.711604,-0.00367566,-1.33178,1.19573,-0.000963176,-19.3415,-0.484124,0.00463883,0.394626,-0.000470251,0.00176468,-0.0493211,-0,0,-0.00721325,0.000470251,-0.00176468,-1.57907,-0.711604,-0.00367566,-0.808537,1.19573,-0.000963176,-21.2732,-0.484124,0.00463883,0.443023,-0.000470251,0.00176468,-0.054104,0.22808,0.283285,0.00509278,0.0020545,-1.19846e-05,3.59997e-06,0,0,True,True
0.02,-0,0,0.00696855,0.000459125,-0.00272179,0.381322,-0.711624,-0.00397413,-1.47688,1.19572,-0.00104054,-19.5353,-0.484099,0.00501467,-0.143882,-0.000459125,0.00272179,-0.0535551,-0,0,0.00475657,0.000459125,-0.00272179,-1.63281,-0.711624,-0.00397413,-0.916187,1.19572,-0.00104054,-21.6681,-0.484099,0.00501467,-0.142914,-0.000459125,0.00272179,-0.0592422,-0.124516,-0.0622121,0.00620972,0.00151215,-2.06701e-05,7.74697e-06,0,0,True,True
0.025,-0,0,0.00544889,0.000443033,-0.00372539,0.367704,-0.711644,-0.00370962,-1.56718,1.19572,-0.000969972,-19.6993,-0.484074,0.00467959,-0.510385,-0.000443033,0.00372539,-0.0549305,-0,0,0.0131787,0.000443033,-0.00372539,-1.64959,-0.711644,-0.00370962,-0.99863,1.19572,-0.000969972,-21.9068,-0.484074,0.00467959,-0.545762,-0.000443033,0.00372539,-0.0609249,-0.363619,-0.298214,0.00682036,0.000378987,-2.92448e-05,1.37442e-05,0,0,True,True
0.03,-0,0,0.00435862,0.000421871,-0.00473559,0.370964,-0.711661,-0.00310217,-1.61535,1.19571,-0.000809307,-19.8202,-0.484052,0.00391148,-0.730303,-0.000421871,0.00473559,-0.0547384,-0,0,0.0181124,0.000421871,-0.00473559,-1.6456,-0.711661,-0.00310217,-1.05386,1.19571,-0.000809307,-22.0273,-0.484052,0.00391148,-0.787189,-0.000421871,0.00473559,-0.0606788,-0.506504,-0.440405,0.00710379,-0.00109516,-3.67749e-05,2.16299e-05,0,0,True,True
0.035,-0,0,0.00350068,0.000395677,-0.00573154,0.382814,-0.711675,-0.00229533,-1.63761,1.19571,-0.00059631,-19.9086,-0.484035,0.00289164,-0.855745,-0.000395677,0.00573154,-0.0537622,-0,0,0.020709,0.000395677,-0.00573154,-1.63105,-0.711675,-0.00229533,-1.09015,1.19571,-0.00059631,-22.0756,-0.484035,0.00289164,-0.923487,-0.000395677,0.00573154,-0.0594677,-0.587508,-0.522003,0.00718133,-0.0027518,-4.27058e-05,3.13902e-05,0,0,True,True
0.04,-0,0,0.00281908,0.000364556,-0.00670372,0.398427,-0.711684,-0.00138075,-1.64435,1.19571,-0.000355157,-19.973,-0.484023,0.00173591,-0.921171,-0.000364556,0.00670372,-0.0524577,-0,0,0.0218405,0.000364556,-0.00670372,-1.61198,-0.711684,-0.00138075,-1.11352,1.19571,-0.000355157,-22.0817,-0.484023,0.00173591,-0.99303,-0.000364556,0.00670372,-0.0578588,-0.6293,-0.565013,0.0071338,-0.00449294,-4.67267e-05,4.29858e-05,0,0,True,True
0.045,-0,0,0.00228844,0.00032864,-0.00764904,0.415113,-0.711689,-0.000415765,-1.64214,1.19571,-0.000101009,-20.0198,-0.484017,0.000516774,-0.949162,-0.00032864,0.00764904,-0.0510785,-0,0,0.022101,0.00032864,-0.00764904,-1.59171,-0.711689,-0.000415765,-1.12825,1.19571,-0.000101009,-22.0642,-0.484017,0.000516774,-1.02123,-0.00032864,0.00764904,-0.0561661,-0.646711,-0.58388,0.00701423,-0.0062598,-4.86812e-05,5.63674e-05,0,0,True,True
0.05,-0,0,0.00188529,0.000288065,-0.00856783,0.431477,-0.711688,0.000564755,-1.63506,1.19571,0.000156864,-20.0539,-0.484018,-0.000721619,-0.954409,-0.000288065,0.00856783,-0.0497555,-0,0,0.0218721,0.000288065,-0.00856783,-1.57196,-0.711688,0.000564755,-1.13728,1.19571,0.000156864,-22.0347,-0.484018,-0.000721619,-1.02458,-0.000288065,0.00856783,-0.0545492,-0.649367,-0.588019,0.00685685,-0.0080185,-4.85077e-05,7.14841e-05,0,0,True,True
0.055,-0,0,0.00158476,0.000242961,-0.00946207,0.44689,-0.711683,0.00154039,-1.62559,1.19571,0.000412999,-20.0791,-0.484024,-0.00195339,-0.946376,-0.000242961,0.00946207,-0.048548,-0,0,0.0213899,0.000242961,-0.00946207,-1.55346,-0.711683,0.00154039,-1.14266,1.19571,0.000412999,-21.9998,-0.484024,-0.00195339,-1.01367,-0.000242961,0.00946207,-0.053078,-0.643456,-0.583513,0.00668327,-0.0097507,-4.62012e-05,8.82881e-05,0,0,True,True
0.06,-0,0,0.00136277,0.000193444,-0.0103343,0.461151,-0.711673,0.00249992,-1.61519,1.19571,0.000664357,-20.098,-0.484037,-0.00316428,-0.931074,-0.000193444,0.0103343,-0.047474,-0,0,0.0207956,0.000193444,-0.0103343,-1.53644,-0.711673,0.00249992,-1.14576,1.19571,0.000664357,-21.9635,-0.484037,-0.00316428,-0.995112,-0.000193444,0.0103343,-0.0517722,-0.632897,-0.574234,0.00650666,-0.0114476,-4.17892e-05,0.000106736,0,0,True,True
0.065,-0,0,0.0011983,0.000139618,-0.0111873,0.47429,-0.711658,0.00343787,-1.60468,1.19571,0.000909414,-20.1128,-0.484056,-0.00434728,-0.912235,-0.000139618,0.0111873,-0.0465304,-0,0,0.0201701,0.000139618,-0.0111873,-1.52084,-0.711658,0.00343787,-1.14751,1.19571,0.000909414,-21.9277,-0.484056,-0.00434728,-0.972988,-0.000139618,0.0111873,-0.0506259,-0.620115,-0.562595,0.00633468,-0.0131061,-3.53157e-05,0.000126789,0,0,True,True
0.07,-0,0,0.00107429,8.15719e-05,-0.0120232,0.486441,-0.711639,0.0043522,-1.59451,1.19572,0.00114756,-20.1248,-0.484081,-0.00549976,-0.892101,-8.15719e-05,0.0120232,-0.0457038,-0,0,0.0195574,8.15719e-05,-0.0120232,-1.50648,-0.711639,0.0043522,-1.14853,1.19572,0.00114756,-21.8935,-0.484081,-0.00549976,-0.949701,-8.15719e-05,0.0120232,-0.0496215,-0.606558,-0.550052,0.00617144,-0.0147262,-2.68319e-05,0.000148413,0,0,True,True
0.075,-0,0,0.000977738,1.93855e-05,-0.0128444,0.497778,-0.711615,0.0052429,-1.58487,1.19573,0.00137872,-20.1352,-0.484111,-0.00662162,-0.871957,-1.93855e-05,0.0128444,-0.0449776,-0,0,0.0189793,1.93855e-05,-0.0128444,-1.49314,-0.711615,0.0052429,-1.1492,1.19573,0.00137872,-21.8613,-0.484111,-0.00662162,-0.926607,-1.93855e-05,0.0128444,-0.0487379,-0.593054,-0.537444,0.00601883,-0.0163097,-1.63908e-05,0.00017158,0,0,True,True
0.08,-0,0,0.000899161,-4.68718e-05,-0.0136524,0.50847,-0.711586,0.00611103,-1.57582,1.19573,0.00160312,-20.1447,-0.484147,-0.00771415,-0.852489,4.68718e-05,0.0136524,-0.0443355,-0,0,0.0184449,-4.68718e-05,-0.0136524,-1.48061,-0.711586,0.00611103,-1.14978,1.19573,0.00160312,-21.8309,-0.484147,-0.00771415,-0.904409,4.68718e-05,0.0136524,-0.0479549,-0.580039,-0.525226,0.00587737,-0.0178591,-4.04413e-06,0.000196262,0,0,True,True
0.085,-0,0,0.000831952,-0.000117139,-0.0144488,0.518665,-0.711553,0.0069582,-1.56735,1.19574,0.0018211,-20.1535,-0.484188,-0.0087793,-0.834014,0.000117139,0.0144488,-0.0437629,-0,0,0.0179559,-0.000117139,-0.0144488,-1.46871,-0.711553,0.0069582,-1.15041,1.19574,0.0018211,-21.8024,-0.484188,-0.0087793,-0.883419,0.000117139,0.0144488,-0.0472546,-0.567712,-0.513609,0.0057468,-0.0193771,1.01598e-05,0.000222438,0,0,True,True
0.09,-0,0,0.000771681,-0.00019136,-0.0152348,0.528487,-0.711517,0.00778619,-1.55943,1.19575,0.00203308,-20.1622,-0.484235,-0.00981928,-0.816634,0.00019136,0.0152348,-0.0432482,-0,0,0.0175106,-0.00019136,-0.0152348,-1.45729,-0.711517,0.00778619,-1.15118,1.19575,0.00203308,-21.7755,-0.484235,-0.00981928,-0.863718,0.00019136,0.0152348,-0.0466228,-0.556129,-0.502667,0.00562648,-0.0208666,2.61761e-05,0.000250087,0,0,True,True
0.095,-0,0,0.000715521,-0.000269487,-0.0160114,0.538031,-0.711476,0.0085968,-1.55198,1.19576,0.00223949,-20.1708,-0.484286,-0.0108363,-0.800325,0.000269487,0.0160114,-0.042782,-0,0,0.0171053,-0.000269487,-0.0160114,-1.44623,-0.711476,0.0085968,-1.15211,1.19576,0.00223949,-21.7499,-0.484286,-0.0108363,-0.845258,0.000269487,0.0160114,-0.046048,-0.545272,-0.492388,0.00551557,-0.0223301,4.39639e-05,0.00027919,0,0,True,True
0.1,-0,0,0.000661777,-0.000351474,-0.0167793,0.54737,-0.711431,0.00939172,-1.54496,1.19577,0.00244069,-20.1795,-0.484343,-0.0118324,-0.784996,0.000351474,0.0167793,-0.0423573,-0,0,0.0167359,-0.000351474,-0.0167793,-1.43544,-0.711431,0.00939172,-1.15322,1.19577,0.00244069,-21.7255,-0.484343,-0.0118324,-0.827927,0.000351474,0.0167793,-0.0455216,-0.535077,-0.482718,0.00541318,-0.0237699,6.34862e-05,0.000309731,0,0,True,True
0.105,-0,0,0.000609527,-0.00043728,-0.0175394,0.556557,-0.711382,0.0101725,-1.53831,1.19579,0.00263706,-20.1883,-0.484405,-0.0128095,-0.77053,0.00043728,0.0175394,-0.0419687,-0,0,0.0163981,-0.00043728,-0.0175394,-1.42487,-0.711382,0.0101725,-1.15451,1.19579,0.00263706,-21.7021,-0.484405,-0.0128095,-0.811587,0.00043728,0.0175394,-0.0450375,-0.525464,-0.473585,0.0053185,-0.0251881,8.47092e-05,0.000341694,0,0,True,True
