t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.06866,0.000460758,8.26477e-05,0.737039,-0.630375,-0.0188307,-2.94696,1.06671,-0.00481172,-22.3568,-0.436332,0.0236424,-7.65456,-0.000460758,-8.26477e-05,-0.0191923,-0,0,0.121017,0.000460758,8.26477e-05,-1.22348,-0.630375,-0.0188307,-2.81433,1.06671,-0.00481172,-23.1819,-0.436332,0.0236424,-7.90615,-0.000460758,-8.26477e-05,-0.0198953,-4.94601,-4.89766,0.0182591,0.0185111,0,0,0,0,True,True
0.005,-0,0,-0.0523483,0.000461172,-0.000242652,0.613572,-0.630469,-0.0103382,-2.91435,1.06668,-0.0026414,-21.9336,-0.436214,0.0129796,-7.25577,-0.000461172,0.000242652,-0.0304894,-0,0,0.129742,0.000461172,-0.000242652,-1.3597,-0.630469,-0.0103382,-2.69794,1.06668,-0.0026414,-23.2502,-0.436214,0.0129796,-7.64252,-0.000461172,0.000242652,-0.0323043,-4.69529,-4.63542,0.0102757,0.00991003,-6.92516e-07,1.67862e-07,0,0,True,True
0.01,-0,0,-0.0107645,0.000458332,-0.000963011,0.447867,-0.630479,-0.00259861,-2.04844,1.06668,-0.000663087,-19.3899,-0.436203,0.00326169,-3.0051,-0.000458332,0.000963011,-0.0456542,-0,0,0.06339,0.000458332,-0.000963011,-1.552,-0.630479,-0.00259861,-1.65885,1.06668,-0.000663087,-21.2036,-0.436203,0.00326169,-3.24381,-0.000458332,0.000963011,-0.0498381,-1.96356,-1.90101,0.00336925,0.00169907,-4.77731e-06,1.26982e-06,0,0,True,True
0.015,-0,0,0.00985477,0.000451542,-0.00183364,0.36932,-0.630495,-0.0037309,-1.30086,1.06668,-0.000951554,-17.3813,-0.436181,0.00468245,0.518498,-0.000451542,0.00183364,-0.052866,-0,0,-0.00973861,0.000451542,-0.00183364,-1.64711,-0.630495,-0.0037309,-0.78693,1.06668,-0.000951554,-19.3103,-0.436181,0.00468245,0.584414,-0.000451542,0.00183364,-0.0585424,0.303973,0.362613,0.00523051,0.00204342,-1.23049e-05,3.9021e-06,0,0,True,True
0.02,-0,0,0.00795763,0.000439995,-0.00281959,0.323494,-0.630516,-0.00417357,-1.43677,1.06667,-0.00106365,-17.572,-0.436156,0.00523722,0.00171082,-0.000439995,0.00281959,-0.0571212,-0,0,0.00186376,0.000439995,-0.00281959,-1.70402,-0.630516,-0.00417357,-0.888811,1.06667,-0.00106365,-19.6936,-0.436156,0.00523722,0.0183312,-0.000439995,0.00281959,-0.0638063,-0.0316386,0.0336484,0.00652092,0.00161121,-2.15322e-05,8.37659e-06,0,0,True,True
0.025,-0,0,0.00673369,0.000423346,-0.00384878,0.310946,-0.630537,-0.00410461,-1.52095,1.06667,-0.00104493,-17.7354,-0.436129,0.00514954,-0.350923,-0.000423346,0.00384878,-0.0583602,-0,0,0.0100714,0.000423346,-0.00384878,-1.7198,-0.630537,-0.00410461,-0.96765,1.06667,-0.00104493,-19.924,-0.436129,0.00514954,-0.372457,-0.000423346,0.00384878,-0.06535,-0.259692,-0.191767,0.00735093,0.000639992,-3.10402e-05,1.48278e-05,0,0,True,True
0.03,-0,0,0.00581683,0.000401508,-0.00488105,0.316311,-0.630557,-0.00372372,-1.56554,1.06666,-0.000946482,-17.8569,-0.436104,0.0046702,-0.563034,-0.000401508,0.00488105,-0.0579892,-0,0,0.0148869,0.000401508,-0.00488105,-1.71308,-0.630557,-0.00372372,-1.02085,1.06666,-0.000946482,-20.0392,-0.436104,0.0046702,-0.607358,-0.000401508,0.00488105,-0.0648733,-0.396228,-0.327988,0.00787993,-0.000639409,-3.99518e-05,2.32882e-05,0,0,True,True
0.035,-0,0,0.00505892,0.000374535,-0.00589608,0.330456,-0.630574,-0.00316069,-1.58599,1.06666,-0.000801557,-17.9463,-0.436082,0.00396225,-0.684929,-0.000374535,0.00589608,-0.0568436,-0,0,0.0174384,0.000374535,-0.00589608,-1.69539,-0.630574,-0.00316069,-1.05612,1.06666,-0.000801557,-20.0849,-0.436082,0.00396225,-0.741059,-0.000374535,0.00589608,-0.0634267,-0.47416,-0.406799,0.00821661,-0.00208203,-4.77448e-05,3.37371e-05,0,0,True,True
0.04,-0,0,0.00443377,0.000342547,-0.00688514,0.348191,-0.630589,-0.0024982,-1.59213,1.06665,-0.000631375,-18.0118,-0.436065,0.00312957,-0.749675,-0.000342547,0.00688514,-0.0553976,-0,0,0.0185776,0.000342547,-0.00688514,-1.67333,-0.630589,-0.0024982,-1.07911,1.06665,-0.000631375,-20.0903,-0.436065,0.00312957,-0.810684,-0.000342547,0.00688514,-0.061612,-0.515077,-0.449133,0.00843387,-0.00359917,-5.41247e-05,4.61283e-05,0,0,True,True
0.045,-0,0,0.0039332,0.000305684,-0.00784584,0.366696,-0.630599,-0.00178782,-1.5901,1.06665,-0.000449213,-18.0597,-0.436051,0.00223703,-0.77889,-0.000305684,0.00784584,-0.0539083,-0,0,0.0188816,0.000305684,-0.00784584,-1.65046,-0.630599,-0.00178782,-1.09384,1.06665,-0.000449213,-20.0735,-0.436051,0.00223703,-0.840756,-0.000305684,0.00784584,-0.0597531,-0.533063,-0.468707,0.00857993,-0.00513815,-5.89403e-05,6.04073e-05,0,0,True,True
