t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0668614,0.000460758,7.53821e-05,0.724346,-0.630375,-0.018848,-2.94169,1.06671,-0.00481613,-22.3088,-0.436332,0.0236641,-7.60436,-0.000460758,-7.53821e-05,-0.0203541,-0,0,0.121813,0.000460758,7.53821e-05,-1.23721,-0.630375,-0.018848,-2.80059,1.06671,-0.00481613,-23.1841,-0.436332,0.0236641,-7.86999,-0.000460758,-7.53821e-05,-0.0211466,-4.91431,-4.86481,0.0182823,0.0185216,0,0,0,0,True,True
0.005,-0,0,-0.0493689,0.000461135,-0.000270026,0.591174,-0.63047,-0.0104036,-2.90499,1.06668,-0.00265807,-21.8475,-0.436214,0.0130616,-7.1662,-0.000461135,0.000270026,-0.0325389,-0,0,0.130948,0.000461135,-0.000270026,-1.38505,-0.63047,-0.0104036,-2.67278,1.06668,-0.00265807,-23.2532,-0.436214,0.0130616,-7.57535,-0.000461135,0.000270026,-0.0346146,-4.63872,-4.57681,0.0103632,0.00994998,-7.31403e-07,1.81956e-07,0,0,True,True
0.01,-0,0,-0.00818048,0.000458058,-0.00104294,0.411075,-0.630479,-0.00279031,-2.03502,1.06668,-0.000712006,-19.2516,-0.436202,0.00350232,-2.8676,-0.000458058,0.00104294,-0.0490207,-0,0,0.0626513,0.000458058,-0.00104294,-1.59629,-0.630479,-0.00279031,-1.61319,1.06668,-0.000712006,-21.1996,-0.436202,0.00350232,-3.11319,-0.000458058,0.00104294,-0.0538784,-1.87684,-1.81092,0.00362556,0.00181663,-5.07104e-06,1.37599e-06,0,0,True,True
0.015,-0,0,0.0107027,0.000450706,-0.00198446,0.325337,-0.630497,-0.00409468,-1.28683,1.06668,-0.00104444,-17.2206,-0.436179,0.00513912,0.67196,-0.000450706,0.00198446,-0.0568923,-0,0,-0.0134618,0.000450706,-0.00198446,-1.70166,-0.630497,-0.00409468,-0.728477,1.06668,-0.00104444,-19.2965,-0.436179,0.00513912,0.759801,-0.000450706,0.00198446,-0.0635228,0.400602,0.463314,0.00571618,0.00226729,-1.32052e-05,4.22607e-06,0,0,True,True
0.02,-0,0,0.00910429,0.000438214,-0.00304962,0.276806,-0.63052,-0.00473142,-1.42113,1.06667,-0.00120621,-17.398,-0.43615,0.00593763,0.169127,-0.000438214,0.00304962,-0.0613991,-0,0,-0.00191294,0.000438214,-0.00304962,-1.76297,-0.63052,-0.00473142,-0.825995,1.06667,-0.00120621,-19.6787,-0.43615,0.00593763,0.206541,-0.000438214,0.00304962,-0.0691946,0.0738427,0.143441,0.00726471,0.00195569,-2.34603e-05,9.06727e-06,0,0,True,True
0.025,-0,0,0.00810032,0.00042021,-0.00416068,0.263794,-0.630545,-0.00486461,-1.50458,1.06666,-0.00123931,-17.5579,-0.43612,0.00610392,-0.178851,-0.00042021,0.00416068,-0.0626872,-0,0,0.00645358,0.00042021,-0.00416068,-1.77963,-0.630545,-0.00486461,-0.903898,1.06666,-0.00123931,-19.9089,-0.43612,0.00610392,-0.181808,-0.00042021,0.00416068,-0.0708278,-0.151237,-0.0789627,0.00836309,0.00111072,-3.44466e-05,1.60431e-05,0,0,True,True
0.03,-0,0,0.00731489,0.000396607,-0.00527447,0.269826,-0.630569,-0.00468614,-1.549,1.06666,-0.00119285,-17.6809,-0.436089,0.00587899,-0.391713,-0.000396607,0.00527447,-0.0622644,-0,0,0.0114822,0.000396607,-0.00527447,-1.77194,-0.630569,-0.00468614,-0.957936,1.06666,-0.00119285,-20.0243,-0.436089,0.00587899,-0.419622,-0.000396607,0.00527447,-0.0702743,-0.288227,-0.215695,0.00916049,-4.17928e-05,-4.52941e-05,2.51873e-05,0,0,True,True
0.035,-0,0,0.00662619,0.000367465,-0.00636923,0.28515,-0.630592,-0.00432181,-1.5696,1.06665,-0.00109902,-17.7745,-0.436061,0.00542084,-0.517188,-0.000367465,0.00636923,-0.0610223,-0,0,0.0142475,0.000367465,-0.00636923,-1.75244,-0.630592,-0.00432181,-0.994863,1.06665,-0.00109902,-20.0704,-0.436061,0.00542084,-0.558766,-0.000367465,0.00636923,-0.0686768,-0.368411,-0.296856,0.00976043,-0.00135955,-5.5475e-05,3.64764e-05,0,0,True,True
0.04,-0,0,0.00603019,0.000332914,-0.00743568,0.304233,-0.630612,-0.00385251,-1.57606,1.06665,-0.000978593,-17.8452,-0.436035,0.00483111,-0.586794,-0.000332914,0.00743568,-0.0594664,-0,0,0.01558,0.000332914,-0.00743568,-1.7283,-0.630612,-0.00385251,-1.0198,1.06665,-0.000978593,-20.0764,-0.436035,0.00483111,-0.634774,-0.000332914,0.00743568,-0.0666891,-0.412397,-0.34237,0.0102336,-0.00275512,-6.46836e-05,4.98601e-05,0,0,True,True
0.045,-0,0,0.00553479,0.000293108,-0.00847138,0.324079,-0.63063,-0.00332931,-1.57443,1.06664,-0.000844684,-17.8984,-0.436012,0.00417399,-0.621256,-0.000293108,0.00847138,-0.0578701,-0,0,0.016051,0.000293108,-0.00847138,-1.70338,-0.63063,-0.00332931,-1.03649,1.06664,-0.000844684,-20.0603,-0.436012,0.00417399,-0.671316,-0.000293108,0.00847138,-0.0646616,-0.433703,-0.36537,0.0106277,-0.00417633,-7.27555e-05,6.52791e-05,0,0,True,True
