iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,unstable_resets
0,2.3,10678,1.51,0.79,-0.00586,0.01766,0.02397,14.32826,0.07302,1e-05,0.79839,0
1,4.1,13902,1.48,0.29,-0.05008,1.17784,-0.00269,14.32463,0.00942,0.00038,0.79857,0
2,5.5,16816,1.12,0.34,-0.11137,1.9228,-0.00373,14.36128,0.01303,0.00086,0.80313,0
3,7.0,16430,1.16,0.33,-0.056,0.7963,-0.00763,14.41755,0.01476,0.00038,0.80498,0
4,8.5,17072,1.11,0.33,-0.08922,1.02803,-0.00537,14.43616,0.01318,0.0013,0.80736,0
5,9.9,16839,1.16,0.3,-0.07315,0.59594,-0.00578,14.46428,0.01459,0.0013,0.80736,0
6,11.5,15568,1.23,0.35,-0.07793,0.5992,-0.00636,14.46491,0.01311,0.0013,0.80856,0
7,13.1,15023,1.22,0.42,-0.08183,0.49265,-0.00622,14.49762,0.01317,0.0013,0.8116,0
8,14.8,14802,1.34,0.32,-0.07363,0.3456,-0.00579,14.53471,0.01376,0.00195,0.8132,0
9,16.5,14685,1.27,0.41,-0.08071,0.29779,-0.00598,14.55225,0.01498,0.00195,0.81436,0
10,18.1,14831,1.33,0.33,-0.07758,0.23911,-0.00519,14.55421,0.01302,0.0013,0.81316,0
11,19.7,15421,1.23,0.36,-0.0889,0.21209,-0.00638,14.5336,0.01407,0.00195,0.81249,0
12,21.4,14735,1.27,0.4,-0.07428,0.14222,-0.00298,14.52351,0.01681,0.00026,0.81148,0
13,23.1,14581,1.31,0.38,-0.07395,0.14228,-0.00047,14.5007,0.01721,1e-05,0.80986,0
14,24.6,15889,1.19,0.36,-0.07713,0.12427,-0.00282,14.48861,0.00788,0.00026,0.80895,0
15,26.1,16943,1.13,0.32,-0.07053,0.0885,-0.00753,14.46137,0.01047,0.0013,0.80606,0
16,27.6,16063,1.18,0.35,-0.07261,0.05953,-0.00898,14.39884,0.01368,0.0013,0.802,0
17,29.0,17134,1.11,0.32,-0.06868,0.04365,-0.00978,14.3286,0.01354,0.00086,0.79646,0
18,30.5,16694,1.12,0.35,-0.0698,0.03729,-0.01163,14.23025,0.01257,0.00058,0.79035,0
19,32.0,16853,1.12,0.34,-0.06075,0.03449,-0.01274,14.1438,0.01468,0.00026,0.78593,0
20,33.5,15816,1.23,0.33,-0.06491,0.05758,-0.01008,14.09825,0.01322,0.00086,0.78278,0
21,35.1,15621,1.14,0.43,-0.05986,0.02188,-0.01135,14.03059,0.01342,0.00038,0.77808,0
22,36.6,16654,1.12,0.35,-0.07339,0.02059,-0.01295,13.9495,0.01318,0.00026,0.77279,0
23,38.2,15662,1.24,0.32,-0.0526,0.02098,-0.01185,13.87778,0.0126,0.00017,0.76872,0
24,39.6,17351,1.12,0.3,-0.05363,0.02109,-0.0115,13.82475,0.01551,5e-05,0.76617,0
25,40.9,17883,1.1,0.28,-0.05061,0.02236,-0.00895,13.78275,0.01634,1e-05,0.76322,0
26,42.5,16191,1.08,0.44,-0.04981,0.02476,-0.00727,13.7509,0.01398,1e-05,0.76145,0
27,44.0,16359,1.16,0.34,-0.04367,0.02764,-0.00648,13.72225,0.00989,8e-05,0.75956,0
28,45.6,15069,1.29,0.34,-0.03885,0.03184,-0.00853,13.67669,0.01275,0.00011,0.75655,0
29,47.3,14315,1.33,0.39,-0.037,0.0332,-0.00997,13.62519,0.01134,0.00026,0.75292,0
30,48.8,16489,1.17,0.32,-0.03364,0.03353,-0.01162,13.5643,0.01176,0.00026,0.7495,0
31,50.5,14133,1.36,0.38,-0.03234,0.08439,-0.01037,13.52226,0.01276,0.00026,0.7478,0
32,52.1,15774,1.23,0.33,-0.04249,0.02818,-0.01023,13.49898,0.0126,0.00038,0.74568,0
33,53.8,14267,1.37,0.36,-0.05942,0.02909,-0.00995,13.4305,0.01544,0.00086,0.73994,0
34,55.3,16393,1.15,0.35,-0.02329,0.03298,-0.00983,13.3406,0.01373,0.00058,0.73504,0
35,56.9,15512,1.24,0.34,-0.01748,0.03229,-0.00886,13.24317,0.01628,0.00086,0.72885,0
36,58.5,15686,1.23,0.33,-0.01812,0.03357,-0.00892,13.15552,0.01428,0.00058,0.72471,0
37,59.8,18319,1.06,0.28,-0.01772,0.03121,-0.01074,13.08491,0.01315,0.00038,0.72064,0
38,61.2,18267,1.07,0.28,-0.01357,0.03072,-0.01051,13.01334,0.01229,0.00038,0.71618,0
39,62.6,17499,1.09,0.31,-0.01113,0.02875,-0.00914,12.93519,0.01412,0.00058,0.71166,0
40,64.0,16766,1.12,0.34,-0.00772,0.02849,-0.00746,12.87258,0.01452,0.00017,0.70918,0
