iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
1500,3.8,6442,2.2,1.62,0.02545,0.01613,-0.00445,-0.80225,0.01813,1e-05,0.27093,,,,,,,,,,,,,,,,,,,,,0
1501,6.1,10857,1.76,0.51,0.02975,0.0153,-0.00353,-0.79882,0.01457,1e-05,0.27098,,,,,,,,,,,,,,,,,,,,,0
1502,8.0,12860,1.53,0.38,0.03018,0.00862,-0.00543,-0.79535,0.00983,5e-05,0.2711,0.01139,0.02105,-0.01348,-0.00551,-0.00704,-0.0037,-0.00232,-0.00073,-0.0022,-0.00097,-0.00195,-0.00098,0.00945,-0.00506,0.01416,-0.00164,-0.00117,0.0,-0.2,1.26,0
1503,9.8,13390,1.44,0.39,0.03058,0.00282,-0.00439,-0.78929,0.01358,0.00011,0.27123,0.03574,0.03127,-0.00938,-0.00546,-0.00856,-0.00285,-0.00311,-0.0008,-0.00292,-0.00139,-0.00288,-0.00249,0.0129,-0.00453,0.02133,-0.00345,-0.00203,0.0,-0.2,1.72,0
1504,12.0,11423,1.71,0.45,0.03105,0.00109,-0.00645,-0.78642,0.01421,0.00017,0.27123,0.01388,0.03097,-0.01281,-0.00617,-0.00806,-0.00342,-0.00405,-0.0011,-0.00389,-0.00158,-0.0029,-0.00137,0.01515,-0.00574,0.02322,-0.00322,-0.00264,0.0,-0.2,2.02,0
1505,13.8,13190,1.49,0.38,0.03078,0.00489,-0.00484,-0.78577,0.01341,8e-05,0.27127,0.05251,0.04775,-0.01388,-0.00673,-0.00862,-0.00348,-0.0046,-0.00068,-0.00457,-0.00212,-0.00418,-0.00161,0.0198,-0.00848,0.03564,-0.00222,-0.00476,0.0,-0.2,2.64,0
1506,15.7,13270,1.45,0.4,0.03161,0.00631,-0.00644,-0.78027,0.01409,5e-05,0.27145,,,,,,,,,,,,,,,,,,,,,0
1507,17.5,13555,1.44,0.37,0.03132,0.0014,-0.00696,-0.7731,0.01159,0.00011,0.2716,0.14411,0.06494,-0.02456,-0.00791,-0.00872,-0.0045,-0.00707,-0.00261,-0.00636,-0.00304,-0.00574,-0.00456,0.0282,-0.01424,0.05463,-0.00311,-0.00472,0.0,-0.2,3.76,0
1508,19.3,13766,1.39,0.39,0.03181,0.0011,-0.00594,-0.77056,0.01521,0.00011,0.27161,,,,,,,,,,,,,,,,,,,,,0
1509,21.2,12737,1.5,0.43,0.03134,0.00086,-0.00663,-0.77472,0.01731,5e-05,0.27144,,,,,,,,,,,,,,,,,,,,,0
1510,23.2,12716,1.55,0.38,0.02683,0.15305,-0.00681,-0.77797,0.01461,5e-05,0.27151,0.17215,0.07912,-0.01082,-0.01072,-0.01028,-0.00393,-0.00804,-0.00183,-0.00781,-0.00389,-0.00712,-0.00566,0.03615,-0.01553,0.06156,-0.00629,-0.00394,0.0,-0.2,4.82,0
1511,25.1,12353,1.6,0.39,0.02674,0.05,-0.0096,-0.77072,0.01376,8e-05,0.27173,,,,,,,,,,,,,,,,,,,,,0
1512,27.2,12207,1.62,0.39,0.02686,0.03382,-0.00774,-0.76167,0.01347,2e-05,0.27185,0.23283,0.11427,-0.01061,-0.00877,-0.009,-0.00335,-0.00894,-0.00111,-0.00848,-0.00474,-0.00912,-0.00174,0.0447,-0.00842,0.08994,-0.00567,-0.0061,0.0,-0.2,5.96,0
1513,29.3,11569,1.7,0.43,0.02754,0.0125,-0.0083,-0.75583,0.01137,8e-05,0.27201,0.25282,0.12433,-0.01687,-0.00985,-0.00997,-0.00346,-0.00939,-0.00154,-0.00969,-0.00526,-0.00988,-0.00332,0.04868,-0.01069,0.09834,-0.00761,-0.00759,-0.01221,-0.2,6.49091,0
1514,31.4,11671,1.69,0.42,0.02942,0.00323,-0.00787,-0.74523,0.01381,8e-05,0.27218,0.26489,0.12969,-0.01701,-0.01093,-0.01062,-0.00391,-0.0103,-0.00121,-0.01004,-0.00547,-0.01009,-0.00283,0.05172,-0.01259,0.10229,-0.00692,-0.00653,0.0,-0.2,6.89667,0
1515,33.3,12872,1.53,0.38,0.02966,0.00311,-0.00653,-0.74029,0.014,8e-05,0.27228,0.26806,0.13466,-0.02422,-0.01134,-0.01068,-0.00347,-0.01233,-0.00219,-0.01264,-0.00642,-0.01193,-0.00296,0.0552,-0.01283,0.10805,-0.00688,-0.0102,0.0,-0.2,7.36,0
1516,35.1,13807,1.4,0.38,0.03107,0.00093,-0.00597,-0.73952,0.01312,0.00017,0.2722,0.23698,0.13122,-0.0267,-0.0108,-0.01436,-0.00415,-0.01262,-0.00213,-0.01047,-0.00574,-0.0112,-0.00366,0.05425,-0.01649,0.10836,-0.0077,-0.00849,0.0,-0.2,7.23333,0
1517,36.8,13970,1.4,0.36,0.03164,0.00082,-0.00768,-0.74851,0.01549,0.00017,0.27194,0.33397,0.17081,-0.00733,-0.00888,-0.00859,-0.00325,-0.01068,-0.00096,-0.00936,-0.00691,-0.01277,-0.00099,0.0639,-0.00821,0.13014,-0.0135,-0.0037,-0.16692,-0.2,8.52,0
