iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
3000,5.7,4278,4.73,1.01,0.0195,0.97423,-0.01047,-2.4951,0.01442,0.00011,0.22732,0.00115,0.0035,-0.01204,-0.01098,-0.00216,-0.00213,-0.00203,-0.00131,-0.00172,-0.00085,-0.0008,-0.03144,0.003,-0.00293,0.00434,-0.00027,-0.00173,0.0,-0.2,0.4,0
3001,10.1,5682,3.82,0.5,0.0137,0.09768,-0.00921,-2.48099,0.01645,8e-05,0.22756,0.00482,0.00644,-0.00861,-0.00616,-0.00462,-0.00282,-0.00221,-0.00133,-0.00219,-0.00101,-0.00117,-0.01204,0.00545,-0.00399,0.00788,-0.00117,-0.0028,-0.00262,-0.2,0.72609,0
3002,14.4,5616,3.86,0.51,0.02218,0.13093,-0.01051,-2.47101,0.01717,1e-05,0.22768,0.01329,0.0124,-0.01091,-0.005,-0.00694,-0.00306,-0.0027,-0.00116,-0.00265,-0.00122,-0.00176,-0.0056,0.00872,-0.00527,0.01264,-0.00125,-0.00421,-0.00844,-0.19667,1.162,0
3003,18.9,5514,4.0,0.46,0.02529,0.0504,-0.00887,-2.4669,0.01133,5e-05,0.22777,0.0185,0.01837,-0.01563,-0.00505,-0.00789,-0.00332,-0.00325,-0.00148,-0.003,-0.00141,-0.00207,-0.00489,0.01048,-0.0052,0.01596,-0.00161,-0.00433,-0.00657,-0.2,1.39667,0
3004,23.7,5175,4.27,0.48,0.02617,0.09877,-0.00897,-2.45853,0.01449,5e-05,0.22795,0.03935,0.02876,-0.01276,-0.00419,-0.00572,-0.00211,-0.00365,-0.00105,-0.00338,-0.00151,-0.00254,-0.0034,0.01351,-0.00598,0.02412,-0.00162,-0.0037,-0.00532,-0.12571,1.80143,0
3005,28.2,5375,4.09,0.48,0.02635,0.05938,-0.00721,-2.44855,0.0154,8e-05,0.22811,0.03703,0.03597,-0.03202,-0.00592,-0.01006,-0.00331,-0.00632,-0.00174,-0.00579,-0.00278,-0.00367,-0.00393,0.01924,-0.0095,0.0347,-0.00226,-0.00502,-0.0025,-0.16,2.56533,0
3006,31.5,7627,2.81,0.41,0.02773,0.03456,-0.00932,-2.43931,0.01422,8e-05,0.22832,0.06563,0.04364,-0.01634,-0.0052,-0.00722,-0.00327,-0.00472,-0.00148,-0.0046,-0.00212,-0.00343,-0.00413,0.01922,-0.00643,0.03595,-0.00354,-0.00395,-0.01429,-0.15128,2.56256,0
3007,34.9,7115,3.01,0.44,0.02791,0.03658,-0.00666,-2.42958,0.01202,3e-05,0.22842,0.08252,0.05877,-0.02348,-0.00559,-0.00856,-0.00277,-0.00664,-0.00138,-0.00625,-0.00278,-0.00471,-0.00244,0.02587,-0.00745,0.05068,-0.00273,-0.00659,0.0,-0.14487,3.44936,0
3008,38.6,6597,3.31,0.42,0.02896,0.04928,-0.00972,-2.42292,0.01617,2e-05,0.22857,0.11884,0.07249,-0.01266,-0.00491,-0.00587,-0.00171,-0.00615,-0.00101,-0.00522,-0.00237,-0.00476,-0.00151,0.02769,-0.00611,0.0568,-0.00333,-0.00324,-0.00366,-0.09778,3.692,0
3009,42.4,6458,3.3,0.51,0.02897,0.05044,-0.00888,-2.41554,0.01229,8e-05,0.22872,0.07876,0.06324,-0.02229,-0.00566,-0.00879,-0.00272,-0.00734,-0.00146,-0.00653,-0.00285,-0.00496,-0.0025,0.02766,-0.00743,0.0558,-0.00281,-0.00504,0.0,-0.14583,3.68833,0
