iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
4000,4.4,5583,3.57,0.83,0.01597,0.33632,-0.0111,5.56031,0.01887,1e-05,0.43023,0.0,0.00164,0.00316,-0.01537,-0.01243,-0.00165,-0.00222,-0.00257,-0.00171,-0.00219,-0.00084,-0.00201,-0.03442,0.00298,-0.00477,0.00415,-0.00169,-0.00177,-0.00208,-0.2,0.39667,0
4001,7.7,7358,2.92,0.42,0.01536,0.05263,-0.00927,5.57123,0.01166,0.00011,0.43088,0.0,0.00415,0.00552,-0.01188,-0.00708,-0.00415,-0.00278,-0.00329,-0.00173,-0.00291,-0.00135,-0.00304,-0.02101,0.00544,-0.00577,0.00794,-0.00281,-0.00286,-0.0061,-0.2,0.72476,0
4002,11.2,7101,3.03,0.43,0.02235,0.05767,-0.01116,5.59442,0.0148,0.00011,0.43174,0.0,0.01063,0.00942,-0.02187,-0.00684,-0.00658,-0.00378,-0.00494,-0.00236,-0.00568,-0.00236,-0.00469,-0.01727,0.00853,-0.00949,0.01248,-0.00247,-0.0065,-0.01904,-0.2,1.13778,0
4003,14.8,6928,3.09,0.46,0.02364,0.02954,-0.00954,5.61622,0.01538,8e-05,0.43246,0.0,0.03334,0.01721,-0.0607,-0.0114,-0.01151,-0.00734,-0.00724,-0.00374,-0.01224,-0.00433,-0.00863,-0.01604,0.01359,-0.01368,0.02047,-0.01095,-0.00835,-0.02021,-0.2,1.812,0
4004,18.5,6523,3.24,0.53,0.02413,0.02793,-0.0079,5.63101,0.01522,3e-05,0.43289,0.0,0.05283,0.02575,-0.01695,-0.00496,-0.00477,-0.00281,-0.00613,-0.00211,-0.0067,-0.00352,-0.00817,-0.00828,0.0147,-0.00678,0.02578,-0.00164,-0.00465,-0.03208,-0.125,1.96,0
4005,22.5,6164,3.47,0.52,0.02404,0.0276,-0.00913,5.63934,0.01384,0.00011,0.43322,0.0,0.08419,0.03687,-0.01467,-0.00515,-0.00378,-0.00219,-0.00682,-0.00175,-0.00894,-0.00471,-0.01045,-0.00424,0.0191,-0.00594,0.03835,-0.00141,-0.00839,-0.03441,-0.0697,2.54727,0
4006,26.1,6839,3.1,0.49,0.02515,0.02051,-0.01065,5.64943,0.0148,5e-05,0.43355,0.0,0.08563,0.0371,-0.02061,-0.00632,-0.00439,-0.00258,-0.0082,-0.00217,-0.00919,-0.00487,-0.01102,-0.00759,0.0201,-0.0071,0.03839,-0.00611,-0.00554,-0.01007,-0.08182,2.68,0
4007,29.9,6402,3.33,0.51,0.02577,0.02509,-0.00866,5.65953,0.01317,0.00017,0.43411,0.0,0.12843,0.05461,-0.01046,-0.00647,-0.00369,-0.00201,-0.00884,-0.00207,-0.00979,-0.00581,-0.01366,-0.00236,0.02643,-0.00593,0.05268,-0.00323,-0.00731,-0.03283,-0.05833,3.52417,0
4008,33.7,6505,3.35,0.43,0.02444,0.03074,-0.00566,5.67341,0.02003,1e-05,0.43438,0.0,0.0951,0.04463,-0.0221,-0.00803,-0.00549,-0.00304,-0.00956,-0.00325,-0.01172,-0.00574,-0.01351,-0.01171,0.02422,-0.00908,0.04525,-0.00606,-0.01116,-0.03554,-0.12,3.229,0
4009,38.0,5685,3.85,0.47,0.02597,0.01139,-0.00562,5.67646,0.01064,0.00011,0.4345,0.0,0.16558,0.06366,-0.00816,-0.00614,-0.00299,-0.00108,-0.00988,-0.0016,-0.00963,-0.00624,-0.01529,-0.00215,0.03066,-0.00505,0.06485,-0.00376,-0.00496,0.0,-0.025,4.0875,0
4010,42.5,5473,3.95,0.54,0.02255,0.09455,-0.0108,5.68149,0.01495,0.00017,0.43492,0.0,0.19203,0.07626,-0.02474,-0.00891,-0.00511,-0.00227,-0.01297,-0.00316,-0.0145,-0.00908,-0.02029,-0.00713,0.03776,-0.01097,0.07542,-0.005,-0.00894,-0.02643,-0.02857,5.03429,0
4011,46.3,6592,3.25,0.48,0.02032,0.0618,-0.01051,5.69776,0.01502,8e-05,0.43539,0.0,0.18257,0.07591,-0.01426,-0.00902,-0.00478,-0.00279,-0.01322,-0.003,-0.01458,-0.00921,-0.02041,-0.00534,0.03856,-0.01041,0.07681,-0.00558,-0.01154,-0.03153,-0.08333,5.14083,0
