iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
4800,3.9,6235,3.0,0.94,0.01504,0.28236,-0.012,6.3102,0.01688,0.00011,0.4549,0.13772,0.00157,0.00212,-0.01671,-0.00882,-0.00113,-0.0022,-0.00342,-0.00264,-0.00264,-0.00108,-0.00222,-0.03093,0.00283,-0.00276,0.00414,-0.00039,-0.00213,0.0,-0.2,0.37667,0
4801,7.0,8087,2.55,0.49,0.01813,0.05167,-0.01143,6.33166,0.01675,2e-05,0.45551,0.14148,0.0055,0.00477,-0.01518,-0.00723,-0.00308,-0.00325,-0.00429,-0.00284,-0.00405,-0.00167,-0.00361,-0.02249,0.00507,-0.00506,0.00848,-0.00236,-0.00363,-0.00317,-0.2,0.676,0
4802,10.1,7892,2.65,0.47,0.0231,0.02771,-0.00879,6.33889,0.0122,0.00017,0.45577,0.09785,0.0103,0.00777,-0.07343,-0.01046,-0.01147,-0.00855,-0.00743,-0.00495,-0.0128,-0.004,-0.00814,-0.03461,0.00864,-0.01561,0.01159,-0.01189,-0.00715,-0.00463,-0.2,1.15143,0
4803,13.3,7746,2.7,0.47,0.02554,0.01336,-0.00507,6.34483,0.01662,3e-05,0.4559,0.07322,0.02706,0.0156,-0.01861,-0.01004,-0.00638,-0.0035,-0.00986,-0.00492,-0.00947,-0.00416,-0.00957,-0.01485,0.01275,-0.00861,0.0198,-0.00235,-0.00577,-0.0572,-0.2,1.7,0
4804,16.9,6725,3.17,0.48,0.02545,0.00359,-0.00817,6.34306,0.01126,0.00017,0.45564,0.06649,0.06296,0.02683,-0.03229,-0.00842,-0.00527,-0.00292,-0.0075,-0.00282,-0.01133,-0.00512,-0.01115,-0.00914,0.01648,-0.0084,0.03208,-0.00651,-0.00886,0.0,-0.06667,2.19778,0
4805,20.2,7553,2.77,0.48,0.02645,0.00712,-0.00609,6.32887,0.01564,8e-05,0.45514,0.05274,0.07557,0.03737,-0.05242,-0.00888,-0.00536,-0.00441,-0.00888,-0.00359,-0.01349,-0.00601,-0.01335,-0.01684,0.01991,-0.00788,0.03811,-0.01156,-0.01009,0.0,-0.02857,2.65429,0
4806,23.4,7680,2.73,0.47,0.0271,0.00223,-0.00763,6.31658,0.01612,8e-05,0.45453,0.0455,0.1255,0.04626,-0.00572,-0.00446,-0.00147,-0.00115,-0.00779,-0.00101,-0.0079,-0.0054,-0.0129,-0.00062,0.02335,-0.00327,0.05031,-0.00226,-0.00432,0.0,0.0,3.11333,0
4807,26.6,7721,2.71,0.47,0.02723,0.00246,-0.00662,6.30203,0.0103,8e-05,0.4541,0.03998,0.13313,0.04833,-0.00596,-0.00591,-0.00244,-0.00193,-0.00885,-0.00125,-0.00742,-0.00488,-0.01372,-0.00514,0.02439,-0.0043,0.05156,-0.00239,-0.00431,0.0,-0.025,3.2525,0
4808,29.7,7714,2.7,0.49,0.02719,0.00365,-0.00895,6.27911,0.01407,0.00017,0.45311,0.04073,0.16156,0.06169,-0.01114,-0.00615,-0.00222,-0.00239,-0.01133,-0.002,-0.01092,-0.00652,-0.01717,-0.0043,0.03075,-0.00638,0.06434,-0.00341,-0.00944,0.0,0.0,4.1,0
4809,33.0,7604,2.75,0.48,0.02678,0.0075,-0.00858,6.25909,0.016,0.00011,0.4528,0.04408,0.18289,0.06813,-0.01524,-0.00762,-0.00295,-0.00189,-0.01174,-0.00215,-0.01253,-0.00815,-0.0194,-0.00437,0.03422,-0.00595,0.07303,-0.00404,-0.00869,0.0,0.0,4.56286,0
4810,36.1,7918,2.65,0.46,0.02325,0.03394,-0.0092,6.25854,0.01427,0.00026,0.45315,0.04836,0.20909,0.07832,-0.00786,-0.00669,-0.00224,-0.00179,-0.01268,-0.00148,-0.01245,-0.00827,-0.02129,-0.00173,0.03819,-0.00521,0.08256,-0.0043,-0.00568,0.0,0.0,5.09143,0
4811,38.8,8992,2.3,0.44,0.02234,0.01519,-0.00836,6.27108,0.01596,8e-05,0.45345,0.06145,0.20068,0.07407,-0.01481,-0.00751,-0.00343,-0.00219,-0.01226,-0.00218,-0.01272,-0.00849,-0.02113,-0.00381,0.03716,-0.00575,0.07889,-0.00647,-0.00866,0.0,-0.01818,4.95455,0
4812,41.8,8121,2.58,0.45,0.02396,0.01181,-0.00901,6.27296,0.01549,0.00011,0.45352,0.05272,0.24045,0.08869,-0.0099,-0.00855,-0.00352,-0.00292,-0.01443,-0.00246,-0.01322,-0.00895,-0.02373,-0.00331,0.04336,-0.00707,0.09251,-0.00604,-0.00679,0.0,-0.07143,5.78143,0
4813,45.0,7903,2.62,0.49,0.02592,0.00417,-0.00818,6.2717,0.01659,2e-05,0.4534,0.04406,0.25902,0.09541,-0.01793,-0.00963,-0.00387,-0.00231,-0.01611,-0.00256,-0.01587,-0.01034,-0.02652,-0.00445,0.04726,-0.00741,0.10025,-0.00772,-0.00778,0.0,-0.01429,6.30143,0
4814,48.3,7421,2.77,0.54,0.02604,0.0023,-0.0081,6.26111,0.0103,0.00017,0.45262,0.04029,0.25975,0.1003,-0.04342,-0.01591,-0.00944,-0.00476,-0.01884,-0.00529,-0.02305,-0.01261,-0.03028,-0.0096,0.05151,-0.01663,0.10206,-0.01802,-0.01216,0.0,-0.05714,6.86857,0
