iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
5600,3.8,6465,2.87,0.93,0.01821,0.25489,-0.01011,6.25809,0.02337,1e-05,0.45795,0.03538,0.00154,0.00317,-0.02815,-0.00852,-0.00084,-0.00189,-0.0032,-0.00178,-0.00244,-0.00112,-0.00204,-0.0305,0.00281,-0.00234,0.00378,-0.00056,-0.00247,0.0,-0.2,0.37429,0
5601,6.7,8349,2.43,0.52,0.02117,0.04867,-0.00968,6.26429,0.01135,0.00011,0.45844,0.02996,0.00556,0.00841,-0.01589,-0.00759,-0.00334,-0.00333,-0.00418,-0.00257,-0.00458,-0.00181,-0.00367,-0.02435,0.00524,-0.00702,0.00688,-0.00776,-0.00486,-0.0037,-0.2,0.69875,0
5602,9.8,8089,2.51,0.53,0.02849,0.01744,-0.0055,6.27681,0.01291,5e-05,0.45866,0.0201,0.00418,0.00567,-0.07523,-0.01353,-0.01377,-0.00902,-0.0078,-0.00514,-0.01719,-0.00484,-0.00847,-0.0501,0.009,-0.01744,0.01089,-0.06121,-0.00656,0.0,-0.15,1.2,0
5603,12.8,8230,2.47,0.52,0.02895,0.00542,-0.00843,6.27378,0.01285,0.00011,0.4582,0.01603,0.02352,0.0213,-0.06136,-0.01225,-0.01137,-0.00627,-0.00818,-0.00446,-0.0126,-0.00481,-0.00836,-0.02978,0.01208,-0.01419,0.0174,-0.02804,-0.00755,0.0,-0.125,1.61,0
5604,15.9,7753,2.62,0.55,0.03005,0.00253,-0.00825,6.25144,0.01276,0.00026,0.45717,0.0142,0.07145,0.04918,-0.01671,-0.00523,-0.00247,-0.00165,-0.00667,-0.0016,-0.01012,-0.00476,-0.00961,-0.00569,0.0165,-0.00614,0.03294,-0.00504,-0.00826,0.0,0.0,2.2,0
5605,19.0,8003,2.6,0.47,0.03044,0.00493,-0.00618,6.22095,0.01487,0.00017,0.45649,0.01665,0.10475,0.06646,-0.00473,-0.00408,-0.0013,-0.00092,-0.00668,-0.001,-0.00728,-0.00465,-0.01077,-0.00114,0.02025,-0.00299,0.04338,-0.00168,-0.0039,0.0,0.0,2.7,0
5606,22.1,7923,2.58,0.52,0.03069,0.00304,-0.00609,6.20447,0.01406,0.00026,0.45584,0.01485,0.10569,0.06566,-0.0049,-0.00486,-0.00175,-0.00152,-0.00667,-0.00083,-0.00671,-0.00408,-0.01039,-0.00543,0.01947,-0.00312,0.04205,-0.00233,-0.00256,0.0,-0.04,2.596,0
5607,25.2,7974,2.57,0.51,0.03121,0.00169,-0.00982,6.16363,0.0145,0.00026,0.45407,0.01413,0.15115,0.09077,-0.00507,-0.00511,-0.0015,-0.00093,-0.00873,-0.00092,-0.00887,-0.00554,-0.01445,-0.00082,0.02687,-0.00371,0.0589,-0.00249,-0.00395,0.0,0.0,3.58286,0
5608,28.2,8138,2.56,0.46,0.03119,0.00124,-0.00858,6.11368,0.01275,0.00026,0.45241,0.01494,0.17364,0.10496,-0.0068,-0.00512,-0.00179,-0.00117,-0.00998,-0.00098,-0.01032,-0.0064,-0.01608,-0.00084,0.03079,-0.00405,0.06818,-0.00302,-0.00444,0.0,0.0,4.10571,0
5609,31.4,7754,2.62,0.55,0.03082,0.00109,-0.01073,6.05066,0.01474,0.00038,0.44968,0.01471,0.18709,0.11677,-0.00852,-0.00679,-0.00223,-0.00131,-0.01125,-0.00155,-0.01268,-0.0081,-0.01835,-0.00278,0.0339,-0.00556,0.0734,-0.00348,-0.0063,0.0,0.0,4.52,0
5610,34.5,7784,2.62,0.53,0.02735,0.02184,-0.00622,5.99157,0.01633,0.00017,0.44895,0.01708,0.21903,0.13139,-0.00735,-0.00681,-0.00203,-0.00123,-0.01203,-0.00135,-0.01251,-0.00842,-0.02082,-0.00106,0.03836,-0.0047,0.08498,-0.00375,-0.00547,0.0,0.0,5.11455,0
5611,37.4,8669,2.33,0.51,0.02681,0.01306,-0.00589,5.98567,0.01303,8e-05,0.44888,0.02191,0.24049,0.1402,-0.00793,-0.00791,-0.00253,-0.00127,-0.01308,-0.00111,-0.01284,-0.00874,-0.02187,-0.00185,0.04158,-0.00617,0.09036,-0.00406,-0.00598,0.0,0.0,5.544,0
5612,40.4,8174,2.5,0.51,0.02904,0.01557,-0.00654,5.98552,0.01245,8e-05,0.44892,0.018,0.24767,0.15121,-0.01559,-0.00931,-0.00368,-0.00273,-0.01512,-0.00224,-0.01664,-0.01023,-0.02445,-0.00441,0.0449,-0.00818,0.09569,-0.00707,-0.01002,0.0,-0.025,5.98625,0
5613,43.4,8095,2.58,0.45,0.03004,0.00634,-0.00579,5.98587,0.01271,0.00011,0.44875,0.01541,0.22614,0.13963,-0.0211,-0.00948,-0.00474,-0.0025,-0.01409,-0.00214,-0.01514,-0.00892,-0.02243,-0.00578,0.04124,-0.00768,0.08816,-0.0098,-0.00794,-0.00359,-0.06,5.498,0
5614,46.6,7719,2.72,0.47,0.03052,0.00286,-0.00777,5.96829,0.01485,0.00017,0.44766,0.01419,0.24384,0.15459,-0.02206,-0.01062,-0.00422,-0.00261,-0.01575,-0.00259,-0.01789,-0.01122,-0.02467,-0.00841,0.04579,-0.00751,0.09763,-0.00538,-0.00921,-0.00373,-0.02,6.106,0
5615,49.9,7398,2.78,0.54,0.03095,0.00274,-0.00719,5.93508,0.01432,0.00026,0.44655,0.01404,0.30058,0.19332,-0.01644,-0.01297,-0.00692,-0.00259,-0.01805,-0.00312,-0.02042,-0.01295,-0.0301,-0.00733,0.05595,-0.01187,0.11781,-0.0081,-0.00868,0.0,0.0,7.46,0
5616,53.2,7616,2.69,0.53,0.0314,0.00225,-0.00693,5.89809,0.01583,0.00026,0.4452,0.01297,0.32765,0.19764,-0.01054,-0.01065,-0.00334,-0.00225,-0.01808,-0.00185,-0.01914,-0.01194,-0.02984,-0.00358,0.05732,-0.00654,0.12696,-0.00527,-0.00963,0.0,0.0,7.64333,0
5617,56.2,8007,2.62,0.45,0.03117,0.00561,-0.00657,5.86273,0.0161,0.00017,0.44446,0.01345,0.32344,0.19876,-0.01146,-0.0106,-0.00363,-0.00214,-0.01822,-0.00217,-0.01841,-0.01205,-0.02986,-0.00346,0.05699,-0.00868,0.12415,-0.00562,-0.00821,-0.00184,-0.01,7.59867,0
5618,59.4,7752,2.67,0.5,0.03145,0.00515,-0.00441,5.84401,0.01396,0.00011,0.44402,0.01257,0.37471,0.22444,-0.01322,-0.01311,-0.00384,-0.00313,-0.02111,-0.0028,-0.02532,-0.01604,-0.03583,-0.00216,0.06667,-0.00964,0.14781,-0.00618,-0.01331,0.0,0.0,8.89,0
5619,62.6,7717,2.66,0.52,0.03095,0.01322,-0.00567,5.83158,0.01436,0.00026,0.44385,0.01311,0.41513,0.2495,-0.0106,-0.01228,-0.0037,-0.00226,-0.02213,-0.00234,-0.02222,-0.01546,-0.0367,-0.00112,0.07062,-0.00833,0.157,-0.00734,-0.00875,0.0,0.0,9.416,0
5620,65.9,7340,2.8,0.55,0.02858,0.08124,-0.00708,5.83557,0.01417,0.00017,0.44432,0.01505,0.24861,0.14937,-0.02146,-0.01133,-0.00466,-0.00289,-0.01587,-0.00286,-0.01662,-0.00984,-0.02424,-0.01308,0.04566,-0.00955,0.09594,-0.00724,-0.0083,-0.00827,-0.0625,6.0875,0
5621,68.6,9364,2.1,0.52,0.02239,0.03991,-0.00758,5.84596,0.01379,0.00011,0.44465,0.02468,0.44196,0.27361,-0.01283,-0.01323,-0.00412,-0.00295,-0.02346,-0.00217,-0.02307,-0.01565,-0.04115,-0.00141,0.0774,-0.00892,0.16866,-0.00809,-0.00788,-0.00626,0.0,10.32,0
5622,71.4,8643,2.38,0.47,0.02404,0.03236,-0.00801,5.85651,0.01554,0.00011,0.44507,0.02576,0.39565,0.24772,-0.02078,-0.0157,-0.00669,-0.00434,-0.02324,-0.00338,-0.02352,-0.01429,-0.03819,-0.01054,0.07173,-0.01196,0.15481,-0.01277,-0.01131,0.0,-0.07917,9.56375,0
5623,74.4,8272,2.48,0.49,0.02888,0.02014,-0.00706,5.86374,0.02027,1e-05,0.44523,0.01867,0.44713,0.27522,-0.02785,-0.01926,-0.00717,-0.00541,-0.02914,-0.00473,-0.0293,-0.01676,-0.04533,-0.01238,0.08515,-0.01843,0.17784,-0.00903,-0.01382,-0.02253,-0.06667,11.35333,0
