iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
4000,3.9,6242,3.07,0.87,0.01495,0.35516,-0.00832,5.55828,0.02729,1e-05,0.43013,0.13835,0.00178,0.0033,-0.01555,-0.0117,-0.00158,-0.00229,-0.00268,-0.00166,-0.00235,-0.00098,-0.00212,-0.03205,0.00298,-0.00454,0.00407,-0.00166,-0.00219,0.0,-0.2,0.39667,0
4001,7.1,7739,2.83,0.34,0.01456,0.05261,-0.00573,5.56306,0.01216,3e-05,0.43022,0.13927,0.00364,0.00517,-0.01157,-0.00695,-0.00413,-0.00283,-0.00342,-0.00175,-0.00281,-0.00139,-0.00285,-0.02212,0.00533,-0.00514,0.00761,-0.00253,-0.00252,-0.0009,-0.2,0.71053,0
4002,10.6,6983,3.01,0.51,0.02239,0.02008,-0.00794,5.56407,0.01529,2e-05,0.43017,0.08523,0.00999,0.00911,-0.03541,-0.00776,-0.00743,-0.00454,-0.00519,-0.00242,-0.00581,-0.00225,-0.00466,-0.0195,0.00857,-0.01165,0.01217,-0.00198,-0.00761,-0.013,-0.2,1.14222,0
4003,14.2,6857,3.01,0.57,0.0243,0.01272,-0.00775,5.56142,0.0127,5e-05,0.42996,0.07212,0.01576,0.01041,-0.03214,-0.00855,-0.00762,-0.00526,-0.006,-0.00307,-0.00712,-0.003,-0.00637,-0.01872,0.01103,-0.01171,0.01428,-0.0033,-0.00583,0.0,-0.16667,1.47,0
4004,17.4,7822,2.62,0.52,0.02501,0.00856,-0.00815,5.5482,0.01423,0.00011,0.42916,0.0572,0.05925,0.02677,-0.00865,-0.00555,-0.00329,-0.00192,-0.00677,-0.00171,-0.00703,-0.00377,-0.00854,-0.00426,0.01618,-0.00673,0.03072,-0.00296,-0.00647,0.0,-0.0625,2.1575,0
4005,20.4,8086,2.6,0.44,0.02599,0.00543,-0.00582,5.5269,0.01608,0.00017,0.42834,0.04992,0.10185,0.04192,-0.00572,-0.00386,-0.00169,-0.00077,-0.00659,-0.00078,-0.00646,-0.00398,-0.00968,-0.00133,0.02004,-0.00315,0.04216,-0.00213,-0.00321,0.0,0.0,2.672,0
4006,23.6,7714,2.73,0.46,0.02619,0.00692,-0.00677,5.50902,0.0142,8e-05,0.42786,0.04229,0.11263,0.04306,-0.00857,-0.00553,-0.00214,-0.00152,-0.00835,-0.00209,-0.00872,-0.00538,-0.01186,-0.00175,0.02322,-0.00568,0.04644,-0.00469,-0.0071,0.0,-0.01538,3.09538,0
4007,26.8,7745,2.67,0.5,0.02611,0.01211,-0.00675,5.5001,0.01264,8e-05,0.42757,0.03778,0.12744,0.05002,-0.01354,-0.00652,-0.00308,-0.00183,-0.00907,-0.00201,-0.00909,-0.00511,-0.01272,-0.00444,0.02527,-0.00709,0.05029,-0.00385,-0.00864,0.0,-0.03636,3.36909,0
4008,30.4,6779,3.14,0.48,0.02595,0.00819,-0.00797,5.48927,0.01244,0.00011,0.42698,0.03656,0.10516,0.0438,-0.01493,-0.00784,-0.00449,-0.00257,-0.01024,-0.00332,-0.01198,-0.00632,-0.0131,-0.00434,0.02643,-0.0098,0.04956,-0.00625,-0.01211,0.0,-0.06667,3.52333,0
4009,34.0,6814,3.01,0.6,0.02572,0.01477,-0.00761,5.46687,0.01596,8e-05,0.42607,0.03414,0.15865,0.06443,-0.02064,-0.00812,-0.00553,-0.00217,-0.01336,-0.00336,-0.01381,-0.00811,-0.01752,-0.00469,0.03413,-0.00757,0.07032,-0.00712,-0.00832,0.0,-0.04444,4.55111,0
