pose,joints_deg,max_pos_err_mm,max_rot_err_deg,kinematics_pass,collision_free,collisions
zero,{},0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
hip_yaw_min,"{""hip_yaw"": -40}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
hip_yaw_max,"{""hip_yaw"": 45}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
hip_roll_min,"{""hip_roll"": -25}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
hip_roll_max,"{""hip_roll"": 45}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
hip_pitch_min,"{""hip_pitch"": -115}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
hip_pitch_max,"{""hip_pitch"": 35}",0.0,0.0,True,False,L_HipRollBr/L_Thigh:483.395mm3; L_RollO/L_HipRollBr:49.343mm3
knee_min,"{""knee"": 0}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
knee_max,"{""knee"": 120}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
ankle_pitch_min,"{""ankle_pitch"": -55}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
ankle_pitch_max,"{""ankle_pitch"": 30}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
ankle_roll_min,"{""ankle_roll"": -20}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
ankle_roll_max,"{""ankle_roll"": 20}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
stand_bent,"{""hip_pitch"": -18, ""knee"": 36, ""ankle_pitch"": -18}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
walk_crouch,"{""hip_pitch"": -30, ""knee"": 58, ""ankle_pitch"": -28}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
deep_squat,"{""hip_pitch"": -70, ""knee"": 120, ""ankle_pitch"": -50}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
leg_forward,"{""hip_pitch"": -60, ""knee"": 20}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
leg_backward,"{""hip_pitch"": 30, ""knee"": 30, ""ankle_pitch"": -15}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
wide_stance,"{""hip_roll"": 30, ""ankle_roll"": -20}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
single_leg_lift,"{""hip_pitch"": -45, ""knee"": 90, ""ankle_pitch"": -20, ""hip_roll"": 5}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
toe_out_step,"{""hip_yaw"": 40, ""hip_pitch"": -20, ""knee"": 40, ""ankle_pitch"": -20}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
toe_in_step,"{""hip_yaw"": -35, ""hip_pitch"": -20, ""knee"": 40, ""ankle_pitch"": -20}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
sit,"{""hip_pitch"": -90, ""knee"": 90}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3
ankle_corner_1,"{""ankle_pitch"": -55, ""ankle_roll"": 20, ""knee"": 60, ""hip_pitch"": -30}",0.0,0.0,True,False,L_RollO/L_HipRollBr:49.343mm3; L_Shin/L_Foot:0.412mm3; L_Shin/L_Foot:0.021mm3
ankle_corner_2,"{""ankle_pitch"": 35, ""ankle_roll"": -20}",0.0,0.0,True,False,L_AnkBH/L_RodB:767.569mm3; L_RollO/L_HipRollBr:49.343mm3; L_AnkBO/L_RodB:13.814mm3
