pose,joints_deg,max_pos_err_mm,max_rot_err_deg,kinematics_pass,collision_free,collisions
zero,{},0.0,0.0,True,True,
hip_yaw_min,"{""hip_yaw"": -40}",0.0,0.0,True,True,
hip_yaw_max,"{""hip_yaw"": 45}",0.0,0.0,True,True,
hip_roll_min,"{""hip_roll"": -25}",0.0,0.0,True,True,
hip_roll_max,"{""hip_roll"": 45}",0.0,0.0,True,True,
hip_pitch_min,"{""hip_pitch"": -115}",0.0,0.0,True,True,
hip_pitch_max,"{""hip_pitch"": 35}",0.0,0.0,True,True,
knee_min,"{""knee"": 0}",0.0,0.0,True,True,
knee_max,"{""knee"": 120}",0.0,0.0,True,True,
ankle_pitch_min,"{""ankle_pitch"": -55}",0.0,0.0,True,True,
ankle_pitch_max,"{""ankle_pitch"": 30}",0.0,0.0,True,True,
ankle_roll_min,"{""ankle_roll"": -20}",0.0,0.0,True,True,
ankle_roll_max,"{""ankle_roll"": 20}",0.0,0.0,True,True,
stand_bent,"{""hip_pitch"": -18, ""knee"": 36, ""ankle_pitch"": -18}",0.0,0.0,True,True,
walk_crouch,"{""hip_pitch"": -30, ""knee"": 58, ""ankle_pitch"": -28}",0.0,0.0,True,True,
deep_squat,"{""hip_pitch"": -70, ""knee"": 120, ""ankle_pitch"": -50}",0.0,0.0,True,True,
leg_forward,"{""hip_pitch"": -60, ""knee"": 20}",0.0,0.0,True,True,
leg_backward,"{""hip_pitch"": 30, ""knee"": 30, ""ankle_pitch"": -15}",0.0,0.0,True,True,
wide_stance,"{""hip_roll"": 30, ""ankle_roll"": -20}",0.0,0.0,True,True,
single_leg_lift,"{""hip_pitch"": -45, ""knee"": 90, ""ankle_pitch"": -20, ""hip_roll"": 5}",0.0,0.0,True,True,
toe_out_step,"{""hip_yaw"": 40, ""hip_pitch"": -20, ""knee"": 40, ""ankle_pitch"": -20}",0.0,0.0,True,True,
toe_in_step,"{""hip_yaw"": -35, ""hip_pitch"": -20, ""knee"": 40, ""ankle_pitch"": -20}",0.0,0.0,True,True,
sit,"{""hip_pitch"": -90, ""knee"": 90}",0.0,0.0,True,True,
ankle_corner_1,"{""ankle_pitch"": -55, ""ankle_roll"": 20, ""knee"": 60, ""hip_pitch"": -30}",0.0,0.0,True,True,
ankle_corner_2,"{""ankle_pitch"": 30, ""ankle_roll"": -20}",0.0,0.0,True,False,L_AnkBH/L_RodB:696.021mm3
