pose,max_pos_err_mm,max_rot_err_deg,kinematics_pass,collisions,collision_pairs
zero,0.0,0.0,True,0,
waist_yaw_min,0.0,0.0,True,0,
waist_yaw_max,0.0,0.0,True,0,
left_shoulder_pitch_min,0.0,0.0,True,0,
left_shoulder_pitch_max,0.0,0.0,True,0,
left_shoulder_roll_min,0.0,0.0,True,0,
left_shoulder_roll_max,0.0,0.0,True,0,
left_shoulder_yaw_min,0.0,0.0,True,0,
left_shoulder_yaw_max,0.0,0.0,True,0,
left_elbow_min,0.0,0.0,True,0,
left_elbow_max,0.0,0.0,True,0,
right_shoulder_pitch_min,0.0,0.0,True,0,
right_shoulder_pitch_max,0.0,0.0,True,0,
right_shoulder_roll_min,0.0,0.0,True,0,
right_shoulder_roll_max,0.0,0.0,True,0,
right_shoulder_yaw_min,0.0,0.0,True,0,
right_shoulder_yaw_max,0.0,0.0,True,0,
right_elbow_min,0.0,0.0,True,0,
right_elbow_max,0.0,0.0,True,0,
neck_yaw_min,0.0,0.0,True,0,
neck_yaw_max,0.0,0.0,True,0,
neck_pitch_min,0.0,0.0,True,0,
neck_pitch_max,0.0,0.0,True,0,
t_pose,0.0,0.0,True,0,
arms_forward,0.0,0.0,True,0,
reach_up_cad_max,0.0,0.0,True,0,
arms_back,0.0,0.0,True,0,
hands_together_front,0.0,0.0,True,0,
carry_box,0.0,0.0,True,0,
elbows_flexed_down,0.0,0.0,True,0,
arms_adducted,0.0,0.0,True,0,
walk_swing_front,0.0,0.0,True,0,
waist_twist_left,0.0,0.0,True,0,
head_left_down,0.0,0.0,True,0,
head_right_up,0.0,0.0,True,0,
wave_left,0.0,0.0,True,0,
